,AAPL,MSFT,AMZN,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,MRNA,ZM,BKNG,LRCX,MU,MDLZ,GILD,ADP,MELI,CSX,ATVI,FISV,ILMN,ADSK,JD,ADI,REGN,NXPI,IDXX,DOCU,ASML,BIIB,VRTX,BIDU,KDP,KHC,ALGN,MNST,KLAC,EBAY,MRVL,PDD,LULU,MAR,ROST,WDAY,EXC,MTCH,AEP,SNPS,WBA,DXCM,ALXN,EA,MCHP,ORLY,CTAS,PAYX,CDNS,CTSH,XEL,AGPXX,TEAM,XLNX,NTES,PTON,CPRT,SWKS,PCAR,ANSS,OKTA,FAST,SGEN,VRSK,MXIM,SIRI,VRSN,CDW,CERN,DLTR,SPLK,TCOM,INCY,CHKP,FOXA,FOX,CHG.BK,CHG.BK.1,Invesco Shrt-Trm Inv Gov&Agcy Instl,PEAB B.ST,HON,n/a,3331.HK,CRWD,BIDI11.SA,CLV.,SUM
07/09/2021,11.09,9.91,8.38,4.11,3.96,3.91,3.71,3.56,2.5,2.06,1.95,1.74,1.67,1.66,1.51,1.41,1.34,1.3,1.29,1.17,1.04,1.0,0.99,0.98,0.93,0.84,0.81,0.7,0.67,0.67,0.66,0.66,0.65,0.64,0.63,0.57,0.54,0.54,0.53,0.51,0.48,0.46,0.46,0.44,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.17,0.17,0.14,0.14,0.12,0.09,0.07,0.05,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,11.68,9.98,8.7,3.91,4.01,3.65,3.53,3.61,2.52,2.08,1.89,1.73,1.63,1.63,1.52,1.4,1.33,1.26,1.29,1.16,1.0,0.94,0.98,1.01,0.88,0.77,0.81,0.71,0.61,0.63,0.63,0.63,0.64,0.61,0.62,0.53,0.51,0.51,0.52,0.48,0.47,0.43,0.44,0.43,0.4,0.4,0.38,0.41,0.38,0.36,0.33,0.36,0.34,0.36,0.35,0.34,0.33,0.33,0.29,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.3,0.28,0.29,0.27,0.26,0.26,0.0,0.25,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.21,0.22,0.18,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.12,0.12,0.12,0.08,0.06,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
07/20/2021,11.71,10.0,8.64,3.9,4.01,3.66,3.4,3.6,2.5,2.08,1.91,1.73,1.62,1.63,1.54,1.4,1.33,1.25,1.31,1.15,1.02,0.95,0.99,1.01,0.87,0.76,0.81,0.75,0.6,0.64,0.62,0.62,0.65,0.62,0.63,0.54,0.52,0.51,0.53,0.48,0.46,0.44,0.43,0.44,0.38,0.4,0.39,0.4,0.35,0.37,0.34,0.37,0.35,0.35,0.36,0.33,0.33,0.33,0.3,0.34,0.33,0.32,0.31,0.32,0.32,0.31,0.3,0.29,0.31,0.29,0.29,0.27,0.3,0.28,0.29,0.27,0.26,0.27,0.0,0.25,0.23,0.25,0.21,0.24,0.23,0.22,0.22,0.21,0.22,0.19,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.12,0.13,0.12,0.08,0.06,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,11.37,10.38,7.46,3.95,4.1,3.72,3.49,3.76,2.25,2.15,1.91,1.7,1.5,1.71,1.55,1.37,1.24,1.21,1.42,1.12,0.91,1.04,1.05,0.95,0.83,0.89,0.87,1.06,0.55,0.6,0.58,0.56,0.63,0.64,0.63,0.62,0.54,0.46,0.55,0.48,0.51,0.35,0.43,0.48,0.39,0.41,0.39,0.43,0.36,0.36,0.25,0.35,0.32,0.37,0.36,0.35,0.35,0.34,0.2,0.35,0.3,0.32,0.31,0.34,0.25,0.32,0.34,0.29,0.34,0.0,0.28,0.28,0.3,0.29,0.29,0.3,0.28,0.27,0.0,0.32,0.25,0.17,0.2,0.23,0.21,0.2,0.22,0.2,0.22,0.2,0.22,0.19,0.18,0.17,0.19,0.17,0.17,0.16,0.1,0.12,0.12,0.08,0.06,0.0,0.0,0.0,0.0,1.12,0.28,0.0,0.0,0.0,0.0,100.0
08/24/2021,11.37,10.38,7.46,3.95,4.1,3.72,3.49,3.76,2.25,2.15,1.91,1.7,1.5,1.71,1.55,1.37,1.24,1.21,1.42,1.12,0.91,1.04,1.05,0.95,0.83,0.89,0.87,1.06,0.55,0.6,0.58,0.56,0.63,0.64,0.63,0.62,0.54,0.46,0.55,0.48,0.51,0.35,0.43,0.48,0.39,0.41,0.39,0.43,0.36,0.36,0.25,0.35,0.32,0.37,0.36,0.35,0.35,0.34,0.2,0.35,0.3,0.32,0.31,0.34,0.25,0.32,0.34,0.29,0.34,0.0,0.28,0.28,0.3,0.29,0.29,0.3,0.28,0.27,0.0,0.32,0.25,0.17,0.2,0.23,0.21,0.2,0.22,0.2,0.22,0.2,0.22,0.19,0.18,0.17,0.19,0.17,0.17,0.16,0.1,0.12,0.12,0.08,0.06,0.0,0.0,0.0,0.0,1.12,0.28,0.0,0.0,0.0,0.0,100.0
09/06/2021,11.3,10.09,7.77,4.06,4.18,3.88,3.78,3.85,2.27,2.15,1.89,1.74,1.46,1.68,1.47,1.36,1.16,1.17,1.36,1.12,0.86,1.03,1.04,0.93,0.82,0.9,0.84,1.06,0.46,0.63,0.58,0.56,0.59,0.61,0.59,0.64,0.5,0.43,0.53,0.45,0.45,0.44,0.4,0.48,0.39,0.39,0.39,0.44,0.34,0.34,0.29,0.34,0.3,0.38,0.35,0.35,0.35,0.34,0.27,0.33,0.3,0.28,0.35,0.33,0.25,0.31,0.34,0.29,0.35,0.0,0.28,0.29,0.28,0.28,0.28,0.31,0.27,0.25,0.0,0.34,0.26,0.2,0.18,0.23,0.2,0.19,0.21,0.22,0.21,0.19,0.22,0.0,0.17,0.17,0.19,0.15,0.14,0.17,0.11,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,1.08,0.25,0.0,0.22,0.13,0.0,99.98
09/07/2021,11.39,10.07,7.74,3.99,4.13,3.87,3.77,3.8,2.27,2.15,1.91,1.76,1.47,1.69,1.46,1.36,1.15,1.18,1.38,1.11,0.88,1.04,1.03,0.93,0.83,0.9,0.85,1.08,0.47,0.63,0.58,0.56,0.59,0.61,0.59,0.65,0.5,0.43,0.52,0.46,0.43,0.44,0.41,0.47,0.39,0.39,0.39,0.45,0.34,0.35,0.28,0.34,0.3,0.38,0.35,0.35,0.35,0.34,0.26,0.33,0.3,0.28,0.34,0.33,0.27,0.31,0.35,0.3,0.35,0.0,0.28,0.29,0.27,0.28,0.28,0.31,0.28,0.26,0.27,0.34,0.25,0.19,0.18,0.23,0.2,0.2,0.21,0.23,0.22,0.19,0.22,0.0,0.18,0.17,0.19,0.16,0.14,0.17,0.11,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,1.08,0.13,0.0,0.22,0.0,0.0,100.04
09/08/2021,11.39,10.07,7.74,3.99,4.13,3.87,3.77,3.8,2.27,2.15,1.91,1.76,1.47,1.69,1.46,1.36,1.15,1.18,1.38,1.11,0.88,1.04,1.03,0.93,0.83,0.9,0.85,1.08,0.47,0.63,0.58,0.56,0.59,0.61,0.59,0.65,0.5,0.43,0.52,0.46,0.43,0.44,0.41,0.47,0.39,0.39,0.39,0.45,0.34,0.35,0.28,0.34,0.3,0.38,0.35,0.35,0.35,0.34,0.26,0.33,0.3,0.28,0.34,0.33,0.27,0.31,0.35,0.3,0.35,0.0,0.28,0.29,0.27,0.28,0.28,0.31,0.28,0.26,0.27,0.34,0.25,0.19,0.18,0.23,0.2,0.2,0.21,0.23,0.22,0.19,0.22,0.0,0.18,0.17,0.19,0.16,0.14,0.17,0.11,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,1.08,0.13,0.0,0.22,0.0,0.0,100.04
09/09/2021,11.4,10.04,7.75,3.99,4.13,3.86,3.83,3.79,2.29,2.15,1.91,1.76,1.46,1.69,1.46,1.37,1.14,1.18,1.38,1.1,0.87,1.02,1.03,0.93,0.83,0.9,0.84,1.12,0.47,0.63,0.58,0.56,0.58,0.61,0.59,0.65,0.49,0.42,0.52,0.46,0.43,0.43,0.4,0.48,0.39,0.39,0.4,0.45,0.34,0.35,0.28,0.34,0.29,0.38,0.35,0.35,0.35,0.34,0.26,0.32,0.29,0.28,0.35,0.33,0.27,0.3,0.34,0.3,0.35,0.0,0.28,0.29,0.27,0.28,0.28,0.31,0.27,0.25,0.3,0.35,0.26,0.19,0.18,0.23,0.2,0.2,0.21,0.23,0.22,0.19,0.22,0.0,0.17,0.17,0.19,0.15,0.14,0.17,0.11,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,1.07,0.11,0.0,0.22,0.0,0.0,99.98
09/10/2021,11.56,10.0,7.81,4.05,4.15,3.96,3.8,3.8,2.32,2.13,1.86,1.81,1.46,1.67,1.43,1.36,1.13,1.18,1.37,1.09,0.85,1.01,1.03,0.92,0.84,0.89,0.85,1.18,0.47,0.64,0.57,0.56,0.57,0.6,0.58,0.65,0.48,0.41,0.52,0.45,0.43,0.45,0.4,0.47,0.39,0.39,0.38,0.45,0.33,0.33,0.29,0.33,0.29,0.37,0.34,0.35,0.34,0.34,0.27,0.32,0.29,0.27,0.35,0.33,0.29,0.3,0.34,0.3,0.35,0.0,0.28,0.29,0.27,0.27,0.27,0.31,0.27,0.25,0.29,0.34,0.25,0.19,0.17,0.23,0.2,0.19,0.21,0.22,0.21,0.18,0.22,0.0,0.17,0.17,0.19,0.15,0.14,0.17,0.11,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,1.04,0.08,0.0,0.21,0.0,0.0,99.99
