,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,PEP,ABBV,NKE,TMO,CVX,MRK,ACN,AVGO,WMT,LLY,WFC,DHR,TXN,COST,MCD,MDT,QCOM,PM,UPS,HON,LIN,ORCL,BMY,UNP,NEE,C,AMGN,LOW,SBUX,MS,RTX,BA,AMT,GS,BLK,IBM,TGT,CAT,MMM,GE,AXP,CVS,CHTR,LMT,BKNG,MDLZ,GILD,TMUS,MO,COP,DUK,USB,GM,FDX,COF,CL,SO,EMR,F,XTSLA,BIIB,DOW,EXC,MET,GD,SPG,DD,BK,AIG,WBA,KHC,USD,MSFUT,SUM
07/09/2021,9.04,8.49,6.39,3.43,3.08,3.0,2.13,2.09,2.06,1.88,1.79,1.65,1.57,1.4,1.38,1.35,1.34,1.28,1.23,1.16,1.07,1.05,0.97,0.95,0.94,0.92,0.91,0.89,0.86,0.85,0.84,0.84,0.83,0.83,0.82,0.82,0.8,0.79,0.78,0.78,0.76,0.73,0.72,0.72,0.72,0.7,0.69,0.65,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.6,0.57,0.57,0.56,0.55,0.54,0.53,0.53,0.51,0.51,0.51,0.5,0.49,0.47,0.46,0.46,0.45,0.43,0.41,0.38,0.37,0.36,0.35,0.35,0.35,0.33,0.31,0.31,0.3,0.29,0.28,0.28,0.26,0.23,0.23,0.21,0.21,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.14,0.1,0.04,0.02,99.98
07/12/2021,9.15,8.5,6.51,3.37,3.06,2.99,2.11,2.02,2.05,1.86,1.81,1.63,1.57,1.41,1.38,1.37,1.32,1.28,1.19,1.18,1.09,1.04,0.96,0.94,0.93,0.91,0.91,0.89,0.86,0.86,0.82,0.84,0.84,0.83,0.83,0.81,0.81,0.8,0.78,0.78,0.77,0.71,0.72,0.71,0.73,0.71,0.7,0.63,0.62,0.62,0.62,0.61,0.63,0.61,0.59,0.6,0.56,0.57,0.55,0.56,0.53,0.53,0.53,0.51,0.5,0.51,0.51,0.5,0.47,0.47,0.46,0.44,0.43,0.42,0.38,0.36,0.36,0.35,0.35,0.35,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,0.2,0.23,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.14,0.1,0.08,0.02,100.01
07/13/2021,9.15,8.5,6.51,3.37,3.06,2.99,2.11,2.02,2.05,1.86,1.81,1.63,1.57,1.41,1.38,1.37,1.32,1.28,1.19,1.18,1.09,1.04,0.96,0.94,0.93,0.91,0.91,0.89,0.86,0.86,0.82,0.84,0.84,0.83,0.83,0.81,0.81,0.8,0.78,0.78,0.77,0.71,0.72,0.71,0.73,0.71,0.7,0.63,0.62,0.62,0.62,0.61,0.63,0.61,0.59,0.6,0.56,0.57,0.55,0.56,0.53,0.53,0.53,0.51,0.5,0.51,0.51,0.5,0.47,0.47,0.46,0.44,0.43,0.42,0.38,0.36,0.36,0.35,0.35,0.35,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,0.2,0.23,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.14,0.1,0.08,0.02,100.01
07/14/2021,9.18,8.44,6.43,3.39,3.04,2.98,2.14,2.01,2.04,1.9,1.8,1.63,1.57,1.42,1.38,1.35,1.32,1.3,1.22,1.17,1.07,1.05,0.96,0.94,0.91,0.91,0.91,0.89,0.86,0.85,0.82,0.83,0.83,0.83,0.82,0.81,0.8,0.8,0.79,0.78,0.75,0.73,0.71,0.71,0.74,0.71,0.7,0.64,0.62,0.62,0.63,0.61,0.64,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.54,0.53,0.53,0.51,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.45,0.43,0.41,0.38,0.36,0.36,0.35,0.35,0.35,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.26,0.24,0.23,0.21,0.22,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.14,0.1,0.07,0.02,100.02
07/15/2021,9.18,8.44,6.43,3.39,3.04,2.98,2.14,2.01,2.04,1.9,1.8,1.63,1.57,1.42,1.38,1.35,1.32,1.3,1.22,1.17,1.07,1.05,0.96,0.94,0.91,0.91,0.91,0.89,0.86,0.85,0.82,0.83,0.83,0.83,0.82,0.81,0.8,0.8,0.79,0.78,0.75,0.73,0.71,0.71,0.74,0.71,0.7,0.64,0.62,0.62,0.63,0.61,0.64,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.54,0.53,0.53,0.51,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.45,0.43,0.41,0.38,0.36,0.36,0.35,0.35,0.35,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.26,0.24,0.23,0.21,0.22,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.14,0.1,0.07,0.02,100.02
07/16/2021,9.19,8.51,6.34,3.39,3.08,3.0,2.13,2.03,2.07,1.9,1.79,1.65,1.59,1.42,1.36,1.35,1.35,1.34,1.21,1.16,1.07,1.04,0.96,0.93,0.91,0.92,0.9,0.89,0.85,0.86,0.81,0.85,0.84,0.83,0.81,0.81,0.79,0.8,0.79,0.78,0.75,0.72,0.71,0.71,0.72,0.71,0.69,0.64,0.61,0.61,0.63,0.61,0.64,0.61,0.59,0.59,0.57,0.57,0.55,0.57,0.56,0.52,0.5,0.51,0.51,0.52,0.5,0.5,0.47,0.47,0.46,0.45,0.43,0.39,0.37,0.36,0.36,0.34,0.35,0.35,0.32,0.31,0.31,0.3,0.29,0.3,0.28,0.26,0.24,0.23,0.22,0.21,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.14,0.1,0.06,0.02,99.98999999999998
07/19/2021,9.38,8.52,6.27,3.32,3.08,3.01,2.13,1.9,2.02,1.89,1.79,1.69,1.6,1.4,1.38,1.37,1.37,1.35,1.18,1.17,1.07,1.0,0.97,0.94,0.89,0.91,0.91,0.9,0.83,0.88,0.82,0.86,0.83,0.83,0.81,0.79,0.79,0.81,0.78,0.78,0.74,0.75,0.72,0.7,0.73,0.71,0.68,0.64,0.62,0.62,0.65,0.61,0.63,0.61,0.59,0.61,0.57,0.57,0.56,0.56,0.56,0.52,0.49,0.51,0.51,0.5,0.51,0.5,0.47,0.47,0.45,0.45,0.44,0.39,0.37,0.36,0.36,0.34,0.35,0.35,0.31,0.32,0.32,0.29,0.29,0.29,0.28,0.27,0.24,0.22,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.13,0.1,0.07,0.02,99.95
07/20/2021,9.38,8.52,6.27,3.32,3.08,3.01,2.13,1.9,2.02,1.89,1.79,1.69,1.6,1.4,1.38,1.37,1.37,1.35,1.18,1.17,1.07,1.0,0.97,0.94,0.89,0.91,0.91,0.9,0.83,0.88,0.82,0.86,0.83,0.83,0.81,0.79,0.79,0.81,0.78,0.78,0.74,0.75,0.72,0.7,0.73,0.71,0.68,0.64,0.62,0.62,0.65,0.61,0.63,0.61,0.59,0.61,0.57,0.57,0.56,0.56,0.56,0.52,0.49,0.51,0.51,0.5,0.51,0.5,0.47,0.47,0.45,0.45,0.44,0.39,0.37,0.36,0.36,0.34,0.35,0.35,0.31,0.32,0.32,0.29,0.29,0.29,0.28,0.27,0.24,0.22,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.13,0.1,0.07,0.02,99.95
07/22/2021,9.21,8.6,6.27,3.33,3.09,3.03,2.13,1.93,2.05,1.83,1.81,1.68,1.59,1.43,1.4,1.42,1.32,1.29,1.15,1.19,1.07,0.97,0.97,0.95,0.91,0.91,0.92,0.93,0.87,0.89,0.82,0.89,0.84,0.83,0.84,0.76,0.8,0.81,0.78,0.8,0.77,0.73,0.74,0.71,0.75,0.7,0.68,0.64,0.63,0.63,0.63,0.61,0.65,0.61,0.59,0.62,0.55,0.58,0.56,0.56,0.55,0.51,0.47,0.53,0.5,0.49,0.51,0.51,0.46,0.47,0.43,0.44,0.44,0.4,0.37,0.35,0.37,0.35,0.35,0.36,0.3,0.33,0.3,0.28,0.3,0.29,0.29,0.27,0.23,0.21,0.23,0.2,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.13,0.1,0.06,0.02,99.99
07/23/2021,9.32,8.55,6.23,3.33,3.09,3.04,2.13,1.89,2.07,1.84,1.8,1.67,1.58,1.42,1.41,1.39,1.33,1.31,1.16,1.18,1.06,0.96,0.96,0.94,0.9,0.91,0.92,0.93,0.86,0.88,0.81,0.88,0.83,0.83,0.84,0.76,0.78,0.81,0.78,0.79,0.76,0.75,0.73,0.71,0.75,0.71,0.69,0.64,0.6,0.62,0.65,0.61,0.65,0.61,0.58,0.62,0.56,0.58,0.56,0.56,0.56,0.52,0.49,0.52,0.5,0.51,0.51,0.51,0.46,0.47,0.45,0.45,0.44,0.4,0.38,0.36,0.37,0.35,0.34,0.36,0.3,0.32,0.31,0.29,0.3,0.29,0.28,0.27,0.24,0.22,0.22,0.2,0.18,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.13,0.1,0.08,0.02,99.99
