,AMZN,GOOGL,CRL,ASML,JPM,CHTR,NEE,COST,MA,NDAQ,NKE,UNP,XPO,AVTR,STLA.MI,NOVT,EL,CVLT,KLAC,JLL,SEM,PHM,ACN,SIVB,ORLY,CAT,EOG,NXST,V,CSL,MCK,ODFL,CSGP,TRV,WHR,ARW,ENTG,DAR,PWR,688065.SS,ASML Holding NV ADR,7342.T,Cash,LULU,GXO WI,n/a,CDNS,ALGN,TTD,INMD,GXO,SUM
07/09/2021,4.63,4.57,3.87,3.37,3.17,3.14,3.1,3.05,3.05,3.01,2.9,2.86,2.63,2.57,2.42,2.32,2.32,2.31,2.31,2.29,2.26,2.21,2.16,2.14,2.12,2.09,2.09,2.08,2.06,2.02,1.97,1.95,1.93,1.91,1.91,1.9,1.88,1.87,1.81,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,4.96,4.61,3.96,0.0,3.1,3.22,3.17,3.15,3.04,2.97,2.94,2.8,2.53,2.61,2.35,2.35,2.31,2.39,2.26,2.26,2.16,2.13,2.22,2.08,2.14,2.06,1.97,1.99,2.07,2.04,1.95,1.96,2.0,1.89,1.9,1.86,1.85,1.87,1.78,0.0,3.33,1.71,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,4.96,4.61,3.96,0.0,3.1,3.22,3.17,3.15,3.04,2.97,2.94,2.8,2.53,2.61,2.35,2.35,2.31,2.39,2.26,2.26,2.16,2.13,2.22,2.08,2.14,2.06,1.97,1.99,2.07,2.04,1.95,1.96,2.0,1.89,1.9,1.86,1.85,1.87,1.78,0.0,3.33,1.71,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,4.88,4.56,3.96,0.0,3.15,3.14,3.12,3.14,3.02,2.96,2.91,2.81,2.57,2.61,2.4,2.31,2.31,2.37,2.28,2.27,2.17,2.12,2.21,2.17,2.15,2.08,2.01,2.01,2.06,2.04,1.93,1.96,2.0,1.93,1.92,1.87,1.86,1.86,1.8,0.0,3.37,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,4.86,4.6,3.94,0.0,3.18,3.06,3.11,3.1,3.03,3.01,2.91,2.79,2.6,2.61,2.39,2.33,2.32,2.35,2.3,2.27,2.17,2.11,2.19,2.23,2.14,2.08,2.01,2.01,2.04,2.03,1.93,1.93,1.99,1.93,1.91,1.86,1.86,1.87,1.81,0.0,3.44,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,4.84,4.64,3.95,0.0,3.16,3.04,3.12,3.11,3.12,3.03,2.93,2.78,2.6,2.61,2.34,2.3,2.34,2.32,2.3,2.24,2.18,2.07,2.22,2.19,2.15,2.07,2.02,2.0,2.1,2.03,1.94,1.95,1.99,1.93,1.87,1.86,1.86,1.85,1.81,0.0,3.46,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,4.78,4.63,3.96,0.0,3.17,3.02,3.22,3.16,3.18,3.03,2.94,2.8,2.59,2.64,2.31,2.22,2.39,2.29,2.25,2.27,2.08,2.07,2.24,2.2,2.18,2.04,1.86,1.98,2.15,2.07,1.95,1.96,2.04,1.97,1.91,1.86,1.82,1.89,1.79,0.0,3.45,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,4.74,4.66,4.01,0.0,3.12,3.07,3.29,3.17,3.18,3.05,2.93,2.8,2.59,2.66,2.27,2.27,2.39,2.32,2.19,2.27,2.08,2.06,2.23,2.14,2.21,2.02,1.82,1.97,2.17,2.06,1.96,1.94,2.06,1.99,1.9,1.84,1.79,1.85,1.79,0.0,3.4,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,4.74,4.66,4.01,0.0,3.12,3.07,3.29,3.17,3.18,3.05,2.93,2.8,2.59,2.66,2.27,2.27,2.39,2.32,2.19,2.27,2.08,2.06,2.23,2.14,2.21,2.02,1.82,1.97,2.17,2.06,1.96,1.94,2.06,1.99,1.9,1.84,1.79,1.85,1.79,0.0,3.4,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,4.74,4.66,4.01,0.0,3.12,3.07,3.29,3.17,3.18,3.05,2.93,2.8,2.59,2.66,2.27,2.27,2.39,2.32,2.19,2.27,2.08,2.06,2.23,2.14,2.21,2.02,1.82,1.97,2.17,2.06,1.96,1.94,2.06,1.99,1.9,1.84,1.79,1.85,1.79,0.0,3.4,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,4.73,4.63,4.01,0.0,3.06,3.1,3.25,3.21,3.07,3.08,2.92,2.76,2.61,2.72,2.22,2.27,2.38,2.39,2.25,2.3,2.12,2.1,2.23,2.14,2.23,2.01,1.76,1.95,2.11,2.1,2.01,1.93,2.07,1.92,1.84,1.86,1.86,1.91,1.79,0.0,3.37,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,4.76,4.65,4.04,0.0,3.05,3.07,3.16,3.18,3.09,3.12,2.96,2.78,2.56,2.68,2.24,2.26,2.37,2.39,2.31,2.35,2.05,2.09,2.22,2.14,2.21,2.0,1.79,1.96,2.1,2.06,2.03,1.92,2.07,1.85,1.83,1.85,1.86,1.88,1.79,0.0,3.55,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,4.78,4.78,4.01,0.0,3.0,3.05,3.21,3.17,3.13,3.11,2.96,2.74,2.58,2.65,2.22,2.28,2.38,2.46,2.32,2.35,2.04,2.12,2.21,2.11,2.22,1.97,1.73,1.94,2.11,2.06,2.04,1.93,2.06,1.83,0.0,1.85,1.86,1.84,1.77,0.0,3.63,1.71,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,4.78,4.78,4.01,0.0,3.0,3.05,3.21,3.17,3.13,3.11,2.96,2.74,2.58,2.65,2.22,2.28,2.38,2.46,2.32,2.35,2.04,2.12,2.21,2.11,2.22,1.97,1.73,1.94,2.11,2.06,2.04,1.93,2.06,1.83,0.0,1.85,1.86,1.84,1.77,0.0,3.63,1.71,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,4.85,4.82,3.99,0.0,3.03,3.07,3.21,3.18,3.14,3.1,2.94,2.75,2.55,2.63,2.26,2.24,2.39,2.48,2.31,2.41,2.03,2.1,2.22,2.1,2.22,1.99,1.78,1.97,2.12,2.06,2.04,1.92,2.04,1.84,0.0,1.87,1.85,1.88,1.75,0.0,3.66,1.5,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/30/2021,4.79,4.79,4.01,0.0,3.05,3.08,3.27,3.21,3.14,3.11,2.96,2.74,2.52,2.66,2.26,2.21,2.38,2.26,2.26,2.47,2.04,2.11,2.24,2.07,2.22,2.0,1.76,1.98,2.15,2.08,2.07,1.94,2.05,1.86,0.0,1.89,1.82,1.88,1.76,0.0,3.65,1.51,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,4.69,4.86,4.09,0.0,3.04,2.98,3.24,3.18,3.09,3.08,2.96,2.7,2.52,2.64,2.33,2.27,2.38,2.27,2.31,2.54,2.03,2.15,2.2,2.09,2.12,2.0,1.76,1.99,2.09,2.09,2.05,1.98,1.99,1.83,0.0,1.92,1.86,1.9,1.8,0.0,3.7,1.49,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,4.69,4.86,4.09,0.0,3.04,2.98,3.24,3.18,3.09,3.08,2.96,2.7,2.52,2.64,2.33,2.27,2.38,2.27,2.31,2.54,2.03,2.15,2.2,2.09,2.12,2.0,1.76,1.99,2.09,2.09,2.05,1.98,1.99,1.83,0.0,1.92,1.86,1.9,1.8,0.0,3.7,1.49,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,4.69,4.86,4.09,0.0,3.04,2.98,3.24,3.18,3.09,3.08,2.96,2.7,2.52,2.64,2.33,2.27,2.38,2.27,2.31,2.54,2.03,2.15,2.2,2.09,2.12,2.0,1.76,1.99,2.09,2.09,2.05,1.98,1.99,1.83,0.0,1.92,1.86,1.9,1.8,0.0,3.7,1.49,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,4.69,4.86,4.09,0.0,3.04,2.98,3.24,3.18,3.09,3.08,2.96,2.7,2.52,2.64,2.33,2.27,2.38,2.27,2.31,2.54,2.03,2.15,2.2,2.09,2.12,2.0,1.76,1.99,2.09,2.09,2.05,1.98,1.99,1.83,0.0,1.92,1.86,1.9,1.8,0.0,3.7,1.49,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
