,NESN.SW,ROG.SW,ASML.AS,NOVN.SW,NOVO B.CO,7203.T,SAP.DE,RY.TO,TD.TO,MC.PA,State Street Instl US Govt MMkt Premier,ULVR.L,VOW3.DE,AZN.L,1299.HK,ALV.DE,DPW.DE,CBA.AX,RIO.L,BNS.TO,SAN.PA,SIE.DE,6758.T,8306.T,BMO.TO,ABBN.SW,RDSA.AS,OR.PA,7974.T,6501.T,BHP.AX,BATS.L,TTE.PA,9984.T,UBSG.SW,DSV.CO,SHOP,CSL.AX,6861.T,GSK.L,CP.TO,BBVA.MC,9433.T,8316.T,ATD/A.NE,DTE.DE,SU.PA,AI.PA,HEN3.DE,ENB.TO,D05.SI,8031.T,AIR.PA,MRK.DE,O39.SI,BAM.A.TO,8001.T,9434.T,MFC.TO,DAI.DE,8411.T,PAH3.DE,388.HK,WBC.AX,9432.T,BAS.DE,BNP.PA,IBE.MC,RITN.,INVE B.ST,NAB.AX,CNR.TO,ADYEN.AS,SAN.MC,ENEL.MI,6594.T,8035.T,ANZ.AX,RKT.L,HSBA.L,7267.T,ATCO A.ST,ZURN.SW,CS.PA,7741.T,BHP.L,INGA.AS,REL.L,DGE.L,6981.T,4502.T,VOLV B.ST,WES.AX,KNIN.SW,4063.T,PGHN.SW,CM.TO,SIGN.SW,LOGN.SW,GEBN.SW,VACN.SW,ISP.MI,TRP.TO,6367.T,SFSN.SW,FI-N.SW,SCMN.SW,BN.PA,SGSN.SW,BCE.TO,SIKA.SW,VOD.L,GLEN.L,LLOY.L,SCHP.SW,6098.T,PRX.AS,BUCN.SW,HOLN.SW,BAER.SW,EMMN.SW,ADEN.SW,ERIC B.ST,DKSH.SW,PNDORA.CO,6954.T,BKW.SW,MAERSK B.CO,CRH.L,RBREW.CO,CARL B.CO,6902.T,BP.L,3382.T,SRAIL.SW,NETC.CO,KNEBV.HE,SREN.SW,8058.T,ABX.TO,SWON.SW,CNQ.TO,DSY.PA,WSP.TO,WRT1V.HE,TFII.TO,POW.TO,BMW.DE,WOW.AX,SRT3.,Muenchener Rueckve,9983.T,ONEX.TO,4338.SR,IGM.TO,FSV.TO,ALC.SW,TIH.TO,LIGHT.AS,HFG.DE,NTR.TO,IMI.L,CTC.A.TO,GWO.TO,FDJ.PA,CSU.TO,BARC.L,IFC.TO,DPH.L,TRYG.CO,NA.TO,L.TO,PPL.TO,BT.A.L,GIB.A.TO,Hexagon AB ADR,8766.T,AHT.L,4338.SR.1,ANDR.VI,CTEC.L,ZAL.DE,4338.SR.2,IPN.PA,SPX.L,KESKOB.HE,H.TO,DOL.TO,VALMT.HE,ERF.PA,HWDN.L,SLF.TO,EMA.TO,MONC.MI,DIA.MI,X.TO,IP.MI,EMP.A.TO,RBA.TO,6503.T,Coloplast B Common Stock Dkk1.,HXGBY,CVM,Metro Inc/Cn Common Stock,Aust And Nz Banking Group Common Stock,DSYA.,DIM.PA,WDP.BR,KOJAMO.HE,WKL.AS,SY1.DE,MIN.AX,FRE.DE,ENT.L,HTO.AT,FERG.L,STJ.L,AALB.AS,CAP.PA,SUM
07/09/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/12/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/13/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/14/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/15/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/16/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/19/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/20/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/21/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
07/22/2021,1.67,1.53,1.06,1.05,0.92,0.9,0.9,0.88,0.8,0.75,0.73,0.72,0.69,0.68,0.65,0.63,0.63,0.62,0.59,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66
