,DPZ,AMC,CZR,CVNA,CROX,RH,RVLV,BURL,LB,ROKU,AEO,ELY,GPS,YETI,DKS,PRTS,MGM,EVRI,SGMS,TGT,SIG,HIBB,DDS,RRR,VSTO,PLCE,BOOT,ANF,BYD,SEAS,IHRT,JACK,KTB,GPRO,CHS,BLMN,DAN,TEN,XPEL,HMHC,GDEN,CONN,CAL,HEAR,GCI,MHO,GIII,PLYA,BZH,AGPXX,Beazer Homes USA Inc,Securities Lending - Bnym,Cash/Receivables/Payables,Playa Hotels & Resorts NV Shs -A-,BBWI WI,VSCO WI,n/a,VSCO,688008.SS,BBWI,SUM
07/09/2021,5.23,4.75,4.55,4.15,3.85,3.77,3.71,3.47,3.47,2.81,2.77,2.46,2.44,2.39,2.39,2.37,2.28,2.26,2.24,2.22,2.15,2.13,2.03,1.9,1.86,1.77,1.71,1.55,1.45,1.41,1.32,1.27,1.25,1.14,1.14,1.11,1.09,1.08,0.98,0.97,0.93,0.84,0.8,0.78,0.78,0.73,0.73,0.7,0.66,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,5.23,4.38,4.47,4.24,3.96,3.84,3.76,3.41,3.46,2.78,2.72,2.46,2.44,2.38,2.47,2.4,2.3,2.24,2.12,2.24,2.11,2.28,2.07,1.91,1.89,1.76,1.71,1.53,1.4,1.42,1.31,1.25,1.28,1.12,1.24,1.11,1.1,1.07,0.99,0.97,0.97,0.86,0.81,0.78,0.77,0.73,0.74,0.7,0.65,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,5.23,4.38,4.47,4.24,3.96,3.84,3.76,3.41,3.46,2.78,2.72,2.46,2.44,2.38,2.47,2.4,2.3,2.24,2.12,2.24,2.11,2.28,2.07,1.91,1.89,1.76,1.71,1.53,1.4,1.42,1.31,1.25,1.28,1.12,1.24,1.11,1.1,1.07,0.99,0.97,0.97,0.86,0.81,0.78,0.77,0.73,0.74,0.7,0.65,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,5.23,4.38,4.47,4.24,3.96,3.84,3.76,3.41,3.46,2.78,2.72,2.46,2.44,2.38,2.47,2.4,2.3,2.24,2.12,2.24,2.11,2.27,2.07,1.91,1.89,1.76,1.71,1.53,1.4,1.42,1.31,1.25,1.28,1.12,1.24,1.11,1.1,1.07,0.99,0.97,0.97,0.86,0.8,0.78,0.77,0.73,0.74,0.7,0.0,0.19,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,5.23,4.02,4.52,4.23,3.96,3.87,3.79,3.4,3.59,2.78,2.76,2.44,2.42,2.41,2.43,2.4,2.28,2.22,2.11,2.27,2.11,2.24,2.09,1.94,1.89,1.8,1.73,1.52,1.42,1.41,1.3,1.24,1.28,1.15,1.22,1.15,1.1,1.08,1.06,0.96,1.0,0.88,0.8,0.77,0.78,0.73,0.73,0.7,0.64,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/16/2021,5.39,3.79,4.53,4.29,4.02,3.91,3.82,3.46,3.54,2.79,2.76,2.46,2.41,2.43,2.47,2.36,2.28,2.19,2.11,2.3,2.1,2.22,2.11,1.91,1.88,1.79,1.75,1.51,1.4,1.37,1.3,1.25,1.27,1.11,1.15,1.16,1.12,1.06,1.07,0.98,1.0,0.88,0.79,0.76,0.77,0.72,0.74,0.69,0.63,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/19/2021,5.59,3.6,4.59,4.29,4.13,3.83,3.61,3.59,3.68,2.76,2.71,2.44,2.36,2.47,2.54,2.31,2.28,2.15,2.02,2.4,2.04,2.17,2.11,1.94,1.93,1.68,1.7,1.47,1.42,1.45,1.3,1.26,1.31,1.12,1.14,1.14,1.17,1.06,1.04,1.02,0.99,0.87,0.78,0.76,0.81,0.76,0.72,0.69,0.64,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,5.7,3.58,4.48,4.43,4.1,3.89,3.78,3.58,3.7,2.78,2.71,2.41,2.3,2.46,2.5,2.29,2.26,2.1,1.96,2.44,1.99,2.18,2.11,1.91,1.91,1.69,1.72,1.48,1.41,1.46,1.35,1.3,1.31,1.14,1.12,1.14,1.16,0.96,1.06,1.02,0.95,0.86,0.76,0.77,0.81,0.76,0.72,0.69,0.0,0.16,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,5.7,3.58,4.48,4.43,4.1,3.89,3.78,3.58,3.7,2.78,2.71,2.41,2.3,2.46,2.5,2.29,2.26,2.1,1.96,2.44,1.99,2.18,2.11,1.91,1.91,1.69,1.72,1.48,1.41,1.46,1.35,1.3,1.31,1.14,1.12,1.14,1.16,0.96,1.06,1.02,0.95,0.86,0.76,0.77,0.81,0.76,0.72,0.69,0.0,0.16,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,5.7,3.58,4.48,4.43,4.1,3.89,3.78,3.58,3.7,2.78,2.71,2.41,2.3,2.46,2.5,2.29,2.26,2.1,1.96,2.44,1.99,2.18,2.11,1.91,1.91,1.69,1.72,1.48,1.41,1.46,1.35,1.3,1.31,1.14,1.12,1.14,1.16,0.96,1.06,1.02,0.95,0.86,0.76,0.77,0.81,0.76,0.72,0.69,0.0,0.16,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,5.47,4.3,4.43,4.48,4.14,3.78,3.71,3.47,3.69,2.83,2.72,2.47,2.26,2.51,2.52,2.34,2.23,2.11,1.96,2.42,1.89,2.27,2.02,1.92,1.9,1.6,1.71,1.44,1.4,1.37,1.3,1.27,1.28,1.15,1.11,1.08,1.17,1.0,1.1,1.06,0.95,0.82,0.76,0.8,0.86,0.76,0.71,0.7,0.64,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/26/2021,6.06,3.63,4.39,4.51,4.59,3.78,3.76,3.46,3.7,2.79,2.66,2.46,2.25,2.51,2.54,2.35,2.23,2.1,1.9,2.38,1.89,2.15,2.14,1.91,1.82,1.62,1.72,1.4,1.42,1.35,1.29,1.27,1.25,1.1,1.07,1.08,1.12,0.98,1.19,1.08,0.95,0.8,0.76,0.8,0.84,0.75,0.7,0.7,0.0,0.16,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,5.86,3.58,4.25,4.53,4.53,3.8,3.74,3.48,3.74,3.11,2.63,2.44,2.24,2.58,2.59,2.43,2.18,2.13,1.85,2.4,1.88,2.19,2.09,1.89,1.81,1.64,1.72,1.36,1.4,1.31,1.31,1.28,1.26,1.1,1.08,1.08,1.11,0.97,1.21,1.08,0.97,0.79,0.77,0.79,0.82,0.77,0.7,0.67,0.0,0.17,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/28/2021,5.86,3.58,4.25,4.53,4.53,3.8,3.74,3.48,3.74,3.11,2.63,2.44,2.24,2.58,2.59,2.43,2.18,2.13,1.85,2.4,1.88,2.19,2.09,1.89,1.81,1.64,1.72,1.36,1.4,1.31,1.31,1.28,1.26,1.1,1.08,1.08,1.11,0.97,1.21,1.08,0.97,0.79,0.77,0.79,0.82,0.77,0.7,0.67,0.0,0.17,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/29/2021,5.88,3.84,4.33,4.44,4.49,3.71,3.69,3.43,3.67,3.11,2.65,2.47,2.28,2.55,2.55,2.35,2.18,2.15,1.88,2.37,1.87,2.17,2.1,1.92,1.79,1.63,1.75,1.37,1.42,1.36,1.31,1.28,1.27,1.09,1.14,1.1,1.12,0.97,1.13,1.07,0.99,0.8,0.77,0.78,0.87,0.75,0.7,0.68,0.0,0.17,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,6.03,3.69,4.37,4.52,4.46,3.75,3.8,3.44,3.74,3.03,2.67,2.43,2.26,2.56,2.57,2.28,2.15,2.15,1.87,2.39,1.85,2.16,2.09,1.93,1.78,1.62,1.76,1.36,1.43,1.35,1.3,1.3,1.26,1.09,1.09,1.12,1.12,0.96,1.03,1.05,0.98,0.8,0.76,0.79,0.9,0.77,0.7,0.68,0.0,0.17,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,5.85,3.67,4.21,4.51,4.68,3.7,3.75,3.46,3.8,2.94,2.61,2.43,2.22,2.55,2.6,2.35,2.14,2.13,1.88,2.4,1.83,2.15,2.08,1.89,1.89,1.59,1.78,1.33,1.44,1.37,1.31,1.28,1.24,1.11,1.14,1.05,1.16,1.01,1.1,1.04,0.99,0.8,0.77,0.8,0.9,0.84,0.71,0.0,0.68,0.18,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,5.89,3.59,4.13,4.53,4.71,3.7,3.78,3.55,3.86,2.82,2.64,2.43,2.25,2.56,2.6,2.3,2.12,2.13,1.88,2.41,1.81,2.13,2.11,1.85,1.87,1.6,1.82,1.33,1.43,1.39,1.33,1.28,1.25,1.1,1.12,1.06,1.19,1.0,1.11,1.06,0.98,0.76,0.77,0.8,0.92,0.85,0.71,0.67,0.68,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/04/2021,5.89,3.59,4.13,4.53,4.71,3.7,3.78,3.55,3.86,2.82,2.64,2.43,2.25,2.56,2.6,2.3,2.12,2.13,1.88,2.41,1.81,2.13,2.11,1.85,1.87,1.6,1.82,1.33,1.43,1.39,1.33,1.28,1.25,1.1,1.12,1.06,1.19,1.0,1.11,1.06,0.98,0.76,0.77,0.8,0.92,0.85,0.71,0.67,0.68,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/05/2021,5.95,3.42,4.09,4.48,4.74,3.67,3.86,3.5,3.85,2.78,2.66,2.5,2.25,2.6,2.62,2.26,2.12,2.2,1.92,2.38,1.84,2.14,2.04,1.86,1.91,1.65,1.79,1.32,1.45,1.38,1.32,1.26,1.26,1.07,1.16,1.07,1.16,0.99,1.12,1.06,0.99,0.79,0.77,0.79,0.91,0.85,0.7,0.66,0.66,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,6.0,3.25,4.28,4.52,4.92,3.79,3.3,3.56,0.0,2.66,2.57,2.5,2.2,2.78,2.69,2.22,2.25,2.07,1.94,2.42,1.74,2.04,1.98,1.96,1.99,1.66,1.87,1.26,1.47,1.51,1.36,1.19,1.27,1.08,1.07,1.09,1.14,0.94,1.03,1.28,1.02,0.78,0.74,0.75,0.89,0.83,0.7,0.69,0.65,0.19,0.0,0.0,0.0,0.0,3.01,0.94,0.0,0.0,0.0,0.0,100.04
08/12/2021,5.87,3.24,4.24,4.72,4.82,3.8,3.51,3.5,0.0,2.59,2.55,2.56,2.21,2.67,2.63,2.5,2.19,2.07,2.11,2.4,1.76,2.05,2.0,2.02,1.98,1.71,1.8,1.27,1.47,1.47,1.06,1.16,1.25,1.16,1.1,1.04,1.15,0.93,0.97,1.25,1.07,0.79,0.71,0.74,0.98,0.79,0.67,0.67,0.63,0.18,0.0,0.0,0.0,0.0,2.93,1.1,0.0,0.0,0.0,0.0,100.04
08/13/2021,5.67,3.01,4.17,4.84,4.77,3.91,3.51,3.64,0.0,2.44,2.62,2.37,2.28,2.64,2.65,2.42,2.19,2.02,2.0,2.38,1.86,2.12,2.06,2.0,2.01,1.81,1.82,1.34,1.46,1.45,1.09,1.13,1.25,1.19,1.16,1.05,1.15,0.95,1.0,1.24,1.04,0.82,0.74,0.72,0.96,0.79,0.69,0.67,0.63,0.18,0.0,0.0,0.0,0.0,2.94,1.15,0.0,0.0,0.0,0.0,100.0
08/16/2021,5.63,3.12,4.31,4.67,4.86,4.0,3.47,3.56,0.0,2.37,2.52,2.28,2.25,2.64,2.66,2.22,2.24,2.16,2.14,2.35,1.88,2.12,2.15,1.94,2.02,1.94,1.81,1.32,1.49,1.47,1.15,1.16,1.27,1.09,1.11,1.08,1.16,0.97,0.97,1.25,1.02,0.81,0.73,0.7,0.91,0.83,0.69,0.66,0.65,0.24,0.0,0.0,0.0,0.0,2.93,1.12,-0.04,0.0,0.0,0.0,100.05
08/19/2021,5.68,3.42,4.08,4.79,5.02,3.94,3.19,3.57,0.0,2.32,2.43,2.26,2.14,2.69,2.75,2.18,2.2,2.16,2.1,2.4,1.91,2.09,2.34,1.95,1.95,1.96,1.84,1.28,1.47,1.48,1.17,1.2,1.3,1.08,1.09,1.09,1.17,0.95,0.88,1.29,0.99,0.79,0.73,0.67,0.91,0.84,0.69,0.64,0.66,0.21,0.0,0.0,0.0,0.0,2.95,1.14,0.0,0.0,0.0,0.0,100.03
08/20/2021,6.02,3.67,4.04,4.8,4.89,3.9,3.14,3.54,0.0,2.4,2.4,2.24,2.1,2.65,2.69,2.2,2.18,2.15,2.08,2.39,1.85,2.04,2.28,1.93,1.96,1.95,1.82,1.27,1.47,1.47,1.2,1.21,1.32,1.11,1.06,1.08,1.17,0.95,0.89,1.27,0.99,0.77,0.73,0.68,0.92,0.84,0.7,0.66,0.66,0.22,0.0,0.0,0.0,0.0,2.9,1.17,0.0,0.0,0.0,0.0,100.02
