,MRNA,PTON,SWKS,SPLK,AMD,REGN,XLNX,ROST,ORLY,IDXX,EBAY,AAPL,ISRG,NFLX,NVDA,MSFT,ZM,VRTX,QCOM,ADSK,CPRT,CTAS,CHTR,ANSS,MELI,TSLA,SNPS,SBUX,PAYX,MU,CDNS,LULU,CDW,INTU,ADBE,DXCM,FB,AMZN,AMAT,DOCU,ILMN,MRVL,TXN,COST,NXPI,VRSK,VRSN,SIRI,OKTA,MTCH,ADI,ALXN,GILD,ADP,FAST,CSX,MXIM,KDP,PYPL,AVGO,ASML Holding N.V. (New York Registry Shares),AMGN,AEP,ATVI,WDAY,PEP,LRCX,KLAC,EA,INTC,CMCSA,CSCO,BIDU,CERN,MCHP,TMUS,NTES,FISV,MAR,TEAM,CTSH,ALGN,EXC,INCY,JD,MDLZ,PCAR,SGEN,XEL,MNST,KHC,CHKP,DLTR,BKNG,WBA,TCOM,BIIB,PDD,GOOGL,GOOG,FOXA,FOX,US Dollar,ASML,018000.KQ,HON,SUM
07/09/2021,1.14,1.09,1.09,1.07,1.07,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.9,0.89,0.87,0.87,0.5,0.5,0.47,0.47,0.06,0.0,0.0,0.0,99.99
07/12/2021,1.14,1.04,1.09,1.04,1.03,1.04,0.99,1.03,1.07,1.07,1.06,1.07,1.04,1.03,1.01,1.03,0.99,1.02,1.03,1.03,1.05,1.05,1.04,1.03,1.02,1.01,1.02,1.03,1.06,0.99,1.02,1.04,1.03,1.03,1.04,1.02,1.02,1.03,0.99,1.01,1.02,1.01,1.0,1.05,1.0,1.02,1.01,1.0,1.01,1.01,0.99,1.0,1.0,1.02,1.03,0.97,0.97,0.99,1.02,1.0,0.99,1.0,1.0,0.97,0.98,0.99,0.96,0.98,0.97,0.98,0.99,1.0,0.95,0.98,0.96,0.97,0.96,0.98,0.98,0.97,0.98,0.99,0.96,0.95,0.98,0.98,0.97,0.93,0.97,0.94,0.96,1.01,0.96,0.94,0.89,0.83,0.9,0.85,0.5,0.5,0.47,0.46,0.06,0.0,0.0,0.0,100.04
07/13/2021,1.14,1.04,1.09,1.04,1.03,1.04,0.99,1.03,1.07,1.07,1.06,1.07,1.04,1.03,1.01,1.03,0.99,1.02,1.03,1.03,1.05,1.05,1.04,1.03,1.02,1.01,1.02,1.03,1.06,0.99,1.02,1.04,1.03,1.03,1.04,1.02,1.02,1.03,0.99,1.01,1.02,1.01,1.0,1.05,1.0,1.02,1.01,1.0,1.01,1.01,0.99,1.0,1.0,1.02,1.03,0.97,0.97,0.99,1.02,1.0,0.99,1.0,1.0,0.97,0.98,0.99,0.96,0.98,0.97,0.98,0.99,1.0,0.95,0.98,0.96,0.97,0.96,0.98,0.98,0.97,0.98,0.99,0.96,0.95,0.98,0.98,0.97,0.93,0.97,0.94,0.96,1.01,0.96,0.94,0.89,0.83,0.9,0.85,0.5,0.5,0.47,0.46,0.06,0.0,0.0,0.0,100.04
07/14/2021,1.14,1.04,1.09,1.04,1.03,1.04,0.99,1.03,1.07,1.07,1.06,1.07,1.04,1.03,1.01,1.03,0.99,1.02,1.03,1.03,1.05,1.05,1.04,1.03,1.02,1.01,1.02,1.03,1.06,0.99,1.02,1.04,1.03,1.03,1.04,1.02,1.02,1.03,0.99,1.01,1.02,1.01,1.0,1.05,1.0,1.02,1.01,1.0,1.01,1.01,0.99,1.0,1.0,1.02,1.03,0.97,0.97,0.99,1.02,1.0,0.0,1.0,1.0,0.97,0.98,0.99,0.97,0.98,0.97,0.98,0.99,1.0,0.95,0.98,0.96,0.97,0.96,0.98,0.98,0.97,0.98,0.99,0.96,0.95,0.98,0.98,0.97,0.94,0.97,0.94,0.96,1.01,0.96,0.94,0.89,0.83,0.9,0.85,0.5,0.5,0.47,0.46,0.0,0.99,0.02,0.0,100.02
07/15/2021,1.17,1.06,1.1,1.02,1.03,1.03,0.98,1.03,1.07,1.05,1.05,1.07,1.05,1.03,1.04,1.03,0.97,1.02,1.04,1.01,1.05,1.06,1.02,1.02,1.0,1.06,1.01,1.04,1.05,1.0,1.01,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.01,1.01,1.03,1.01,1.01,1.03,1.02,1.01,0.99,0.99,0.98,1.01,1.0,1.0,1.0,1.02,1.03,0.97,0.97,0.99,1.03,1.01,0.0,0.99,1.0,0.98,0.97,0.99,0.98,0.99,0.97,0.99,0.99,0.99,0.95,0.98,0.97,0.97,0.97,0.97,0.98,0.95,0.98,1.02,0.97,0.94,0.97,0.97,0.97,0.92,0.97,0.95,0.95,1.0,0.95,0.95,0.9,0.82,0.88,0.85,0.51,0.5,0.47,0.47,0.0,1.02,0.02,0.0,100.01
07/16/2021,1.15,1.06,1.09,1.02,1.03,1.04,0.98,1.02,1.07,1.06,1.05,1.08,1.05,1.04,1.02,1.04,0.97,1.02,1.03,1.03,1.04,1.03,1.01,1.02,1.02,1.03,1.01,1.05,1.06,0.98,1.02,1.02,1.01,1.03,1.04,1.04,1.02,1.02,1.0,1.0,1.03,1.0,1.01,1.03,1.02,1.02,0.99,0.99,1.0,1.03,1.0,1.01,1.0,1.02,1.02,0.97,0.97,0.99,1.02,1.01,0.0,1.0,1.0,0.98,0.95,1.01,0.98,0.99,0.99,0.99,0.99,0.99,0.97,0.98,0.96,0.98,1.0,0.99,0.96,0.95,0.97,1.02,0.96,0.93,1.02,0.98,0.97,0.91,0.97,0.96,0.94,1.0,0.95,0.94,0.89,0.83,0.89,0.86,0.51,0.51,0.46,0.46,0.0,1.02,0.03,0.0,100.07
07/19/2021,1.28,0.99,1.1,1.01,1.0,1.07,0.95,1.03,1.09,1.06,1.04,1.1,1.05,1.05,0.96,1.05,0.92,1.04,1.04,1.03,1.06,1.0,1.0,1.03,1.0,1.01,1.02,1.05,1.07,0.97,1.02,1.04,1.03,1.03,1.05,1.03,1.01,1.01,0.99,0.98,0.99,0.99,1.0,1.05,0.98,1.05,1.0,0.99,0.96,1.02,0.98,0.98,1.01,1.04,1.03,0.98,0.96,1.02,1.01,1.0,0.0,1.01,1.02,0.96,0.94,1.03,0.97,0.97,0.99,0.98,1.0,1.0,0.98,0.98,0.92,0.99,1.03,1.0,0.97,0.95,0.98,0.99,0.98,0.93,1.03,1.0,0.98,0.91,0.99,0.99,0.95,1.01,0.96,0.94,0.88,0.82,0.83,0.86,0.51,0.51,0.46,0.46,0.0,1.02,0.04,0.0,100.02
07/20/2021,1.42,0.99,1.09,1.02,0.99,1.06,0.95,1.0,1.1,1.08,1.05,1.09,1.05,1.03,0.93,1.05,0.94,1.06,1.03,1.03,1.07,1.05,1.02,1.03,1.0,1.01,1.02,1.06,1.07,0.95,1.03,1.04,1.03,1.03,1.05,1.05,1.0,1.0,0.95,1.0,1.0,0.96,0.99,1.05,0.96,1.07,1.0,0.99,0.96,1.02,0.97,0.99,1.02,1.04,1.04,0.98,0.95,1.03,1.01,0.99,0.0,1.02,1.03,0.98,0.94,1.04,0.94,0.94,1.0,0.97,0.99,1.01,0.95,0.96,0.9,1.0,1.01,1.01,0.94,0.96,0.98,0.99,1.0,0.92,1.02,1.01,0.98,0.93,1.0,0.99,0.95,1.01,0.96,0.93,0.88,0.79,0.83,0.84,0.51,0.51,0.46,0.45,0.0,1.0,0.04,0.0,100.01
07/21/2021,1.42,0.99,1.09,1.02,0.99,1.06,0.95,1.0,1.1,1.08,1.05,1.09,1.05,1.03,0.93,1.05,0.94,1.06,1.03,1.03,1.07,1.05,1.02,1.03,1.0,1.01,1.02,1.06,1.07,0.95,1.03,1.04,1.03,1.03,1.05,1.05,1.0,1.0,0.95,1.0,1.0,0.96,0.99,1.05,0.96,1.07,1.0,0.99,0.96,1.02,0.97,0.99,1.02,1.04,1.04,0.98,0.95,1.03,1.01,0.99,0.0,1.02,1.03,0.98,0.94,1.04,0.94,0.94,1.0,0.97,0.99,1.01,0.95,0.96,0.9,1.0,1.01,1.01,0.94,0.96,0.98,0.99,1.0,0.92,1.02,1.01,0.98,0.93,1.0,0.99,0.95,1.01,0.96,0.93,0.88,0.79,0.83,0.84,0.51,0.51,0.46,0.45,0.0,1.0,0.04,0.0,100.01
07/22/2021,1.42,0.99,1.09,1.02,0.99,1.06,0.95,1.0,1.1,1.08,1.05,1.09,1.05,1.03,0.93,1.05,0.94,1.06,1.03,1.03,1.07,1.05,1.02,1.03,1.0,1.01,1.02,1.06,1.07,0.95,1.03,1.04,1.03,1.03,1.05,1.05,1.0,1.0,0.95,1.0,1.0,0.96,0.99,1.05,0.96,1.07,1.0,0.99,0.96,1.02,0.97,0.99,1.02,1.04,1.04,0.98,0.95,1.03,1.01,0.99,0.0,1.02,1.03,0.98,0.94,1.04,0.94,0.94,1.0,0.97,0.99,1.01,0.95,0.96,0.9,1.0,1.01,1.01,0.94,0.96,0.98,0.99,1.0,0.92,1.02,1.01,0.98,0.93,1.0,0.99,0.95,1.01,0.96,0.93,0.88,0.79,0.83,0.84,0.51,0.51,0.46,0.45,0.0,1.0,0.04,0.0,100.01
