,MRNA,ASML,ALGN,GOOGL,CDW,NVDA,INTU,EBAY,FB,NXPI,IDXX,DOCU,AVGO,CTAS,FOXA,AMAT,ILMN,LRCX,MAR,BIIB,KHC,n/a,TSLA,SGEN,TEAM,DXCM,MRVL,ISRG,PDD,COST,EXC,QCOM,AAPL,DLTR,ORLY,PAYX,SNPS,KLAC,PANW,CEG,SUM
09/06/2021,7.51,5.48,5.11,5.03,5.01,4.91,4.88,4.84,4.71,4.65,4.52,4.5,4.49,4.48,4.48,4.38,4.33,4.31,4.17,4.11,3.97,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,7.82,5.42,5.02,5.01,4.97,4.98,4.87,4.81,4.69,4.64,4.51,4.7,4.52,4.45,4.42,4.39,4.28,4.34,4.07,4.06,3.91,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,7.82,5.42,5.02,5.01,4.97,4.98,4.87,4.81,4.69,4.64,4.51,4.7,4.52,4.45,4.42,4.39,4.28,4.34,4.07,4.06,3.91,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,7.82,5.42,5.02,5.01,4.97,4.98,4.87,4.81,4.69,4.64,4.51,4.7,4.52,4.45,4.42,4.39,4.28,4.34,4.07,4.06,3.91,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,8.22,5.47,5.01,5.05,4.95,4.96,4.87,4.71,4.78,4.65,4.48,4.44,4.52,4.41,4.42,4.43,4.24,4.23,4.12,4.0,3.91,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,8.61,5.43,5.09,5.04,4.93,4.87,4.95,4.62,4.74,4.62,4.46,4.3,4.51,4.53,4.38,4.4,4.24,4.25,4.2,3.68,4.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,8.5,5.48,5.06,4.96,4.89,4.94,4.95,4.6,4.76,4.66,4.5,4.24,4.56,4.58,4.34,4.47,4.23,4.29,4.19,3.68,4.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,8.5,5.48,5.06,4.96,4.89,4.94,4.95,4.6,4.76,4.66,4.5,4.24,4.56,4.58,4.34,4.47,4.23,4.29,4.19,3.68,4.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,7.98,5.58,5.02,5.03,4.89,4.89,4.88,4.62,4.75,4.74,4.35,4.18,4.58,4.62,4.41,4.57,4.2,4.38,4.34,3.72,4.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,8.15,5.7,5.0,5.05,4.82,4.92,4.98,4.55,4.77,4.67,4.4,4.14,4.62,4.51,4.29,4.6,4.18,4.35,4.42,3.65,4.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/20/2021,8.2,5.65,4.98,5.06,4.81,4.89,4.96,4.67,4.68,4.64,4.36,4.18,4.64,4.5,4.4,4.59,4.14,4.36,4.45,3.66,3.97,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
09/21/2021,8.17,5.51,5.08,4.97,4.74,4.83,4.9,4.71,4.6,4.61,4.39,4.28,4.63,4.46,4.56,4.6,4.15,4.36,4.45,3.69,4.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/22/2021,8.17,5.51,5.08,4.97,4.74,4.83,4.9,4.71,4.6,4.61,4.39,4.28,4.63,4.46,4.56,4.6,4.15,4.36,4.45,3.69,4.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
