,FB,NKE,MSFT,AAPL,BLK,JNJ,NVDA,MA,TGT,V,GOOG,UNH,GOOGL,LMT,WMT,ADBE,COST,MMM,PGR,LLY,MRK,TXN,INTC,CSCO,TROW,ACN,AON,ATO,LNT,EBAY,ITW,LULU,MPC,KMI,AMGN,SHW,AFL,PLD,AMAT,INTU,DHI,ROK,AMP,ATVI,APD,ADP,BBY,LRCX,SIVB,IDXX,ZTS,PSA,POOL,MKTX,GRMN,FAST,TSCO,MNST,HSY,PPG,REGN,CPRT,NVR,EA,EW,BKR,BIIB,ADSK,ALGN,ODFL,KLAC,EXPD,GWW,FDS,PHM,CLX,CBRE,VEEV,A,PAYX,FTNT,AVB,CDNS,BF.B,MLM,RMD,FNF,EQR,AVY,XLNX,CHD,XTSLA,SWKS,O,SEIC,CE,TTWO,GL,VIAC,MXIM,WST,ALLE,CHRW,ESS,DRE,COO,TER,RHI,AOS,OMC,STX,VICI,ERIE,HII,FICO,PAYC,ROL,FOXA,IPG,MPWR,ABMD,SAM,BSY,JKHY,HSIC,USD,FOX,CSFUT,SUM
07/09/2021,4.82,3.95,3.52,3.5,3.01,2.98,2.93,2.71,2.69,2.4,2.4,2.39,2.38,2.04,2.04,2.0,1.93,1.66,1.64,1.54,1.47,1.41,1.39,1.37,1.31,1.3,1.23,1.2,1.19,1.13,1.09,1.06,1.04,1.0,0.94,0.84,0.8,0.76,0.75,0.75,0.7,0.66,0.66,0.65,0.64,0.64,0.63,0.61,0.6,0.6,0.55,0.54,0.51,0.5,0.5,0.5,0.48,0.46,0.44,0.43,0.42,0.42,0.42,0.41,0.39,0.39,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.31,0.3,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.05,0.05,0.01,99.97
07/12/2021,4.74,3.98,3.53,3.54,2.97,3.01,2.83,2.67,2.74,2.38,2.4,2.4,2.37,2.05,2.04,2.04,1.97,1.67,1.66,1.56,1.48,1.39,1.38,1.39,1.29,1.32,1.22,1.21,1.2,1.12,1.1,1.07,1.01,0.99,0.94,0.84,0.78,0.77,0.73,0.76,0.69,0.68,0.65,0.64,0.65,0.64,0.62,0.6,0.6,0.61,0.56,0.55,0.52,0.49,0.51,0.51,0.48,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.38,0.39,0.35,0.36,0.35,0.33,0.34,0.33,0.33,0.3,0.3,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.21,0.21,0.21,0.19,0.21,0.23,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.09,0.08,0.08,0.06,0.04,0.05,0.01,100.03
07/13/2021,4.74,3.98,3.53,3.54,2.97,3.01,2.83,2.67,2.74,2.38,2.4,2.4,2.37,2.05,2.04,2.04,1.97,1.67,1.66,1.56,1.48,1.39,1.38,1.39,1.29,1.32,1.22,1.21,1.2,1.12,1.1,1.07,1.01,0.99,0.94,0.84,0.78,0.77,0.73,0.76,0.69,0.68,0.65,0.64,0.65,0.64,0.62,0.6,0.6,0.61,0.56,0.55,0.52,0.49,0.51,0.51,0.48,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.38,0.39,0.35,0.36,0.35,0.33,0.34,0.33,0.33,0.3,0.3,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.21,0.21,0.21,0.19,0.21,0.23,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.09,0.08,0.08,0.06,0.04,0.05,0.01,100.03
07/14/2021,4.76,3.95,3.51,3.55,3.03,2.99,2.83,2.67,2.71,2.38,2.38,2.39,2.36,2.05,2.03,2.02,1.98,1.68,1.66,1.53,1.46,1.39,1.38,1.38,1.31,1.32,1.21,1.21,1.19,1.13,1.11,1.07,1.03,1.01,0.94,0.85,0.79,0.77,0.73,0.75,0.68,0.68,0.66,0.64,0.65,0.64,0.63,0.6,0.63,0.61,0.56,0.55,0.52,0.49,0.51,0.51,0.48,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.35,0.36,0.36,0.33,0.34,0.34,0.33,0.3,0.3,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.21,0.24,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.09,0.08,0.08,0.06,0.03,0.05,0.01,100.06
07/15/2021,4.76,3.95,3.51,3.55,3.03,2.99,2.83,2.67,2.71,2.38,2.38,2.39,2.36,2.05,2.03,2.02,1.98,1.68,1.66,1.53,1.46,1.39,1.38,1.38,1.31,1.32,1.21,1.21,1.19,1.13,1.11,1.07,1.03,1.01,0.94,0.85,0.79,0.77,0.73,0.75,0.68,0.68,0.66,0.64,0.65,0.64,0.63,0.6,0.63,0.61,0.56,0.55,0.52,0.49,0.51,0.51,0.48,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.35,0.36,0.36,0.33,0.34,0.34,0.33,0.3,0.3,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.21,0.24,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.09,0.08,0.08,0.06,0.03,0.05,0.01,100.06
07/16/2021,4.78,3.96,3.54,3.56,3.05,2.98,2.85,2.74,2.74,2.41,2.41,2.42,2.39,2.02,2.03,2.02,1.95,1.67,1.63,1.53,1.45,1.4,1.4,1.37,1.31,1.32,1.19,1.21,1.18,1.11,1.11,1.05,1.0,0.99,0.93,0.85,0.79,0.77,0.74,0.75,0.66,0.68,0.67,0.64,0.64,0.64,0.62,0.61,0.63,0.6,0.56,0.54,0.51,0.49,0.51,0.5,0.48,0.47,0.44,0.43,0.42,0.42,0.39,0.4,0.39,0.39,0.37,0.35,0.37,0.35,0.34,0.33,0.33,0.32,0.29,0.29,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.22,0.23,0.22,0.21,0.22,0.21,0.19,0.2,0.24,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.06,0.03,0.05,0.01,99.97
07/19/2021,4.69,3.97,3.55,3.64,2.96,2.97,2.68,2.8,2.76,2.48,2.42,2.44,2.39,2.03,2.05,2.03,1.98,1.7,1.59,1.51,1.46,1.38,1.38,1.38,1.31,1.33,1.19,1.24,1.21,1.11,1.12,1.07,0.95,0.97,0.94,0.86,0.8,0.78,0.73,0.75,0.66,0.68,0.67,0.63,0.64,0.66,0.64,0.6,0.63,0.6,0.57,0.55,0.5,0.48,0.51,0.51,0.48,0.48,0.45,0.43,0.43,0.43,0.39,0.4,0.39,0.37,0.35,0.35,0.36,0.35,0.33,0.33,0.34,0.32,0.29,0.3,0.26,0.25,0.25,0.26,0.24,0.25,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.19,0.21,0.25,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.02,0.05,0.01,100.0
07/20/2021,4.69,3.97,3.55,3.64,2.96,2.97,2.68,2.8,2.76,2.48,2.42,2.44,2.39,2.03,2.05,2.03,1.98,1.7,1.59,1.51,1.46,1.38,1.38,1.38,1.31,1.33,1.19,1.24,1.21,1.11,1.12,1.07,0.95,0.97,0.94,0.86,0.8,0.78,0.73,0.75,0.66,0.68,0.67,0.63,0.64,0.66,0.64,0.6,0.63,0.6,0.57,0.55,0.5,0.48,0.51,0.51,0.48,0.48,0.45,0.43,0.43,0.43,0.39,0.4,0.39,0.37,0.35,0.35,0.36,0.35,0.33,0.33,0.34,0.32,0.29,0.3,0.26,0.25,0.25,0.26,0.24,0.25,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.19,0.21,0.25,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.02,0.05,0.01,100.0
07/22/2021,4.67,3.95,3.57,3.56,2.9,3.0,2.7,2.67,2.8,2.45,2.43,2.42,2.39,2.03,2.09,2.05,2.03,1.69,1.61,1.55,1.47,1.39,1.37,1.4,1.29,1.33,1.19,1.24,1.24,1.14,1.12,1.08,0.91,0.95,0.96,0.88,0.78,0.8,0.71,0.75,0.68,0.69,0.65,0.63,0.64,0.65,0.63,0.59,0.6,0.62,0.57,0.55,0.51,0.5,0.51,0.52,0.47,0.48,0.46,0.43,0.43,0.44,0.39,0.41,0.39,0.35,0.35,0.35,0.35,0.35,0.33,0.34,0.34,0.33,0.29,0.31,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.23,0.22,0.23,0.2,0.22,0.2,0.19,0.21,0.25,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.1,0.1,0.08,0.09,0.07,0.08,0.06,0.02,0.04,0.01,100.02
07/23/2021,4.68,3.95,3.55,3.61,2.97,2.99,2.64,2.7,2.8,2.44,2.43,2.41,2.39,2.05,2.07,2.05,2.01,1.69,1.59,1.54,1.44,1.39,1.37,1.39,1.31,1.33,1.18,1.23,1.23,1.14,1.13,1.09,0.92,0.95,0.95,0.87,0.79,0.8,0.72,0.76,0.68,0.69,0.66,0.63,0.64,0.65,0.63,0.6,0.62,0.61,0.57,0.55,0.5,0.49,0.52,0.52,0.47,0.48,0.45,0.4,0.43,0.44,0.39,0.4,0.4,0.35,0.34,0.35,0.36,0.35,0.33,0.34,0.34,0.33,0.3,0.3,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.23,0.23,0.23,0.21,0.23,0.2,0.19,0.21,0.25,0.2,0.2,0.2,0.19,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.1,0.1,0.08,0.08,0.07,0.08,0.06,0.03,0.04,0.01,100.04999999999998
