,AAPL,MSFT,AMZN,FB,GOOG,NVDA,TSLA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,COST,TXN,QCOM,AMGN,SBUX,CHTR,INTU,AMAT,AMD,ISRG,ZM,MRNA,MU,BKNG,MDLZ,LRCX,GILD,ADP,MELI,CSX,ATVI,FISV,ILMN,ADSK,ADI,REGN,IDXX,JD,NXPI,DOCU,ASML,VRTX,BIIB,KDP,KHC,EBAY,BIDU,MRVL,ALGN,KLAC,MNST,ROST,MAR,LULU,WDAY,EXC,MTCH,AEP,SNPS,WBA,PDD,DXCM,EA,ALXN,ORLY,MCHP,CDNS,CTAS,PAYX,TEAM,CTSH,XEL,XLNX,NTES,SWKS,PTON,OKTA,FAST,CPRT,PCAR,ANSS,SGEN,VRSK,MXIM,SIRI,VRSN,CDW,CERN,SPLK,CASH,DLTR,TCOM,INCY,CHKP,FOXA,FOX,NQX US 07/16/21 C2820,NQX US 08/20/21 C2950,HON,Cash,7342.T,SUM
07/09/2021,11.49,10.14,8.99,4.09,4.09,3.81,3.8,3.68,2.54,2.1,1.95,1.77,1.67,1.65,1.52,1.43,1.35,1.31,1.3,1.17,1.03,1.01,1.0,1.0,0.91,0.85,0.83,0.7,0.69,0.67,0.66,0.65,0.65,0.64,0.62,0.56,0.55,0.54,0.54,0.5,0.48,0.45,0.44,0.43,0.42,0.42,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.14,0.14,0.12,0.09,0.07,-2.44,0.0,0.0,0.0,0.0,100.01
07/12/2021,11.62,10.16,9.17,4.02,4.08,3.68,3.77,3.67,2.57,2.14,1.98,1.74,1.65,1.67,1.53,1.43,1.35,1.34,1.29,1.15,1.03,1.02,1.02,1.01,0.89,0.81,0.84,0.68,0.69,0.64,0.65,0.66,0.63,0.63,0.62,0.55,0.52,0.53,0.54,0.5,0.48,0.44,0.43,0.43,0.41,0.41,0.42,0.4,0.38,0.41,0.37,0.37,0.35,0.34,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.33,0.32,0.32,0.32,0.33,0.31,0.3,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.2,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.15,0.16,0.13,0.13,0.12,0.09,0.07,-2.28,0.0,0.0,0.0,0.0,100.05
07/13/2021,11.62,10.16,9.17,4.02,4.08,3.68,3.77,3.67,2.57,2.14,1.98,1.74,1.65,1.67,1.53,1.43,1.35,1.34,1.29,1.15,1.03,1.02,1.02,1.01,0.89,0.81,0.84,0.68,0.69,0.64,0.65,0.66,0.63,0.63,0.62,0.55,0.52,0.53,0.54,0.5,0.48,0.44,0.43,0.43,0.41,0.41,0.42,0.4,0.38,0.41,0.37,0.37,0.35,0.34,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.33,0.32,0.32,0.32,0.33,0.31,0.3,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.2,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.15,0.16,0.13,0.13,0.12,0.09,0.07,-2.28,0.0,0.0,0.0,0.0,100.05
07/14/2021,11.72,10.13,9.09,4.06,4.07,3.69,3.78,3.66,2.6,2.12,1.96,1.75,1.66,1.67,1.52,1.45,1.34,1.35,1.29,1.17,1.03,1.02,1.01,1.0,0.9,0.81,0.83,0.67,0.69,0.65,0.65,0.66,0.64,0.63,0.63,0.55,0.54,0.53,0.54,0.5,0.48,0.44,0.44,0.43,0.43,0.42,0.41,0.4,0.38,0.39,0.37,0.37,0.36,0.34,0.34,0.36,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.27,0.27,0.28,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.2,0.21,0.2,0.19,0.18,0.18,0.18,0.17,0.15,0.16,0.13,0.13,0.13,0.09,0.07,-2.5,0.0,0.0,0.0,0.0,100.03
07/15/2021,11.65,10.09,9.07,4.08,4.1,3.76,3.94,3.7,2.62,2.11,1.96,1.75,1.68,1.66,1.52,1.47,1.34,1.33,1.3,1.18,1.02,1.03,0.98,1.0,0.91,0.81,0.84,0.66,0.71,0.66,0.66,0.66,0.65,0.63,0.63,0.54,0.53,0.53,0.54,0.5,0.47,0.45,0.43,0.42,0.42,0.42,0.41,0.41,0.38,0.38,0.37,0.37,0.35,0.34,0.34,0.37,0.35,0.34,0.33,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.27,0.28,0.23,0.25,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.14,0.16,0.13,0.13,0.13,0.09,0.07,-2.68,0.0,0.0,0.0,0.0,99.97
07/16/2021,11.74,10.22,8.98,4.07,4.11,3.72,3.84,3.71,2.6,2.12,1.95,1.76,1.68,1.66,1.55,1.46,1.35,1.33,1.3,1.16,1.03,1.04,0.97,1.0,0.91,0.81,0.83,0.66,0.69,0.65,0.65,0.66,0.65,0.63,0.63,0.55,0.53,0.53,0.54,0.5,0.48,0.45,0.43,0.43,0.44,0.42,0.41,0.41,0.38,0.39,0.37,0.36,0.35,0.35,0.34,0.37,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.29,0.28,0.28,0.26,0.27,0.28,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.19,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.09,0.16,0.13,0.13,0.13,0.09,0.07,-2.63,0.0,0.0,0.0,0.0,99.97
07/19/2021,11.73,10.02,8.66,3.9,4.02,3.4,3.67,3.61,2.51,2.08,1.91,1.73,1.62,1.62,1.54,1.4,1.33,1.31,1.25,1.14,1.02,1.01,0.96,0.99,0.87,0.76,0.81,0.6,0.75,0.62,0.65,0.64,0.63,0.61,0.64,0.53,0.52,0.5,0.53,0.48,0.46,0.44,0.43,0.4,0.45,0.38,0.4,0.4,0.37,0.37,0.36,0.34,0.33,0.35,0.33,0.36,0.34,0.35,0.31,0.32,0.34,0.31,0.33,0.32,0.31,0.3,0.28,0.31,0.3,0.3,0.29,0.31,0.27,0.27,0.27,0.29,0.26,0.27,0.26,0.23,0.24,0.22,0.21,0.21,0.22,0.24,0.22,0.22,0.19,0.21,0.19,0.18,0.19,0.18,0.18,0.17,0.13,0.16,0.13,0.13,0.13,0.09,0.07,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/20/2021,11.73,10.02,8.66,3.9,4.02,3.4,3.67,3.61,2.51,2.08,1.91,1.73,1.62,1.62,1.54,1.4,1.33,1.31,1.25,1.14,1.02,1.01,0.96,0.99,0.87,0.76,0.81,0.6,0.75,0.62,0.65,0.64,0.63,0.61,0.64,0.53,0.52,0.5,0.53,0.48,0.46,0.44,0.43,0.4,0.45,0.38,0.4,0.4,0.37,0.37,0.36,0.34,0.33,0.35,0.33,0.36,0.34,0.35,0.31,0.32,0.34,0.31,0.33,0.32,0.31,0.3,0.28,0.31,0.3,0.3,0.29,0.31,0.27,0.27,0.27,0.29,0.26,0.27,0.26,0.23,0.24,0.22,0.21,0.21,0.22,0.24,0.22,0.22,0.19,0.21,0.19,0.18,0.19,0.18,0.18,0.17,0.13,0.16,0.13,0.13,0.13,0.09,0.07,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/21/2021,11.78,10.2,8.7,3.95,4.12,3.33,3.71,3.69,2.55,2.13,1.92,1.71,1.61,1.65,1.57,1.39,1.35,1.32,1.25,1.16,1.05,1.04,0.97,1.0,0.87,0.76,0.82,0.62,0.83,0.61,0.65,0.65,0.61,0.62,0.64,0.54,0.52,0.52,0.54,0.49,0.47,0.44,0.43,0.41,0.45,0.38,0.41,0.39,0.38,0.37,0.37,0.35,0.33,0.34,0.33,0.36,0.33,0.36,0.31,0.32,0.34,0.31,0.33,0.32,0.31,0.3,0.29,0.3,0.31,0.31,0.29,0.32,0.27,0.27,0.28,0.29,0.26,0.27,0.27,0.23,0.24,0.22,0.22,0.21,0.22,0.24,0.22,0.22,0.2,0.22,0.19,0.19,0.19,0.18,0.18,0.17,0.22,0.16,0.12,0.13,0.13,0.09,0.06,0.0,-1.02,0.0,0.0,0.0,100.04
07/22/2021,11.55,10.13,8.71,3.93,4.07,3.46,3.75,3.64,2.57,2.14,1.9,1.73,1.62,1.64,1.58,1.39,1.32,1.34,1.26,1.17,1.06,1.01,0.98,1.0,0.88,0.77,0.81,0.61,0.92,0.61,0.63,0.66,0.62,0.62,0.64,0.54,0.51,0.51,0.52,0.49,0.46,0.43,0.44,0.41,0.44,0.38,0.43,0.39,0.37,0.37,0.37,0.35,0.34,0.34,0.33,0.35,0.34,0.36,0.3,0.31,0.34,0.31,0.33,0.31,0.31,0.3,0.28,0.3,0.31,0.31,0.3,0.32,0.26,0.28,0.28,0.28,0.27,0.26,0.26,0.23,0.24,0.22,0.23,0.22,0.22,0.24,0.22,0.22,0.2,0.22,0.19,0.19,0.19,0.18,0.18,0.17,0.21,0.16,0.12,0.13,0.12,0.09,0.06,0.0,-0.85,0.0,0.0,0.0,100.01
