,INVH,EQR,AVB,SUI,MAA,ESS,AIRC,ACC,AMH,CAR.UN.TO,UDR,CPT,ELS,TCN.TO,IRT,WRE,KMP.UN.TO,NXRT,IIP.UN.TO,BEI.UN.TO,VRE,CSR,UMH,AIV,APTS,MI.UN.TO,FXFXX,FGXXX,SUM
01/24/2022,7.71,7.6,7.49,7.48,7.42,7.3,4.63,4.62,4.5,4.46,4.45,4.31,4.2,4.17,2.55,2.27,2.1,1.92,1.88,1.83,1.48,1.45,1.17,1.13,0.96,0.78,0.07,0.07,100.0
01/25/2022,7.67,7.67,7.55,7.45,7.37,7.36,4.58,4.54,4.38,4.52,4.47,4.29,4.21,4.23,2.56,2.26,2.13,1.92,1.91,1.83,1.47,1.45,1.19,1.12,0.97,0.77,0.07,0.07,100.01
01/26/2022,7.74,7.71,7.57,7.46,7.4,7.34,4.59,4.53,4.42,4.44,4.48,4.3,4.26,4.15,2.57,2.29,2.1,1.93,1.86,1.78,1.44,1.45,1.2,1.12,0.97,0.75,0.07,0.07,99.98999999999998
01/27/2022,7.74,7.71,7.57,7.46,7.4,7.34,4.59,4.53,4.42,4.44,4.48,4.3,4.26,4.15,2.57,2.29,2.1,1.93,1.86,1.78,1.44,1.45,1.2,1.12,0.97,0.75,0.07,0.07,99.98999999999998
01/28/2022,7.68,7.76,7.64,7.44,7.34,7.39,4.62,4.55,4.37,4.4,4.5,4.3,4.26,4.13,2.59,2.31,2.09,1.92,1.84,1.76,1.43,1.46,1.19,1.13,0.98,0.75,0.07,0.07,99.96999999999998
01/31/2022,7.67,7.85,7.68,7.33,7.4,7.33,4.7,4.54,4.31,4.41,4.49,4.25,4.2,4.29,2.63,2.29,2.1,1.91,1.84,1.83,1.38,1.43,1.18,1.12,0.95,0.76,0.07,0.07,100.01
02/01/2022,7.67,7.85,7.68,7.33,7.4,7.33,4.7,4.54,4.31,4.41,4.49,4.25,4.2,4.29,2.63,2.29,2.1,1.91,1.84,1.83,1.38,1.43,1.18,1.12,0.95,0.76,0.07,0.07,100.00999999999998
02/02/2022,7.67,7.85,7.68,7.33,7.4,7.33,4.7,4.54,4.31,4.41,4.49,4.25,4.2,4.29,2.63,2.29,2.1,1.91,1.84,1.83,1.38,1.43,1.18,1.12,0.95,0.76,0.07,0.07,100.01
02/03/2022,7.71,7.8,7.64,7.44,7.49,7.36,4.65,4.51,4.31,4.37,4.5,4.33,4.27,4.16,2.65,2.27,2.05,1.93,1.83,1.78,1.39,1.44,1.17,1.12,0.94,0.75,0.07,0.07,100.0
02/04/2022,7.7,7.71,7.59,7.43,7.48,7.3,4.65,4.53,4.36,4.43,4.49,4.33,4.28,4.14,2.63,2.25,2.04,1.94,1.85,1.8,1.39,1.47,1.18,1.15,0.95,0.75,0.09,0.09,100.0
02/07/2022,7.69,7.86,7.68,7.49,7.62,7.15,4.64,4.43,4.34,4.41,4.49,4.42,4.24,4.18,2.67,2.21,2.05,1.89,1.85,1.79,1.38,1.41,1.17,1.1,0.96,0.75,0.07,0.07,100.00999999999998
02/08/2022,7.69,7.86,7.68,7.49,7.62,7.15,4.64,4.43,4.34,4.41,4.49,4.42,4.24,4.18,2.67,2.21,2.05,1.89,1.85,1.79,1.38,1.41,1.17,1.1,0.96,0.75,0.07,0.07,100.00999999999998
02/09/2022,7.75,7.8,7.65,7.45,7.66,7.14,4.63,4.42,4.36,4.39,4.48,4.48,4.24,4.13,2.69,2.21,2.03,1.89,1.85,1.8,1.39,1.42,1.16,1.1,0.99,0.75,0.07,0.07,100.0
02/10/2022,7.67,7.8,7.61,7.51,7.63,7.11,4.62,4.41,4.35,4.43,4.46,4.4,4.23,4.24,2.68,2.2,2.05,1.91,1.89,1.81,1.41,1.41,1.16,1.09,1.01,0.75,0.07,0.07,99.98
02/11/2022,7.76,7.67,7.56,7.5,7.67,7.01,4.63,4.41,4.34,4.44,4.45,4.44,4.21,4.33,2.69,2.19,2.06,1.89,1.89,1.81,1.43,1.41,1.17,1.09,1.04,0.75,0.07,0.07,99.97999999999999
