,4739.T,ADM.L,8725.T,REL.L,ROG.SW,HEN3.DE,Croda International Plc,NOVN.SW,ENB.TO,G24.DE,8058.T,2331.T,8001.T,9735.T,LR.PA,9048.T,BVI.PA,Kakao Corp.,SU.PA,Daiwa House Residential Investment Corporation,Chocoladefabriken Lindt & Spruengli AG (Participation Certificates),NESN.SW,BARN.SW,RIO.AX,BHP.AX,CM.TO,EssilorLuxottica,TRI.TO,7459.T,DSY.PA,IFC.TO,RY.TO,DPW.DE,Amundi SA,035420.KS,SAN.PA,TD.TO,ENX.PA,4502.T,X.TO,WES.AX,BNS.TO,"Kobayashi Pharmaceutical Co., Ltd.",GIB.A.TO,9433.T,9432.T,OTEX.TO,009150.KS,005930.KS,9434.T,4528.T,018260.KS,MRW.L,000660.KS,DOL.TO,11.HK,388.HK,SIE.DE,RMS.PA,1299.HK,DPH.L,CBA.AX,KER.PA,MPL.AX,CTEC.L,DB1.DE,KBX.DE,PGHN.SW,SPX.L,SBRY.L,CPU.AX,DGE.L,ALV.DE,AZN.L,ASX.AX,HLMA.L,IAG.AX,MC.PA,OR.PA,MQG.AX,ULVR.L,HNR1.DE,Tesco Plc,ML.PA,GSK.L,ECM.L,BATS.L,RKT.L,RTO.L,SK.PA,VIV.PA,TIH.TO,UBI.PA,ZURN.SW,2914.T,BCVN.SW,BALN.SW,ASM.AS,ASML.AS,ENGI.PA,FRE.DE,4452.T,MRK.DE,CP.TO,2269.T,NIBE B.ST,T.TO,SRG.MI,BCE.TO,2897.T,FME.DE,US Dollar,Just Eat Takeaway,BE Semiconductor Industries N.V.,CNR.NE,DTE.DE,AI.PA,AKE.PA,PHIA.AS,SGRO.L,SWECO AB (Class B),005490.KS,Prosus NV,MAERSK B.CO,010130.KS,ASSA B.ST,ATCO A.ST,DSV.CO,Epiroc AB (Class A),GMG.AX,ITX.MC,Vestas Wind Systems A/S,O2D.DE,Dexus / New,SY1.DE,Anheuser-Busch InBev S.A./ N.V.,BNR.DE,Hexagon AB (Class B),Securitas AB (Class B),BXB.AX,COH.AX,TCL.AX,021240.KS,WOW.AX,TLS.AX,SHL.AX,Demant A/S,CSL.AX,COLR.BR,FPE3.DE,AZJ.AX,COL.AX,EVK.DE,035250.KS,NDA SE.ST,S68.SI,Investor AB (Class B),Sika AG (Registered),RHC.AX,NOVO B.CO,KNIN.SW,GMAB.CO,GEBN.SW,D05.SI,002790.KS,Amadeus IT Group S.A. (Class A),U11.SI,SEB A.ST,SGSN.SW,SAMPO.HE,RI.PA,O39.SI,NZYM B.CO,NESTE.HE,DSM.AS,HEIA.AS,HEIO.AS,GN.CO,BEI.DE,090430.KS,ABBN.SW,WKL.AS,SOL.AX,SWED A.ST,SHB A.ST,SCHP.SW,RCO.PA,REE.MC,"Naturgy Energy Group, S.A.",Koninklijke Ahold Delhaize N.V.,Industrivarden AB (Class C),COLO B.CO,CLNX.MC,CA.PA,BUCN.SW,BBVA.MC,SK3.IR,MB.MI,KRX.IR,IBE.MC,Holcim Ltd.,SVT.L,CRDA.L,035720.KS,LISP.SW,8984.T,EL.PA,DSYA.,AMUN.PA,4967.T,TSCO.L,CNR.TO,TKWY.AS,BESI.AS,SWEC B.ST,EPI A.ST,PRX.AS,VWS.CO,ABI.BR,HEXA B.ST,SECU B.ST,DXS.AX,INVE B.ST,DEMANT.CO,SIKA.SW,Us Dollars,AMS.MC,INDUC.ST,AD.AS,NTGY.MC,HOLN.SW,DKSH.SW,GIVN.SW,PNN.L,BN.PA,Pennon Group Plc,UU.L,EMSN.SW,FBK.MI,TEF.MC,FPE3.,ORSTED.CO,DASTF,FUPPF,SAN.MC,BKT.MC,BMED.MI,UMG.AS,PST.MI,SUM
07/09/2021,2.71,2.34,2.15,1.83,1.81,1.78,1.66,1.64,1.38,1.26,1.11,1.07,1.0,1.0,0.9,0.88,0.86,0.83,0.82,0.8,0.77,0.73,0.69,0.67,0.64,0.62,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.49,0.47,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.88
07/12/2021,2.71,2.34,2.1,1.85,1.83,1.78,1.71,1.67,1.38,1.25,1.1,1.05,0.99,1.0,0.91,0.87,0.87,0.83,0.83,0.78,0.79,0.73,0.7,0.67,0.65,0.62,0.62,0.62,0.59,0.61,0.6,0.59,0.59,0.58,0.57,0.58,0.56,0.55,0.54,0.53,0.55,0.54,0.53,0.53,0.53,0.52,0.52,0.5,0.5,0.53,0.51,0.48,0.51,0.46,0.47,0.43,0.46,0.45,0.45,0.42,0.44,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.39,0.37,0.37,0.37,0.36,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.31,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.31,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.24,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.23,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.92000000000002
07/13/2021,2.71,2.34,2.1,1.85,1.83,1.78,1.71,1.67,1.38,1.25,1.1,1.05,0.99,1.0,0.91,0.87,0.87,0.83,0.83,0.78,0.79,0.73,0.7,0.67,0.65,0.62,0.62,0.62,0.59,0.61,0.6,0.59,0.59,0.58,0.57,0.58,0.56,0.55,0.54,0.53,0.55,0.54,0.53,0.53,0.53,0.52,0.52,0.5,0.5,0.53,0.51,0.48,0.51,0.46,0.47,0.43,0.46,0.45,0.45,0.42,0.44,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.38,0.4,0.39,0.37,0.37,0.37,0.36,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.31,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.31,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.24,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.23,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.92000000000002
07/14/2021,2.73,2.33,2.13,1.84,1.82,1.78,0.0,1.66,1.37,1.25,1.12,1.06,1.01,1.01,0.91,0.88,0.87,0.0,0.83,0.0,0.0,0.73,0.69,0.68,0.66,0.62,0.0,0.62,0.59,0.0,0.6,0.59,0.59,0.0,0.57,0.57,0.56,0.55,0.55,0.53,0.55,0.54,0.0,0.53,0.53,0.52,0.52,0.5,0.5,0.53,0.51,0.48,0.51,0.47,0.47,0.43,0.46,0.44,0.44,0.43,0.44,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.0,0.36,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.31,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.23,0.22,0.23,0.22,0.22,0.0,0.23,0.22,0.0,0.23,0.0,0.21,0.0,0.2,0.0,0.0,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.0,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.13,0.0,0.0,0.0,1.7,0.83,0.79,0.78,0.62,0.61,0.58,0.54,0.36,0.26,0.26,0.26,0.25,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.88
07/15/2021,2.75,2.41,2.12,1.85,1.83,1.75,0.0,1.66,1.36,1.26,1.1,1.06,1.0,1.01,0.91,0.86,0.87,0.0,0.83,0.0,0.0,0.73,0.69,0.68,0.66,0.62,0.0,0.61,0.6,0.0,0.59,0.59,0.59,0.0,0.57,0.58,0.55,0.55,0.54,0.53,0.54,0.54,0.0,0.52,0.53,0.52,0.51,0.51,0.5,0.53,0.52,0.49,0.5,0.46,0.47,0.43,0.47,0.44,0.45,0.42,0.44,0.42,0.42,0.42,0.43,0.41,0.42,0.42,0.41,0.4,0.39,0.4,0.38,0.39,0.39,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.0,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.31,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.29,0.31,0.27,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.23,0.22,0.23,0.22,0.23,0.0,0.23,0.22,0.0,0.23,0.0,0.21,0.0,0.2,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.0,0.0,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.13,0.0,0.0,0.0,1.71,0.83,0.79,0.77,0.62,0.61,0.58,0.54,0.36,0.26,0.26,0.26,0.25,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.17,0.17,0.16,0.18,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91
07/16/2021,2.73,2.41,2.15,1.87,1.83,1.74,0.0,1.65,1.36,1.27,1.11,1.07,1.01,1.0,0.91,0.86,0.86,0.0,0.83,0.0,0.0,0.73,0.7,0.68,0.65,0.62,0.0,0.61,0.61,0.0,0.59,0.59,0.58,0.0,0.6,0.58,0.55,0.55,0.55,0.53,0.54,0.54,0.0,0.52,0.53,0.52,0.51,0.51,0.5,0.53,0.52,0.49,0.5,0.47,0.47,0.43,0.47,0.45,0.45,0.43,0.45,0.41,0.42,0.42,0.43,0.4,0.42,0.41,0.42,0.4,0.39,0.4,0.38,0.39,0.39,0.4,0.38,0.4,0.38,0.37,0.37,0.37,0.0,0.36,0.36,0.36,0.35,0.34,0.36,0.34,0.34,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.29,0.31,0.27,0.3,0.3,0.29,0.28,0.28,0.29,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.22,0.22,0.23,0.22,0.23,0.0,0.23,0.21,0.0,0.23,0.0,0.21,0.0,0.2,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.0,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.13,0.0,0.0,0.0,1.72,0.83,0.79,0.79,0.62,0.62,0.57,0.54,0.36,0.26,0.26,0.26,0.25,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.17,0.17,0.16,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.02000000000001
07/19/2021,2.77,2.42,2.17,1.86,1.83,1.74,0.0,1.63,1.34,1.26,1.1,1.09,1.02,1.0,0.91,0.85,0.86,0.0,0.82,0.0,0.0,0.73,0.7,0.69,0.66,0.62,0.0,0.61,0.61,0.0,0.58,0.59,0.58,0.0,0.61,0.57,0.55,0.54,0.56,0.53,0.54,0.54,0.0,0.53,0.54,0.52,0.51,0.52,0.51,0.53,0.52,0.5,0.5,0.48,0.47,0.43,0.47,0.43,0.45,0.43,0.45,0.41,0.42,0.42,0.43,0.4,0.42,0.41,0.42,0.41,0.39,0.4,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.0,0.36,0.36,0.35,0.35,0.34,0.35,0.33,0.34,0.31,0.3,0.31,0.31,0.3,0.31,0.32,0.31,0.29,0.31,0.29,0.31,0.27,0.3,0.3,0.29,0.28,0.28,0.29,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.22,0.26,0.23,0.22,0.23,0.0,0.23,0.2,0.0,0.23,0.0,0.21,0.0,0.21,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.0,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.0,0.16,0.17,0.17,0.17,0.17,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.0,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.13,0.0,0.0,0.0,1.72,0.83,0.79,0.79,0.61,0.62,0.58,0.54,0.35,0.26,0.24,0.26,0.25,0.23,0.23,0.2,0.21,0.21,0.2,0.2,0.17,0.17,0.16,0.13,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03
07/20/2021,2.69,2.42,2.15,1.86,1.83,1.73,0.0,1.63,1.32,1.26,1.1,1.1,1.01,1.01,0.9,0.83,0.85,0.0,0.8,0.0,0.0,0.73,0.7,0.68,0.66,0.61,0.0,0.62,0.6,0.0,0.58,0.58,0.57,0.0,0.61,0.57,0.54,0.54,0.56,0.53,0.54,0.53,0.0,0.52,0.53,0.52,0.5,0.51,0.5,0.52,0.51,0.49,0.49,0.47,0.46,0.42,0.49,0.43,0.44,0.42,0.45,0.41,0.42,0.42,0.43,0.4,0.42,0.41,0.41,0.4,0.39,0.4,0.38,0.37,0.38,0.39,0.38,0.39,0.38,0.37,0.37,0.36,0.0,0.35,0.36,0.34,0.35,0.34,0.35,0.33,0.33,0.3,0.29,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.28,0.31,0.27,0.29,0.3,0.29,0.28,0.28,0.28,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.22,0.26,0.23,0.22,0.22,0.0,0.23,0.2,0.0,0.23,0.0,0.21,0.0,0.2,0.0,0.0,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.0,0.15,0.17,0.16,0.17,0.16,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.13,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.15,0.13,0.13,0.14,0.13,0.0,0.0,0.13,0.0,0.0,0.0,1.72,0.81,0.78,0.79,0.6,0.62,0.57,0.53,0.35,0.26,0.23,0.25,0.23,0.22,0.23,0.2,0.21,0.21,0.2,0.2,0.17,0.17,0.16,0.99,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.15
07/21/2021,2.69,2.42,2.15,1.86,1.83,1.73,0.0,1.63,1.32,1.26,1.1,1.1,1.01,1.01,0.9,0.83,0.85,0.0,0.8,0.0,0.0,0.73,0.7,0.68,0.66,0.61,0.0,0.62,0.6,0.0,0.58,0.58,0.57,0.0,0.61,0.57,0.54,0.54,0.56,0.53,0.54,0.53,0.0,0.52,0.53,0.52,0.5,0.51,0.5,0.52,0.51,0.49,0.49,0.47,0.46,0.42,0.49,0.43,0.44,0.42,0.45,0.41,0.42,0.42,0.43,0.4,0.42,0.41,0.41,0.4,0.39,0.4,0.38,0.37,0.38,0.39,0.38,0.39,0.38,0.37,0.37,0.36,0.0,0.35,0.36,0.34,0.35,0.34,0.35,0.33,0.33,0.3,0.29,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.28,0.31,0.27,0.29,0.3,0.29,0.28,0.28,0.28,0.29,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.22,0.26,0.23,0.22,0.22,0.0,0.23,0.2,0.0,0.23,0.0,0.21,0.0,0.2,0.0,0.0,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.0,0.15,0.17,0.16,0.17,0.16,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.13,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.15,0.13,0.13,0.14,0.13,0.0,0.0,0.13,0.0,0.0,0.0,1.72,0.81,0.78,0.79,0.6,0.62,0.57,0.53,0.35,0.26,0.23,0.25,0.23,0.22,0.23,0.2,0.21,0.21,0.2,0.2,0.17,0.17,0.16,0.99,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.15
07/22/2021,2.78,2.45,2.2,1.86,1.86,1.74,1.73,1.64,1.31,1.28,1.12,1.12,1.04,1.03,0.9,0.85,0.86,0.8,0.8,0.8,0.8,0.74,0.71,0.68,0.65,0.61,0.6,0.62,0.61,0.63,0.58,0.58,0.58,0.57,0.61,0.58,0.53,0.55,0.57,0.54,0.56,0.52,0.55,0.52,0.54,0.53,0.5,0.51,0.5,0.54,0.52,0.49,0.5,0.47,0.46,0.43,0.49,0.43,0.44,0.42,0.46,0.41,0.42,0.43,0.43,0.4,0.42,0.41,0.42,0.4,0.38,0.4,0.37,0.37,0.39,0.39,0.38,0.38,0.39,0.37,0.37,0.35,0.35,0.35,0.36,0.33,0.34,0.35,0.36,0.34,0.34,0.3,0.29,0.31,0.31,0.3,0.31,0.3,0.3,0.29,0.31,0.29,0.31,0.27,0.29,0.3,0.29,0.28,0.28,0.29,0.29,0.27,0.24,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.21,0.23,0.23,0.22,0.25,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.23,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.13,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.0,0.14,0.0,0.13,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03
