,HCSG,OMI,USPH,CNMD,PDCO,ATRI,SWCH,MEI,SSTK,PRGS,CSGS,PBI,EBIX,XPER,AVT,DDS,VSH,SLP,SHEN,IDI.,CCOI,GTN,TDS,ELY,GOLF,PZZA,BKE,GHC,KTB,LEVI,MLHR,SHOO,JW.A,SBTA.,PRG,HNI,HRB,GES,CWH,MTDR,WWE,JACK,IPAR,MUR,SCS,TGNA,FRG,RAVN,LCII,DAN,GPI,MNRO,PTEN,PSMT,MUSA,CLB,BIG,RCII,SAH,US Dollar,WHD,UFS,GIC,LZB,WGO,WWW,RUSHA,MDC,HP,CBRL,STRA,FL9.,WTS,ETRN,EVTC,HL,MLAB,BDC,AIMC,BMI,WIRE,NPO,NSP,KFY,HCC,IBP,MAC,OTTR,MWA,MED,AIN,HLIO,DLX,COKE,RILY,ANAT,ENS,FELE,TTEC,FLOW,SSF.,MAXR,MTRN,ICFI,FUL,GEF,FWRD,B,AROC,EPAC,DK,CVA,FIX,CBT,BRC,FSS,AZZ,NAVI,R,MGRC,TEX,UNF,INT,MOG.A,TN1.,MATX,MANT,LNN,KALU,GVA,BCPC,ACA,AIT,MRTN,SAFM,WERN,TRTN,TRN,BCO,KAMN,MTX,KAI,GATX,ADS,ALG,HI,SJI,NSA,MLI,KRO,HLI,CMC,GFF,CSWI,C6M.,CNS,AVNT,FDP,PRIM,JJSF,OFLX,PATK,PIPR,SKT,SNDR,SCL,GBX,UFPI,VRTS,KMT,FCFS,IRT,CRS,HTLD,ABM,BCC,BSIG,AWR,CIM,CMP,EPC,ESE,EPRT,CASH,WOR,WRI,UE,TSE,SJW,NUS,MSEX,MFA,MGEE,HY,ARI,EAF,AKR,ALE,AAT,ABR,ARCB,AGO,ASTE,SITC,IDCC,SBGI,CVI,Us Dollars,SXT,TNC,CORE,SFBS,ILPT,PJT,CPK,CWT,EPR,SWX,STC,NRC,SEM,CCS,PDCE,IOSP,SWM,WMK,UTZ,WRE,UNIT,TR,FCPT,DEA,OFC,LXP,PDM,NHI,NWN,NWE,SR,RPAI,SBRA,SPB,LTC,CLI,HMN,CALM,HPP,CTRE,BDN,AVA,CWEN,ALX,JOE,LKFN,KW,n/a,VGR,ARGO,FBK,SUM
07/09/2021,2.06,2.05,2.05,1.95,1.75,1.71,1.05,0.91,0.91,0.85,0.83,0.82,0.8,0.77,0.75,0.75,0.74,0.69,0.63,0.57,0.56,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.80000000000001
07/12/2021,2.05,2.2,2.03,1.9,1.74,1.73,1.03,0.92,0.91,0.83,0.82,0.91,0.82,0.75,0.76,0.75,0.73,0.67,0.55,0.56,0.55,0.49,0.5,0.49,0.48,0.5,0.48,0.47,0.48,0.47,0.44,0.45,0.43,0.41,0.42,0.43,0.44,0.42,0.43,0.43,0.41,0.4,0.4,0.41,0.4,0.39,0.38,0.38,0.4,0.38,0.44,0.38,0.37,0.38,0.38,0.36,0.37,0.37,0.38,0.31,0.36,0.34,0.35,0.34,0.35,0.34,0.35,0.33,0.34,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.3,0.27,0.28,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.29,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.0,0.21,0.0,0.21,0.21,0.22,0.21,0.0,0.21,0.22,0.0,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86
07/13/2021,2.05,2.2,2.03,1.9,1.74,1.73,1.03,0.92,0.91,0.83,0.82,0.91,0.82,0.75,0.76,0.75,0.73,0.67,0.55,0.56,0.55,0.49,0.5,0.49,0.48,0.5,0.48,0.47,0.48,0.47,0.44,0.45,0.43,0.41,0.42,0.43,0.44,0.42,0.43,0.43,0.41,0.4,0.4,0.41,0.4,0.39,0.38,0.38,0.4,0.38,0.44,0.38,0.37,0.38,0.38,0.36,0.37,0.37,0.38,0.31,0.36,0.34,0.35,0.34,0.35,0.34,0.35,0.33,0.34,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.3,0.27,0.28,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.29,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.0,0.21,0.0,0.21,0.21,0.22,0.21,0.0,0.21,0.22,0.0,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86
07/14/2021,2.05,2.2,2.03,1.9,1.75,1.73,1.03,0.92,0.91,0.83,0.82,0.91,0.82,0.75,0.76,0.76,0.73,0.67,0.55,0.0,0.55,0.49,0.5,0.49,0.48,0.5,0.48,0.47,0.48,0.47,0.44,0.45,0.43,0.0,0.42,0.43,0.44,0.42,0.43,0.43,0.41,0.4,0.4,0.41,0.4,0.39,0.38,0.38,0.4,0.38,0.44,0.38,0.37,0.38,0.38,0.36,0.37,0.37,0.38,0.0,0.36,0.34,0.35,0.34,0.35,0.34,0.35,0.33,0.34,0.34,0.32,0.0,0.31,0.31,0.3,0.29,0.29,0.29,0.3,0.27,0.28,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.27,0.26,0.26,0.26,0.0,0.24,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.29,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.0,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.0,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.0,0.21,0.0,0.21,0.21,0.22,0.21,0.0,0.21,0.22,0.0,0.21,0.21,0.21,0.22,0.21,0.21,0.0,0.56,0.41,0.31,0.27,0.26,0.24,0.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87
07/15/2021,2.06,2.19,2.03,1.91,1.73,1.74,1.03,0.92,0.92,0.83,0.81,0.89,0.81,0.75,0.75,0.76,0.73,0.67,0.55,0.0,0.56,0.49,0.49,0.48,0.48,0.49,0.48,0.47,0.48,0.47,0.45,0.45,0.43,0.0,0.41,0.43,0.44,0.42,0.43,0.43,0.41,0.39,0.4,0.4,0.4,0.39,0.39,0.38,0.4,0.37,0.43,0.39,0.38,0.37,0.38,0.36,0.36,0.37,0.38,0.0,0.36,0.34,0.35,0.34,0.35,0.34,0.35,0.33,0.34,0.34,0.31,0.0,0.31,0.31,0.3,0.28,0.3,0.29,0.3,0.27,0.27,0.28,0.28,0.28,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.28,0.25,0.27,0.27,0.26,0.26,0.26,0.0,0.24,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.27,0.26,0.26,0.26,0.26,0.28,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.0,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.22,0.0,0.21,0.0,0.21,0.21,0.21,0.21,0.0,0.21,0.22,0.21,0.0,0.21,0.21,0.22,0.21,0.21,0.0,0.55,0.41,0.3,0.27,0.26,0.24,0.23,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76
07/16/2021,2.07,2.14,2.04,1.89,1.74,1.76,1.03,0.92,0.92,0.83,0.82,0.88,0.8,0.75,0.76,0.77,0.74,0.56,0.55,0.0,0.57,0.49,0.5,0.49,0.49,0.5,0.48,0.47,0.47,0.48,0.45,0.46,0.43,0.0,0.42,0.43,0.44,0.41,0.43,0.44,0.41,0.39,0.4,0.4,0.4,0.38,0.39,0.39,0.41,0.38,0.43,0.39,0.37,0.38,0.39,0.37,0.36,0.36,0.39,0.0,0.37,0.35,0.35,0.33,0.34,0.34,0.36,0.32,0.33,0.34,0.32,0.0,0.32,0.31,0.3,0.29,0.3,0.28,0.3,0.27,0.27,0.28,0.29,0.28,0.29,0.26,0.27,0.27,0.28,0.26,0.26,0.28,0.27,0.28,0.25,0.28,0.27,0.26,0.26,0.26,0.0,0.24,0.26,0.27,0.26,0.27,0.25,0.26,0.26,0.26,0.24,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.0,0.25,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.23,0.25,0.23,0.25,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.0,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.21,0.0,0.21,0.21,0.21,0.25,0.21,0.21,0.0,0.21,0.22,0.21,0.21,0.0,0.21,0.22,0.21,0.0,0.0,0.55,0.4,0.3,0.28,0.25,0.24,0.23,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.85000000000001
07/19/2021,2.07,2.13,2.04,1.84,1.76,1.78,1.04,0.9,0.9,0.83,0.83,0.84,0.77,0.74,0.78,0.75,0.73,0.57,0.55,0.0,0.58,0.48,0.49,0.47,0.48,0.5,0.47,0.47,0.47,0.48,0.44,0.45,0.42,0.0,0.41,0.43,0.45,0.4,0.42,0.4,0.38,0.39,0.4,0.37,0.4,0.39,0.39,0.39,0.41,0.39,0.42,0.39,0.35,0.37,0.39,0.35,0.36,0.37,0.39,0.0,0.35,0.35,0.35,0.33,0.34,0.34,0.36,0.33,0.32,0.33,0.31,0.0,0.31,0.3,0.3,0.3,0.3,0.28,0.29,0.27,0.27,0.28,0.29,0.28,0.3,0.27,0.27,0.28,0.28,0.26,0.26,0.27,0.27,0.29,0.24,0.28,0.27,0.26,0.26,0.26,0.0,0.23,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.23,0.29,0.26,0.26,0.26,0.26,0.27,0.27,0.25,0.25,0.25,0.24,0.25,0.25,0.0,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.26,0.24,0.25,0.24,0.24,0.25,0.23,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.24,0.24,0.22,0.0,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.24,0.22,0.22,0.23,0.22,0.23,0.22,0.23,0.24,0.0,0.22,0.22,0.22,0.27,0.21,0.23,0.22,0.21,0.22,0.22,0.0,0.0,0.21,0.0,0.23,0.21,0.22,0.0,0.21,0.22,0.0,0.21,0.0,0.21,0.22,0.21,0.0,0.0,0.54,0.39,0.28,0.23,0.26,0.25,0.23,0.21,0.21,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.48
07/20/2021,2.03,2.2,2.03,1.87,1.78,1.8,1.05,0.88,0.93,0.83,0.85,0.84,0.75,0.75,0.77,0.74,0.73,0.56,0.56,0.0,0.58,0.48,0.5,0.46,0.48,0.5,0.45,0.48,0.47,0.48,0.43,0.44,0.42,0.0,0.41,0.42,0.45,0.39,0.42,0.4,0.38,0.39,0.4,0.36,0.4,0.38,0.38,0.39,0.41,0.38,0.42,0.38,0.34,0.37,0.4,0.35,0.35,0.37,0.39,0.0,0.35,0.36,0.36,0.33,0.34,0.33,0.37,0.33,0.31,0.34,0.32,0.0,0.32,0.29,0.3,0.28,0.3,0.28,0.29,0.27,0.27,0.28,0.29,0.28,0.3,0.26,0.26,0.29,0.28,0.26,0.26,0.27,0.27,0.3,0.24,0.28,0.27,0.27,0.26,0.26,0.0,0.23,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.22,0.3,0.26,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.23,0.24,0.25,0.23,0.24,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.0,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.24,0.0,0.23,0.23,0.22,0.27,0.21,0.23,0.22,0.0,0.21,0.22,0.0,0.0,0.22,0.0,0.25,0.22,0.22,0.0,0.21,0.21,0.0,0.22,0.0,0.22,0.21,0.21,0.0,0.0,0.54,0.38,0.27,0.29,0.25,0.25,0.23,0.0,0.21,0.0,0.22,0.22,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/21/2021,2.03,2.2,2.03,1.87,1.78,1.8,1.05,0.88,0.93,0.83,0.85,0.84,0.75,0.75,0.77,0.74,0.73,0.56,0.56,0.0,0.58,0.48,0.5,0.46,0.48,0.5,0.45,0.48,0.47,0.48,0.43,0.44,0.42,0.0,0.41,0.42,0.45,0.39,0.42,0.4,0.38,0.39,0.4,0.36,0.4,0.38,0.38,0.39,0.41,0.38,0.42,0.38,0.34,0.37,0.4,0.35,0.35,0.37,0.39,0.0,0.35,0.36,0.36,0.33,0.34,0.33,0.37,0.33,0.31,0.34,0.32,0.0,0.32,0.29,0.3,0.28,0.3,0.28,0.29,0.27,0.27,0.28,0.29,0.28,0.3,0.26,0.26,0.29,0.28,0.26,0.26,0.27,0.27,0.3,0.24,0.28,0.27,0.27,0.26,0.26,0.0,0.23,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.22,0.3,0.26,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.23,0.24,0.25,0.23,0.24,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.0,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.24,0.0,0.23,0.23,0.22,0.27,0.21,0.23,0.22,0.0,0.21,0.22,0.0,0.0,0.22,0.0,0.25,0.22,0.22,0.0,0.21,0.21,0.0,0.22,0.0,0.22,0.21,0.21,0.0,0.0,0.54,0.38,0.27,0.29,0.25,0.25,0.23,0.0,0.21,0.0,0.22,0.22,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/22/2021,1.65,1.84,1.65,1.58,1.69,1.68,0.93,0.87,0.96,0.91,0.92,0.24,0.81,0.84,0.91,0.39,0.88,0.79,0.68,0.55,0.62,0.37,0.62,0.0,0.42,0.45,0.36,0.43,0.41,0.41,0.39,0.38,0.39,0.34,0.37,0.39,0.42,0.34,0.38,0.29,0.36,0.39,0.4,0.3,0.39,0.39,0.4,0.0,0.43,0.39,0.44,0.4,0.29,0.4,0.45,0.3,0.38,0.41,0.43,0.4,0.34,0.0,0.42,0.37,0.4,0.39,0.43,0.4,0.31,0.39,0.39,0.0,0.26,0.33,0.25,0.23,0.27,0.24,0.24,0.25,0.23,0.24,0.27,0.23,0.35,0.24,0.0,0.27,0.26,0.0,0.23,0.25,0.24,0.22,0.0,0.0,0.25,0.26,0.26,0.31,0.25,0.0,0.24,0.27,0.26,0.25,0.25,0.25,0.32,0.25,0.27,0.24,0.24,0.24,0.25,0.25,0.26,0.0,0.25,0.24,0.24,0.24,0.33,0.24,0.25,0.27,0.26,0.24,0.24,0.23,0.26,0.32,0.25,0.24,0.21,0.26,0.24,0.25,0.25,0.23,0.25,0.25,0.26,0.24,0.24,0.26,0.0,0.22,0.24,0.25,0.0,0.26,0.24,0.25,0.0,0.0,0.25,0.0,0.25,0.21,0.28,0.26,0.0,0.0,0.25,0.26,0.24,0.25,0.0,0.24,0.0,0.23,0.24,0.25,0.27,0.22,0.0,0.23,0.0,0.31,0.0,0.25,0.0,0.0,0.26,0.0,0.0,0.22,0.22,0.0,0.24,0.0,0.22,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.23,0.0,0.22,0.0,1.87,1.54,0.37,0.29,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.09
