,SPCE,MAXR,IRDM,LHX,TDY,HXL,ORBC,AJRD,NOC,LMT,HEI,RTX,HON,BA,IIVI,ESE,APH,BLL,ADI,TDG,FTV,AME,GD,LDOS,KBR,VSAT,TTMI,HII,J,BWXT,FTI,MOG.A,SXI,Elbit Systems Ltd,DCO,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,ESLT.TA,SDA.AX,SUM
07/09/2021,5.08,4.2,3.95,3.89,3.89,3.86,3.85,3.83,3.81,3.78,3.75,3.72,3.7,3.67,2.56,2.53,2.49,2.48,2.47,2.43,2.41,2.4,2.38,2.37,2.33,2.33,2.29,2.28,2.27,2.23,2.03,1.99,1.13,0.76,0.72,0.15,0.0,0.0,0.0,100.01
07/12/2021,5.78,3.88,3.85,3.94,3.85,3.79,3.83,3.79,3.83,3.79,3.71,3.71,3.71,3.68,2.45,2.49,2.48,2.58,2.41,2.39,2.4,2.4,2.39,2.43,2.38,2.36,2.27,2.25,2.29,2.19,1.98,1.98,1.12,0.76,0.7,0.15,0.0,0.0,0.0,99.99
07/13/2021,5.78,3.88,3.85,3.94,3.85,3.79,3.83,3.79,3.83,3.79,3.71,3.71,3.71,3.68,2.45,2.49,2.48,2.58,2.41,2.39,2.4,2.4,2.39,2.43,2.38,2.36,2.27,2.25,2.29,2.19,1.98,1.98,1.12,0.76,0.7,0.15,0.0,0.0,0.0,99.99
07/14/2021,5.35,3.84,3.93,3.94,3.89,3.83,3.78,3.74,3.81,3.79,3.74,3.72,3.76,3.69,2.48,2.56,2.5,2.54,2.42,2.42,2.42,2.42,2.4,2.43,2.4,2.42,2.25,2.26,2.3,2.21,2.0,2.01,1.12,0.76,0.71,0.15,0.0,0.0,0.0,99.99
07/15/2021,4.47,3.84,4.0,3.99,3.94,3.9,3.84,3.76,3.84,3.79,3.71,3.75,3.82,3.71,2.49,2.62,2.53,2.57,2.47,2.42,2.44,2.46,2.42,2.46,2.45,2.42,2.28,2.27,2.35,2.22,1.97,2.03,1.14,0.76,0.73,0.15,0.0,0.0,0.0,100.01000000000002
07/16/2021,4.2,3.92,3.95,4.04,4.08,3.78,3.87,3.8,3.86,3.82,3.69,3.76,3.85,3.6,2.51,2.61,2.54,2.58,2.49,2.43,2.47,2.47,2.44,2.48,2.44,2.42,2.3,2.27,2.33,2.25,1.97,2.01,1.13,0.77,0.72,0.15,0.0,0.0,0.0,100.0
07/19/2021,3.59,3.72,3.83,4.1,4.15,3.71,3.93,3.92,3.89,3.89,3.68,3.81,4.07,3.58,2.51,2.65,2.56,2.65,2.48,2.43,2.51,2.52,2.49,2.55,2.49,2.42,2.33,2.3,2.36,2.25,1.86,1.99,1.14,0.78,0.72,0.16,0.0,0.0,0.0,100.02
07/20/2021,3.44,3.81,3.85,4.12,4.16,3.69,3.96,3.96,3.9,3.9,3.71,3.76,4.05,3.52,2.5,2.65,2.53,2.69,2.45,2.43,2.51,2.55,2.5,2.58,2.48,2.42,2.32,2.3,2.37,2.27,1.83,2.0,1.12,0.0,0.73,0.0,0.0,0.79,0.16,100.01000000000002
07/21/2021,3.44,3.81,3.85,4.12,4.16,3.69,3.96,3.96,3.9,3.9,3.71,3.76,4.05,3.52,2.5,2.65,2.53,2.69,2.45,2.43,2.51,2.55,2.5,2.58,2.48,2.42,2.32,2.3,2.37,2.27,1.83,2.0,1.12,0.0,0.73,0.0,0.0,0.79,0.16,100.01000000000002
07/22/2021,3.44,3.81,3.85,4.12,4.16,3.69,3.96,3.96,3.9,3.9,3.71,3.76,4.05,3.52,2.5,2.65,2.53,2.69,2.45,2.43,2.51,2.55,2.5,2.58,2.48,2.42,2.32,2.3,2.37,2.27,1.83,2.0,1.12,0.0,0.73,0.0,0.0,0.79,0.16,100.01000000000002
