,ARW,JBL,MOH,SNX,AN,THC,MAN,KSS,AVT,INT,LEA,XPO,LAD,BJ,JLL,RGA,ACM,FLR,JWN,PPC,GT,ADNT,MUSA,DKS,BLDR,HFC,Y,TRGP,STLD,AGCO,THO,JEF,X,EME,ORI,FL,R,RS,AFG,PII,CLF,TOL,CASY,FAF,OC,UNVR,WSM,SAIC,UGI,OSK,XRX,DAN,NCR,INGR,MTZ,TMHC,CACI,RPM,OLN,SFM,CNXC,POST,KBR,KMPR,SON,MDU,WSO,CMC,AMKR,RNR,SLGN,THG,BC,SYNH,KNX,SMG,SKX,PDCO,MAT,CC,TDS,AEO,EHC,SAFM,LSTR,NSP,MCY,FLO,CSL,GEF,HUBB,CAR,HOG,TPD.,SF,CPRI,THS,COTY,LII,ADS,KBH,URBN,COS.,TTC,G,SCI,BCO,ASGN,NAVI,DAR,MMS,FSLR,FLS,AVNT,FHN,TKR,CIEN,TPH,SWX,IIVI,OGE,GO,SIGI,LPX,MSM,CFX,CRI,HRC,CR,ENS,CLH,TTEK,DECK,AYI,VMI,RH,TEX,GHC,ATR,PRG,ENR,RBC,LECO,VNT,BRO,DY,CIT,DCI,BLD,IBKR,SGMS,MIDD,HRB,TGNA,WOR,VSH,CBT,NUS,EVR,COLM,ITT,VC,TXRH,ACHC,SRCL,FCN,JHG,FIVE,HE,JAZZ,NVST,CBRL,VAC,MKSI,VVV,WERN,AMED,CW,SLM,MLHR,NDSN,PRI,HELE,WWD,AMG,ASH,BYD,CHE,VSAT,LHCG,SR,CHX,QDEL,KAR,TNL,SBNY,EQT,SNV,PZZA,NVT,TDC,OLLI,HAIN,TPX,CNO,CROX,GXO WI,NYT,NEU,SUM
07/09/2021,2.15,2.11,1.66,1.66,1.63,1.34,1.3,1.3,1.24,1.23,1.22,1.21,1.14,1.14,1.14,1.08,0.97,0.94,0.91,0.88,0.86,0.85,0.84,0.83,0.8,0.77,0.73,0.72,0.72,0.72,0.68,0.64,0.64,0.64,0.63,0.63,0.6,0.59,0.59,0.59,0.58,0.56,0.56,0.55,0.54,0.54,0.53,0.5,0.5,0.49,0.49,0.49,0.46,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.74000000000001
07/12/2021,2.14,2.11,1.64,1.69,1.7,1.34,1.29,1.28,1.24,1.21,1.21,1.21,1.18,1.18,1.14,1.05,0.98,0.96,0.89,0.87,0.86,0.83,0.88,0.85,0.8,0.77,0.72,0.73,0.75,0.71,0.68,0.61,0.68,0.64,0.62,0.64,0.59,0.6,0.59,0.59,0.61,0.55,0.56,0.56,0.53,0.55,0.53,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.44,0.41,0.44,0.43,0.43,0.44,0.42,0.41,0.42,0.39,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69999999999999
07/13/2021,2.14,2.11,1.64,1.69,1.7,1.34,1.29,1.28,1.24,1.21,1.21,1.21,1.18,1.18,1.14,1.05,0.98,0.96,0.89,0.87,0.86,0.83,0.88,0.85,0.8,0.77,0.72,0.73,0.75,0.71,0.68,0.61,0.68,0.64,0.62,0.64,0.59,0.6,0.59,0.59,0.61,0.55,0.56,0.56,0.53,0.55,0.53,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.44,0.41,0.44,0.43,0.43,0.44,0.42,0.41,0.42,0.39,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69999999999999
07/14/2021,2.14,2.11,1.64,1.69,1.7,1.34,1.29,1.28,1.24,1.21,1.21,1.21,1.18,1.18,1.14,1.05,0.98,0.96,0.89,0.87,0.86,0.83,0.88,0.85,0.8,0.77,0.72,0.73,0.75,0.71,0.68,0.61,0.68,0.64,0.62,0.64,0.59,0.6,0.59,0.59,0.61,0.55,0.56,0.56,0.53,0.55,0.53,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.44,0.41,0.44,0.43,0.43,0.44,0.42,0.41,0.42,0.39,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69999999999999
07/15/2021,2.13,2.1,1.64,1.67,1.74,1.34,1.29,1.28,1.24,1.22,1.2,1.22,1.18,1.17,1.14,1.08,0.97,0.95,0.89,0.86,0.86,0.83,0.88,0.83,0.81,0.77,0.72,0.72,0.76,0.72,0.67,0.61,0.7,0.64,0.63,0.64,0.59,0.6,0.6,0.58,0.63,0.54,0.55,0.56,0.53,0.55,0.53,0.51,0.5,0.49,0.49,0.48,0.45,0.43,0.45,0.41,0.43,0.42,0.43,0.43,0.42,0.41,0.42,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.32,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.26,0.26,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66999999999999
07/16/2021,2.15,2.11,1.66,1.64,1.74,1.34,1.31,1.26,1.25,1.22,1.2,1.23,1.18,1.18,1.13,1.08,0.98,0.93,0.87,0.86,0.85,0.82,0.89,0.84,0.8,0.77,0.72,0.73,0.75,0.72,0.67,0.61,0.68,0.64,0.62,0.63,0.6,0.6,0.6,0.57,0.63,0.53,0.56,0.55,0.52,0.55,0.53,0.51,0.5,0.49,0.48,0.49,0.44,0.43,0.45,0.4,0.44,0.43,0.43,0.43,0.43,0.4,0.42,0.39,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.39,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.33,0.32,0.32,0.29,0.3,0.29,0.31,0.29,0.3,0.3,0.29,0.3,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.26,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.2,0.21,0.19,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.14,0.0,0.15,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69
07/19/2021,2.16,2.09,1.7,1.64,1.74,1.34,1.31,1.24,1.28,1.24,1.2,1.23,1.17,1.19,1.16,1.08,0.96,0.93,0.84,0.87,0.85,0.79,0.9,0.84,0.8,0.74,0.74,0.69,0.77,0.7,0.66,0.66,0.66,0.65,0.62,0.6,0.6,0.61,0.61,0.57,0.6,0.54,0.56,0.56,0.52,0.55,0.52,0.52,0.5,0.48,0.48,0.5,0.45,0.43,0.44,0.4,0.45,0.43,0.42,0.43,0.42,0.41,0.42,0.39,0.4,0.4,0.4,0.4,0.38,0.39,0.37,0.38,0.37,0.36,0.39,0.35,0.35,0.35,0.35,0.35,0.33,0.32,0.34,0.33,0.33,0.34,0.32,0.32,0.33,0.31,0.33,0.3,0.29,0.29,0.31,0.28,0.3,0.3,0.27,0.29,0.29,0.28,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.27,0.26,0.24,0.27,0.26,0.25,0.25,0.25,0.23,0.27,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.18,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.0,0.15,0.16,0.15,0.16,0.16,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,84.69
07/20/2021,2.16,2.08,1.71,1.63,1.76,1.34,1.31,1.22,1.27,1.21,1.18,1.24,1.16,1.19,1.17,1.08,0.96,0.89,0.83,0.87,0.82,0.79,0.93,0.82,0.79,0.73,0.75,0.69,0.76,0.7,0.67,0.66,0.63,0.65,0.63,0.59,0.59,0.61,0.63,0.57,0.56,0.54,0.57,0.57,0.53,0.54,0.51,0.53,0.51,0.48,0.48,0.49,0.44,0.43,0.44,0.4,0.46,0.44,0.42,0.44,0.43,0.41,0.43,0.4,0.41,0.41,0.4,0.4,0.38,0.4,0.38,0.38,0.36,0.36,0.39,0.36,0.35,0.36,0.35,0.33,0.34,0.32,0.34,0.33,0.33,0.34,0.32,0.33,0.33,0.32,0.33,0.29,0.29,0.0,0.3,0.27,0.31,0.3,0.28,0.29,0.29,0.28,0.0,0.3,0.3,0.3,0.29,0.29,0.3,0.27,0.27,0.24,0.27,0.26,0.24,0.25,0.24,0.23,0.27,0.23,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.17,0.22,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.2,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.15,0.29,0.29,0.0,0.0,0.0,0.0,84.66
07/21/2021,2.16,2.08,1.71,1.63,1.76,1.34,1.31,1.22,1.27,1.21,1.18,1.25,1.16,1.19,1.17,1.08,0.96,0.89,0.84,0.87,0.82,0.79,0.93,0.82,0.79,0.73,0.75,0.7,0.76,0.7,0.67,0.66,0.63,0.65,0.63,0.59,0.59,0.61,0.63,0.57,0.56,0.54,0.58,0.57,0.53,0.54,0.51,0.53,0.51,0.48,0.48,0.49,0.45,0.43,0.44,0.4,0.46,0.44,0.42,0.44,0.43,0.41,0.43,0.4,0.41,0.41,0.4,0.4,0.38,0.4,0.38,0.38,0.37,0.36,0.39,0.36,0.35,0.36,0.35,0.33,0.34,0.32,0.34,0.33,0.33,0.34,0.32,0.33,0.33,0.32,0.33,0.29,0.29,0.29,0.3,0.27,0.31,0.3,0.28,0.29,0.29,0.28,0.29,0.3,0.3,0.3,0.29,0.29,0.3,0.27,0.27,0.24,0.27,0.26,0.24,0.25,0.25,0.23,0.27,0.23,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.17,0.22,0.2,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.2,0.17,0.19,0.18,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,84.77
07/22/2021,2.16,2.08,1.71,1.63,1.76,1.34,1.31,1.22,1.27,1.21,1.18,1.24,1.16,1.19,1.17,1.08,0.96,0.89,0.83,0.87,0.82,0.79,0.93,0.82,0.79,0.73,0.75,0.69,0.76,0.7,0.67,0.66,0.63,0.65,0.63,0.59,0.59,0.61,0.63,0.57,0.56,0.54,0.57,0.57,0.53,0.54,0.51,0.53,0.51,0.48,0.48,0.49,0.44,0.43,0.44,0.4,0.46,0.44,0.42,0.44,0.43,0.41,0.43,0.4,0.41,0.41,0.4,0.4,0.38,0.4,0.38,0.38,0.36,0.36,0.39,0.36,0.35,0.36,0.35,0.33,0.34,0.32,0.34,0.33,0.33,0.34,0.32,0.33,0.33,0.32,0.33,0.29,0.29,0.0,0.3,0.27,0.31,0.3,0.28,0.29,0.29,0.28,0.0,0.3,0.3,0.3,0.29,0.29,0.3,0.27,0.27,0.24,0.27,0.26,0.24,0.25,0.24,0.23,0.27,0.23,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.17,0.22,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.2,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.15,0.29,0.29,0.0,0.0,0.0,0.0,84.66
