,OXY,FANG,OKE,COP,PXD,XOM,COG,MRO,EOG,CVX,KMI,WMB,DVN,HES,MPC,PSX,HAL,VLO,APA,SLB,BKR,NOV,AGPXX,Securities Lending - Bnym,Cash/Receivables/Payables,SUM
07/09/2021,5.11,4.95,4.87,4.77,4.69,4.68,4.67,4.65,4.65,4.57,4.57,4.51,4.51,4.51,4.43,4.4,4.39,4.36,4.31,4.24,4.1,4.07,0.02,0.0,0.0,100.03
07/12/2021,5.06,4.85,4.95,4.75,4.59,4.66,4.83,4.67,4.58,4.57,4.62,4.55,4.63,4.44,4.4,4.31,4.41,4.21,4.31,4.23,4.16,4.21,0.04,0.0,0.0,100.03
07/13/2021,5.06,4.85,4.95,4.75,4.59,4.66,4.83,4.67,4.58,4.57,4.62,4.55,4.63,4.44,4.4,4.31,4.41,4.21,4.31,4.23,4.16,4.21,0.04,0.0,0.0,100.03
07/14/2021,5.06,4.85,4.95,4.75,4.59,4.66,4.83,4.67,4.58,4.57,4.62,4.55,4.63,4.44,4.4,4.31,4.41,4.21,4.3,4.23,4.15,4.2,0.04,0.0,0.0,100.0
07/15/2021,5.02,4.88,4.9,4.73,4.57,4.67,4.85,4.7,4.62,4.58,4.59,4.52,4.65,4.47,4.38,4.29,4.42,4.18,4.28,4.24,4.21,4.22,0.04,0.0,0.0,100.01
07/16/2021,5.08,4.93,4.86,4.74,4.62,4.68,4.9,4.66,4.63,4.61,4.57,4.51,4.73,4.48,4.35,4.29,4.4,4.15,4.26,4.2,4.13,4.21,0.04,0.0,0.0,100.03000000000002
07/19/2021,4.88,4.75,5.02,4.83,4.59,4.81,4.84,4.62,4.53,4.77,4.74,4.67,4.62,4.44,4.36,4.31,4.37,4.17,4.14,4.18,4.16,4.16,0.06,0.0,0.0,100.02
07/20/2021,4.78,4.69,5.06,4.84,4.52,4.82,4.89,4.56,4.52,4.78,4.82,4.75,4.6,4.45,4.41,4.28,4.36,4.17,4.15,4.17,4.15,4.2,0.02,0.0,0.0,99.99
07/21/2021,4.78,4.69,5.06,4.84,4.52,4.82,4.89,4.56,4.52,4.78,4.82,4.75,4.6,4.45,4.41,4.28,4.36,4.17,4.15,4.17,4.15,4.2,0.02,0.0,0.0,99.99
07/22/2021,4.78,4.69,5.06,4.84,4.52,4.82,4.89,4.56,4.52,4.78,4.82,4.75,4.6,4.45,4.41,4.28,4.36,4.17,4.15,4.17,4.15,4.2,0.02,0.0,0.0,99.99
07/23/2021,4.79,4.59,5.09,4.86,4.56,4.82,4.81,4.51,4.48,4.79,4.88,4.82,4.63,4.43,4.41,4.18,4.47,4.12,4.15,4.18,4.14,4.28,0.02,0.0,0.0,100.01000000000002
07/26/2021,4.98,4.71,5.04,4.94,4.62,4.8,4.75,4.54,4.51,4.79,4.77,4.75,4.64,4.37,4.42,4.15,4.47,4.08,4.21,4.19,4.01,4.24,0.02,0.0,0.0,100.0
