,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,KO,ABT,T,PEP,CVX,NKE,ABBV,TMO,MRK,ACN,WMT,AVGO,LLY,WFC,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,UNP,ORCL,NEE,C,AMGN,LOW,MS,INTU,SBUX,RTX,BA,GS,AMAT,BLK,IBM,AMT,TGT,CAT,GE,MMM,AMD,ISRG,DE,AXP,NOW,SCHW,CVS,CHTR,SPGI,ANTM,SQ,LMT,BKNG,ZTS,FIS,MU,LRCX,PLD,MO,MDLZ,GILD,SYK,TMUS,ADP,CCI,COP,ZM,TJX,PNC,CI,USB,LWB.WA,CME,UBER,DUK,GM,TFC,CSX,EL,ATVI,FDX,CB,MMC,BDX,EQIX,MRNA,COF,ILMN,CL,NSC,ICE,BX,EW,SHW,ADSK,FISV,SO,ITW,APD,SNAP,TWLO,ADI,BSX,REGN,ETN,D,MCO,F,EMR,HUM,PGR,GPN,HCA,NXPI,TWTR,IDXX,NOC,WM,FCX,DOCU,AON,BIIB,ECL,VRTX,DG,NEM,CRWD,EOG,ROP,JCI,ROKU,KLAC,IQV,DOW,MRVL,TROW,PSA,SLB,TEL,LWB.WA.1,EBAY,KMB,A,WDAY,ROST,ALGN,MET,LHX,TT,MSCI,CMG,EXC,VEEV,LULU,MTCH,PINS,APTV,GD,CNC,SPG,SNPS,INFO,AEP,SRE,DLR,DD,DXCM,UKCM.L,APH,ORLY,AIG,BAX,EA,CARR,BK,CDNS,MCHP,PRU,GE.,FTNT,RMD,SNI.OL,PLLDA.AX,PANW,n/a,SNOW,ABNB,PLTR,MAR,SYY,PXD,NET,SIVB,XLNX,KKR,DDOG,SUM
07/09/2021,4.91,4.68,3.37,1.9,1.68,1.64,1.18,1.17,1.14,1.06,1.0,0.9,0.86,0.77,0.76,0.74,0.73,0.72,0.69,0.63,0.6,0.6,0.53,0.52,0.51,0.51,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.43,0.43,0.43,0.42,0.42,0.4,0.39,0.39,0.39,0.38,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44000000000001
07/14/2021,5.08,4.68,3.56,1.88,1.69,1.65,1.19,1.13,1.12,1.05,1.0,0.9,0.87,0.77,0.79,0.75,0.73,0.72,0.67,0.65,0.59,0.58,0.53,0.52,0.51,0.51,0.51,0.5,0.47,0.48,0.45,0.46,0.45,0.46,0.46,0.45,0.44,0.44,0.43,0.44,0.42,0.41,0.39,0.41,0.39,0.39,0.39,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.36,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.0,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.78
07/15/2021,5.08,4.68,3.56,1.88,1.69,1.65,1.19,1.13,1.12,1.05,1.0,0.9,0.87,0.77,0.79,0.75,0.73,0.72,0.67,0.65,0.59,0.58,0.53,0.52,0.51,0.51,0.51,0.5,0.47,0.48,0.45,0.46,0.45,0.46,0.46,0.45,0.44,0.44,0.43,0.44,0.42,0.41,0.39,0.41,0.39,0.39,0.39,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.36,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.0,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.78
07/16/2021,5.05,4.65,3.55,1.89,1.7,1.66,1.18,1.18,1.14,1.07,0.99,0.9,0.88,0.76,0.79,0.75,0.73,0.75,0.68,0.64,0.59,0.58,0.53,0.52,0.5,0.51,0.5,0.5,0.47,0.47,0.45,0.46,0.45,0.46,0.46,0.45,0.44,0.44,0.43,0.44,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.36,0.34,0.35,0.34,0.34,0.34,0.33,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.0,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.12,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82
07/19/2021,5.24,4.76,3.5,1.86,1.72,1.68,1.19,1.13,1.06,1.06,1.0,0.95,0.89,0.77,0.78,0.77,0.77,0.75,0.66,0.65,0.6,0.56,0.54,0.53,0.5,0.51,0.51,0.51,0.49,0.47,0.46,0.48,0.44,0.46,0.47,0.46,0.44,0.45,0.44,0.44,0.41,0.42,0.39,0.41,0.4,0.4,0.38,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.35,0.34,0.32,0.32,0.31,0.31,0.31,0.32,0.29,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.25,0.24,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.19,0.2,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.0,0.17,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.18,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.14,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21000000000001
07/20/2021,5.21,4.79,3.47,1.85,1.73,1.7,1.19,1.13,1.03,1.04,1.0,0.95,0.9,0.78,0.78,0.78,0.77,0.74,0.65,0.66,0.6,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.47,0.46,0.49,0.43,0.46,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.39,0.41,0.4,0.41,0.38,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.36,0.35,0.31,0.32,0.31,0.31,0.31,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.26,0.24,0.25,0.25,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.0,0.17,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.2,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.14,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.22000000000001
07/21/2021,5.21,4.79,3.47,1.85,1.73,1.7,1.19,1.13,1.03,1.04,1.0,0.95,0.9,0.78,0.78,0.78,0.77,0.74,0.65,0.66,0.6,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.47,0.46,0.49,0.43,0.46,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.39,0.41,0.4,0.41,0.38,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.36,0.35,0.31,0.32,0.31,0.31,0.31,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.26,0.24,0.25,0.25,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.0,0.17,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.2,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.14,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.22000000000001
07/22/2021,5.21,4.79,3.47,1.85,1.73,1.7,1.19,1.13,1.03,1.04,1.0,0.95,0.9,0.78,0.78,0.78,0.77,0.74,0.65,0.66,0.6,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.47,0.46,0.49,0.43,0.46,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.39,0.41,0.4,0.41,0.38,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.36,0.35,0.31,0.32,0.31,0.31,0.31,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.26,0.24,0.25,0.25,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.0,0.17,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.2,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.14,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.22000000000001
07/23/2021,5.21,4.79,3.47,1.85,1.73,1.7,1.19,1.13,1.03,1.04,1.0,0.95,0.9,0.78,0.78,0.78,0.77,0.74,0.65,0.66,0.6,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.47,0.46,0.49,0.43,0.46,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.39,0.41,0.4,0.41,0.38,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.36,0.35,0.31,0.32,0.31,0.31,0.31,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.26,0.24,0.25,0.25,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.0,0.17,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.2,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.14,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.22000000000001
07/27/2021,5.17,4.84,3.48,1.97,1.78,1.74,1.17,1.1,1.08,1.01,1.0,0.94,0.88,0.79,0.81,0.76,0.76,0.71,0.63,0.66,0.59,0.54,0.51,0.51,0.53,0.48,0.52,0.52,0.49,0.48,0.45,0.48,0.42,0.47,0.46,0.46,0.44,0.45,0.43,0.44,0.43,0.41,0.38,0.42,0.4,0.41,0.38,0.36,0.34,0.35,0.34,0.35,0.34,0.32,0.35,0.34,0.31,0.32,0.32,0.31,0.32,0.33,0.29,0.27,0.28,0.28,0.27,0.28,0.29,0.29,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.23,0.24,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.19,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.18,0.17,0.0,0.17,0.16,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.17,0.24,0.16,0.16,0.16,0.15,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.16,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.14,0.12,0.13,0.14,0.12,0.13,0.13,0.12,0.13,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.09,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.0,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.09,0.09,0.1,0.1,0.0,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.15,0.09,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.44
