,Cash,Wti Crude Future Dec21 - Cash Offset,Wti Crude Future Jun22 - Cash Offset,Wti Crude Future Sep21 - Cash Offset,Wti Crude Future Sep21,BPFH,Wti Crude Future Dec21,Wti Crude Future Oct21 - Cash Offset,Wti Crude Future Oct21,TRCH,SUM
07/09/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/12/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/13/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/14/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/15/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/16/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/19/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/20/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/21/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/22/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/23/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/26/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/27/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/28/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/29/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
07/30/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
08/02/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
08/03/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
08/04/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
08/05/2021,100.0,67.48,66.54,65.99,-65.99,-66.54,-67.48,0.0,0.0,0.0,100.0
08/06/2021,100.0,67.85,66.73,0.0,0.0,0.0,-67.85,65.39,-65.39,-66.73,99.99999999999997
