,CTE ? PROSHARES TRUST M,B 0 05/06/21,B 0 08/12/21,B 0 04/01/21,B 0 05/20/21,B 0 04/22/21,B 0 05/27/21,B 0 05/13/21,B 0 07/15/21,TBILL,CASH,B 0 04/15/21,U.S. DOLLAR FOR FUTURES,B 0 10/01/20,B 0 07/02/20,B 0 07/09/20,B 0 07/16/20,B 0 07/23/20,B 0 07/30/20,B 0 08/13/20,B 0 08/20/20,B 0 08/27/20,B 0 09/03/20,B 0 09/10/20,B 0 09/24/20,B 0 10/08/20,B 0 06/18/20,B 0 10/15/20,B 0 10/22/20,B 0 10/29/20,B 0 11/12/20,B 0 11/19/20,B 0 11/27/20,B 0 12/03/20,B 0 12/17/20,B 0 12/24/20,B 0 12/31/20,CMB,CMB 0 09/08/20,B 0 06/25/20,B 0 06/11/20,DJIA MINI E-CBOT EQUITY INDEX 18/DEC/2020 DMZ0,B 0 02/04/21,DJIA MINI E-CBOT EQUITY INDEX 18/SEP/2020 DMU0,DJIA MINI E-CBOT EQUITY INDEX 19/JUN/2020 DMM0,DJIA MINI E-CBOT EQUITY INDEX 19/MAR/2021 DMH1,SPDR Dow Jones Industrial Average  DIA  SWAP Deuts,SPDR Dow Jones Industrial Average  DIA  SWAP Goldm,U.S. DOLLAR,UNITS,US SDOLLAR CALL A/C,B 0 01/07/21,B 0 01/14/21,B 0 01/21/21,B 0 01/28/21,B 0 02/18/21,B 0 06/04/20,B 0 02/25/21,B 0 03/04/21,B 0 03/18/21,B 0 03/25/21,B 0 04/08/21,DJ Industrial Average SWAP Deutsche Bank AG,DJIA MINI E-CBOT EQUITY INDEX 18/JUN/2021 DMM1,DJ Industrial Average SWAP Goldman Sachs Internati,DJ Industrial Average SWAP Citibank NA,DJ Industrial Average SWAP Credit Suisse Internati,DJ Industrial Average SWAP UBS AG,DJ Industrial Average SWAP Societe Generale,DJ Industrial Average Index SWAP BNP Paribas,DJ Industrial Average SWAP Morgan Stanley & Co. In,DJ Industrial Average SWAP Bank of America NA,SUM
07/09/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/12/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/13/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/14/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/15/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/16/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/19/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/20/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/21/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
07/22/2021,41.77,30.25,12.1,9.68,7.26,6.05,6.05,6.05,6.05,6.05,5.83,4.84,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.37,-1.08,-3.27,-3.98,-4.22,-7.82,-8.61,-11.9,101.63
