,AAPL,MSFT,AMZN,GOOGL,GOOG,NVDA,TSLA,JPM,V,UNH,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,PEP,ABBV,NKE,TMO,CVX,MRK,ACN,WMT,LLY,DHR,TXN,MCD,MDT,QCOM,UPS,ORCL,LIN,UNP,BMY,NEE,C,AMGN,LOW,INTU,SBUX,MS,GS,BLK,AMAT,AMT,TGT,CAT,AMD,GE,AXP,DE,CVS,SCHW,SPGI,CHTR,ANTM,BKNG,PLD,MU,LRCX,MDLZ,GILD,TJX,COP,CI,PNC,CME,CSX,ATVI,EQIX,GM,BDX,CB,MMC,FDX,COF,ILMN,CL,NSC,EW,ICE,ADSK,ITW,APD,ADI,BSX,REGN,MCO,ETN,HUM,EMR,PGR,F,IDXX,WM,BIIB,FCX,VRTX,ECL,NEM,ROP,JCI,KLAC,TROW,DOW,MSCI,A,Cash & Cash Equivalents,LHX,TEL,EBAY,TT,MET,EXC,SLB,DLR,APTV,INFO,SPG,SRE,APH,EA,BAX,ALL,PRU,PPG,BK,PH,STZ,ALXN,SYY,MPC,MSI,HPQ,TRV,MAR,PXD,IFF,GIS,DFS,TDG,KMI,WELL,HLT,YUM,CMI,WBA,MTD,AFL,CTAS,SWK,ROK,ADM,CTVA,WMB,GLW,ANSS,AME,PEG,MCK,PCAR,FAST,AVB,ZBRA,AWK,AMP,AJG,VRSK,STT,KEYS,CBRE,KR,ES,DAL,LH,WST,EQR,BLL,FITB,VFC,SYF,LYB,KHC,HSY,O,OXY,BBY,WY,OKE,ED,ETSY,RSG,FTV,GE.,n/a,ALB,URI,DOV,WAT,EXR,HIG,DLTR,ANET,MLM,EIX,DVN,NTRS,TSN,SUM
07/09/2021,8.01,7.52,5.66,2.74,2.65,1.85,1.83,1.67,1.46,1.39,1.22,1.2,1.18,1.13,1.09,1.03,0.95,0.93,0.84,0.83,0.82,0.8,0.79,0.76,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.71,0.7,0.69,0.67,0.64,0.63,0.62,0.62,0.58,0.55,0.54,0.54,0.54,0.54,0.53,0.51,0.51,0.49,0.49,0.49,0.49,0.46,0.46,0.45,0.45,0.44,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.82
07/12/2021,8.14,7.49,5.69,2.71,2.63,1.79,1.81,1.68,1.45,1.39,1.22,1.2,1.17,1.15,1.08,1.04,0.95,0.93,0.83,0.81,0.81,0.81,0.79,0.76,0.75,0.72,0.74,0.74,0.73,0.73,0.72,0.71,0.71,0.69,0.67,0.63,0.63,0.63,0.62,0.57,0.55,0.57,0.55,0.53,0.54,0.53,0.51,0.51,0.49,0.49,0.49,0.48,0.45,0.46,0.44,0.45,0.45,0.42,0.39,0.41,0.4,0.39,0.38,0.38,0.36,0.36,0.34,0.32,0.33,0.31,0.31,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.82
07/13/2021,8.14,7.49,5.69,2.71,2.63,1.79,1.81,1.68,1.45,1.39,1.22,1.2,1.17,1.15,1.08,1.04,0.95,0.93,0.83,0.81,0.81,0.81,0.79,0.76,0.75,0.72,0.74,0.74,0.73,0.73,0.72,0.71,0.71,0.69,0.67,0.63,0.63,0.63,0.62,0.57,0.55,0.57,0.55,0.53,0.54,0.53,0.51,0.51,0.49,0.49,0.49,0.48,0.45,0.46,0.44,0.45,0.45,0.42,0.39,0.41,0.4,0.39,0.38,0.38,0.36,0.36,0.34,0.32,0.33,0.31,0.31,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.82
07/15/2021,8.07,7.44,5.67,2.73,2.64,1.82,1.88,1.7,1.44,1.4,1.22,1.2,1.17,1.19,1.09,1.02,0.95,0.92,0.83,0.8,0.82,0.8,0.79,0.75,0.75,0.72,0.73,0.74,0.73,0.72,0.72,0.7,0.7,0.68,0.67,0.63,0.63,0.63,0.62,0.58,0.55,0.56,0.54,0.53,0.54,0.52,0.52,0.5,0.49,0.49,0.5,0.5,0.46,0.46,0.45,0.45,0.45,0.42,0.39,0.41,0.4,0.4,0.38,0.38,0.35,0.35,0.35,0.32,0.34,0.32,0.32,0.32,0.3,0.29,0.29,0.29,0.29,0.27,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77
07/16/2021,8.16,7.56,5.62,2.74,2.66,1.8,1.84,1.68,1.47,1.41,1.2,1.2,1.2,1.19,1.07,1.04,0.95,0.92,0.83,0.81,0.82,0.8,0.79,0.75,0.76,0.72,0.75,0.74,0.73,0.72,0.72,0.7,0.71,0.69,0.67,0.63,0.63,0.63,0.61,0.57,0.54,0.56,0.54,0.52,0.54,0.52,0.51,0.51,0.49,0.5,0.5,0.5,0.46,0.46,0.45,0.45,0.45,0.42,0.39,0.4,0.4,0.39,0.38,0.38,0.35,0.35,0.35,0.32,0.33,0.31,0.32,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.27,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.85
07/19/2021,8.34,7.58,5.56,2.74,2.67,1.69,1.79,1.68,1.51,1.42,1.23,1.22,1.22,1.2,1.05,1.04,0.95,0.89,0.84,0.79,0.81,0.81,0.8,0.74,0.78,0.72,0.77,0.74,0.74,0.72,0.7,0.71,0.72,0.7,0.66,0.64,0.62,0.63,0.6,0.57,0.55,0.56,0.55,0.53,0.54,0.54,0.51,0.51,0.5,0.49,0.5,0.5,0.46,0.45,0.44,0.46,0.45,0.41,0.38,0.4,0.4,0.39,0.39,0.38,0.36,0.35,0.35,0.32,0.34,0.31,0.31,0.32,0.31,0.29,0.28,0.29,0.29,0.27,0.26,0.25,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.97
07/22/2021,8.19,7.64,5.56,2.75,2.69,1.71,1.82,1.63,1.49,1.42,1.24,1.26,1.17,1.15,1.02,1.06,0.95,0.86,0.85,0.81,0.81,0.82,0.82,0.77,0.79,0.73,0.79,0.75,0.74,0.75,0.68,0.71,0.72,0.71,0.68,0.66,0.63,0.63,0.61,0.58,0.56,0.58,0.54,0.53,0.55,0.55,0.5,0.52,0.5,0.5,0.5,0.49,0.44,0.44,0.43,0.47,0.46,0.41,0.38,0.39,0.39,0.38,0.39,0.37,0.36,0.36,0.35,0.31,0.34,0.31,0.31,0.33,0.31,0.29,0.27,0.29,0.28,0.27,0.26,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.23,0.24,0.24,0.23,0.24,0.23,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.21,0.2,0.18,0.17,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.15,0.16,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.99
07/23/2021,8.28,7.6,5.52,2.75,2.69,1.67,1.84,1.64,1.49,1.41,1.25,1.23,1.18,1.16,1.03,1.05,0.94,0.86,0.83,0.8,0.81,0.82,0.83,0.76,0.78,0.72,0.77,0.74,0.73,0.74,0.67,0.7,0.72,0.7,0.68,0.65,0.63,0.63,0.61,0.57,0.55,0.58,0.55,0.52,0.54,0.55,0.5,0.52,0.5,0.5,0.5,0.5,0.45,0.45,0.44,0.46,0.46,0.41,0.38,0.4,0.4,0.39,0.39,0.37,0.36,0.36,0.35,0.32,0.34,0.3,0.31,0.33,0.31,0.29,0.27,0.29,0.28,0.27,0.26,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.18,0.17,0.18,0.19,0.17,0.19,0.18,0.17,0.17,0.16,0.17,0.16,0.32,0.17,0.16,0.16,0.17,0.15,0.16,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
07/26/2021,8.23,7.7,5.56,2.77,2.71,1.74,1.79,1.63,1.48,1.4,1.24,1.2,1.19,1.14,1.02,1.07,0.95,0.86,0.83,0.86,0.81,0.82,0.83,0.75,0.78,0.71,0.76,0.74,0.74,0.74,0.68,0.69,0.71,0.69,0.68,0.65,0.61,0.64,0.61,0.58,0.55,0.59,0.55,0.52,0.54,0.53,0.5,0.51,0.5,0.51,0.52,0.51,0.46,0.44,0.45,0.46,0.46,0.41,0.4,0.4,0.4,0.39,0.39,0.36,0.36,0.35,0.34,0.32,0.34,0.3,0.33,0.32,0.31,0.29,0.27,0.28,0.28,0.27,0.27,0.25,0.26,0.25,0.26,0.27,0.26,0.26,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.19,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.3,0.17,0.16,0.17,0.17,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
07/29/2021,8.25,7.69,5.59,2.85,2.8,1.7,1.79,1.62,1.5,1.38,1.24,1.21,1.21,1.15,1.01,1.05,0.95,0.87,0.81,0.84,0.78,0.83,0.83,0.75,0.78,0.71,0.76,0.73,0.74,0.74,0.69,0.69,0.71,0.69,0.68,0.65,0.61,0.64,0.61,0.58,0.53,0.56,0.55,0.52,0.54,0.53,0.5,0.5,0.49,0.51,0.52,0.51,0.45,0.44,0.45,0.46,0.46,0.41,0.39,0.4,0.4,0.39,0.38,0.36,0.35,0.35,0.33,0.32,0.33,0.3,0.32,0.32,0.31,0.29,0.27,0.28,0.28,0.27,0.27,0.25,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.19,0.19,0.21,0.2,0.18,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.3,0.16,0.16,0.17,0.17,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.08,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.96
