,MSFT,GOOGL,700.HK,NFLX,ADBE,CRM,ORCL,INTU,BX,6098.T,NOW,VZ,SHOP,DSY.PA,BLK,CMCSA,SPGI,T,ADP,MMC,MSCI,REL.L,SNPS,TRI.TO,WDAY,TMUS,BAMACN V3.471 PERP 26,CHTR,ADSK,MCO,INFO,CRWD,TROW,PGHN.SW,SPOT,TRP.TO,BCE.TO,DOCU,9433.T,9434.T,VEEV,EA,VOD.L,CI,SNAP,ZM,TWLO,9984.T,ATVI,2413.T,n/a,AGPXX,SUM
11/08/2021,11.51,5.2,2.93,2.79,2.78,2.75,2.56,2.28,2.21,2.19,2.12,2.04,1.99,1.9,1.88,1.85,1.83,1.77,1.77,1.72,1.7,1.7,1.69,1.68,1.67,1.67,1.66,1.66,1.62,1.6,1.57,1.56,1.53,1.52,1.5,1.48,1.45,1.45,1.43,1.42,1.42,1.35,1.23,1.23,1.2,1.16,1.16,1.09,1.08,1.01,0.45,0.0,100.01
11/09/2021,11.51,5.2,2.93,2.79,2.78,2.75,2.56,2.28,2.21,2.19,2.12,2.04,1.99,1.9,1.88,1.85,1.83,1.77,1.77,1.72,1.7,1.7,1.69,1.68,1.67,1.67,1.66,1.66,1.62,1.6,1.57,1.56,1.53,1.52,1.5,1.48,1.45,1.45,1.43,1.42,1.42,1.35,1.23,1.23,1.2,1.16,1.16,1.09,1.08,1.01,0.45,0.0,100.01
11/10/2021,11.48,5.22,2.85,2.69,2.73,2.74,2.54,2.24,2.17,2.18,2.09,2.06,1.97,1.9,1.87,1.89,1.82,1.79,1.79,1.72,1.68,1.68,1.68,1.66,1.67,1.67,1.68,1.66,1.64,1.59,1.56,1.52,1.54,1.53,1.48,1.42,1.42,1.36,1.44,1.35,1.41,1.32,1.25,1.23,1.22,1.09,1.15,1.08,1.07,0.98,1.22,0.0,99.99
11/11/2021,11.48,5.22,2.85,2.69,2.73,2.74,2.54,2.24,2.17,2.18,2.09,2.06,1.97,1.9,1.87,1.89,1.82,1.79,1.79,1.72,1.68,1.68,1.68,1.66,1.67,1.67,1.68,1.66,1.64,1.59,1.56,1.52,1.54,1.53,1.48,1.42,1.42,1.36,1.44,1.35,1.41,1.32,1.25,1.23,1.22,1.09,1.15,1.08,1.07,0.98,1.22,0.0,99.99
11/12/2021,11.48,5.21,2.82,2.71,2.74,2.75,2.54,2.23,2.16,2.2,2.08,2.06,1.98,1.91,1.89,1.87,1.82,1.77,1.77,1.74,1.68,1.67,1.69,1.69,1.68,1.64,1.68,1.67,1.66,1.59,1.56,1.57,1.54,1.52,1.46,1.4,1.43,1.39,1.42,1.33,1.42,1.31,1.25,1.25,1.26,1.07,1.15,1.07,1.05,0.96,1.21,0.0,100.0
11/15/2021,11.42,5.2,2.81,2.72,2.74,2.75,2.52,2.22,2.22,2.18,2.08,2.05,2.0,1.91,1.89,1.88,1.82,1.75,1.78,1.75,1.67,1.68,1.71,1.69,1.68,1.62,1.67,1.67,1.66,1.61,1.55,1.63,1.52,1.51,1.42,1.39,1.43,1.39,1.42,1.35,1.41,1.32,1.25,1.24,1.25,1.06,1.14,1.19,1.06,0.95,1.21,0.0,100.04
11/16/2021,11.42,5.2,2.81,2.72,2.74,2.75,2.52,2.22,2.22,2.18,2.08,2.05,2.0,1.91,1.89,1.88,1.82,1.75,1.78,1.75,1.67,1.68,1.71,1.69,1.68,1.62,1.67,1.67,1.66,1.61,1.55,1.63,1.52,1.51,1.42,1.39,1.43,1.39,1.42,1.35,1.41,1.32,1.25,1.24,1.25,1.06,1.14,1.19,1.06,0.95,1.21,0.0,100.04
11/17/2021,11.42,5.2,2.81,2.72,2.74,2.75,2.52,2.22,2.22,2.18,2.08,2.05,2.0,1.91,1.89,1.88,1.82,1.75,1.78,1.75,1.67,1.68,1.71,1.69,1.68,1.62,1.67,1.67,1.66,1.61,1.55,1.63,1.52,1.51,1.42,1.39,1.43,1.39,1.42,1.35,1.41,1.32,1.25,1.24,1.25,1.06,1.14,1.19,1.06,0.95,1.21,0.0,100.04
11/18/2021,11.41,5.16,2.97,2.72,2.7,2.7,2.53,2.22,2.15,2.19,2.04,2.09,1.92,1.9,1.9,1.92,1.81,1.8,1.81,1.78,1.67,1.71,1.68,1.72,1.69,1.64,1.68,1.71,1.64,1.61,1.55,1.58,1.5,1.5,1.39,1.4,1.46,1.31,1.44,1.36,1.4,1.33,1.27,1.27,1.22,1.04,1.11,1.15,1.06,0.96,1.23,0.0,100.0
11/19/2021,11.42,5.18,2.98,2.81,2.71,2.71,2.5,2.27,2.17,2.23,2.05,2.05,2.13,1.9,1.86,1.86,1.81,1.76,1.81,1.77,1.69,1.67,1.7,1.68,1.69,1.59,1.61,1.66,1.64,1.6,1.58,1.41,1.49,1.47,1.42,1.36,1.43,1.33,1.43,1.37,1.39,1.33,1.25,1.23,1.27,1.08,1.12,1.21,1.11,0.99,0.0,1.21,99.99
11/22/2021,11.42,5.18,2.98,2.81,2.71,2.71,2.5,2.27,2.17,2.23,2.05,2.05,2.13,1.9,1.86,1.86,1.81,1.76,1.81,1.77,1.69,1.67,1.7,1.68,1.69,1.59,1.61,1.66,1.64,1.6,1.58,1.41,1.49,1.47,1.42,1.36,1.43,1.33,1.43,1.37,1.39,1.33,1.25,1.23,1.27,1.08,1.12,1.21,1.11,0.99,0.0,1.21,99.99
