,IYR,IWS,VOE,XLI,IWM,XLK,QQQ,Vanguard Growth ETF,XLY,HYG,Invesco Govt Agency Instl 1901,GTES,Cash,VGT,VOO,VTI,VIS,VOX,VO,VCR,VB,Vanguard Extended Market ETF,VXF,Vanguard Small-Cap ETF,688098.SS,n/a,688065.SS,QQQM,VUG,VOT,MGK,VBK,VDE,VHT,VPU,VGLT,BLV,VGIT,AAAU,DIA,VDC,BIV,SUM
07/09/2021,10.51,10.38,10.35,10.02,10.02,9.99,9.9,9.89,9.79,8.77,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,10.72,10.26,10.21,9.96,9.76,10.06,9.98,9.97,9.85,8.82,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,10.72,10.26,10.21,9.96,9.76,10.06,9.98,9.97,9.85,8.82,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,10.74,10.33,10.29,10.0,9.85,10.03,9.92,9.93,9.82,8.73,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,10.79,10.32,10.29,9.98,9.83,10.01,9.93,9.92,9.86,8.7,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,10.75,10.29,10.23,9.99,9.74,10.16,10.03,10.01,9.84,8.76,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,1.17,10.02,9.99,9.94,9.92,9.88,9.85,9.81,9.72,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.21,10.11,10.1,10.05,10.01,9.99,9.97,9.86,0.0,0.0,9.82,9.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.21,10.11,10.1,10.05,10.01,9.99,9.97,9.86,0.0,0.0,9.82,9.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.21,10.11,10.1,10.05,10.01,9.99,9.97,9.86,0.0,0.0,9.82,9.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
