,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,JNJ,TSLA,NVDA,UNH,V,BAC,HD,PYPL,PG,MA,CMCSA,XOM,DIS,VZ,ADBE,INTC,CSCO,PFE,Cash,T,ABBV,MRK,CVX,NFLX,AVGO,CRM,WFC,KO,ABT,PEP,NKE,TMO,WMT,LLY,BMY,ACN,PM,AMGN,COST,DHR,C,MDT,TXN,MCD,LOW,MS,QCOM,HON,RTX,BLK,LIN,GS,ORCL,IBM,TGT,UPS,UNP,MMM,NEE,SBUX,AMAT,INTU,CVS,AMT,BA,AMD,GE,ANTM,CAT,AXP,MDLZ,GILD,LMT,ISRG,NOW,DE,MU,SCHW,MO,CI,CHTR,COP,PNC,SPGI,USB,FIS,BKNG,BDX,MRNA,ZTS,SQ,TFC,GM,PLD,DUK,COF,ADP,LRCX,CB,FDX,ZM,FISV,SYK,TMUS,CCI,UBER,REGN,TJX,SO,ATVI,EL,MMC,ETN,OVV,D,CME,F,HUM,ICE,NSC,EQIX,IIVI,EMR,ADSK,PGR,CSX,ILMN,APD,HCA,NOC,CL,MELI,MCO,BX,THC,SHW,BSX,PB,JCI,FCX,EW,AA,TWLO,ITW,NEM,BIIB,XEC,FAF,DOCU,SNAP,LITE,ADI,PRGO,DKS,IDXX,AMG,OLN,PNFP,INGR,EME,SLM,MET,EOG,VRTX,FL,SNV,HBI,SON,BJ,CRWD,KMB,BPOP,TROW,MDU,SF,TWTR,NCR,DOW,GPN,JHG,EBAY,X,CNC,AMC,DD,ROP,JCOM,EXC,WM,VNT,NXPI,AEP,LHX,DG,CACI,XEL,GD,QDEL,ROKU,AON,SUM
07/09/2021,3.68,3.49,2.51,1.43,1.25,1.23,1.09,0.97,0.93,0.87,0.86,0.79,0.68,0.63,0.58,0.57,0.55,0.55,0.55,0.54,0.53,0.49,0.48,0.48,0.47,0.47,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.620000000000005
07/12/2021,3.82,3.54,2.66,1.42,1.27,1.25,1.09,0.96,0.94,0.83,0.86,0.8,0.69,0.62,0.59,0.59,0.56,0.55,0.55,0.52,0.52,0.49,0.5,0.48,0.47,0.47,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.4,0.37,0.36,0.37,0.36,0.33,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.29,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,57.10000000000001
07/13/2021,3.82,3.54,2.66,1.42,1.27,1.25,1.09,0.96,0.94,0.83,0.86,0.8,0.69,0.62,0.59,0.59,0.56,0.55,0.55,0.52,0.52,0.49,0.5,0.48,0.47,0.47,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.4,0.37,0.36,0.37,0.36,0.33,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.29,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,57.10000000000001
07/14/2021,3.81,3.5,2.66,1.41,1.26,1.24,1.09,0.97,0.93,0.84,0.84,0.8,0.68,0.62,0.58,0.59,0.56,0.54,0.54,0.53,0.53,0.48,0.49,0.47,0.48,0.47,0.48,0.41,0.43,0.42,0.41,0.41,0.41,0.39,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.28,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,56.89000000000001
07/15/2021,3.79,3.48,2.65,1.42,1.27,1.24,1.09,0.98,0.93,0.88,0.86,0.8,0.68,0.62,0.58,0.6,0.56,0.55,0.54,0.53,0.55,0.48,0.49,0.48,0.47,0.47,0.48,0.41,0.43,0.41,0.41,0.41,0.42,0.38,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,56.96000000000001
07/16/2021,3.85,3.56,2.65,1.43,1.28,1.26,1.09,0.97,0.93,0.86,0.85,0.81,0.7,0.62,0.58,0.6,0.56,0.56,0.54,0.53,0.55,0.49,0.5,0.48,0.47,0.47,0.47,0.41,0.43,0.42,0.41,0.41,0.42,0.39,0.36,0.37,0.36,0.36,0.34,0.33,0.33,0.32,0.32,0.33,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,57.23
07/19/2021,3.95,3.58,2.63,1.41,1.29,1.27,1.1,0.98,0.93,0.84,0.8,0.82,0.72,0.6,0.59,0.59,0.57,0.58,0.55,0.51,0.56,0.49,0.5,0.48,0.48,0.48,0.5,0.42,0.43,0.42,0.4,0.42,0.42,0.38,0.38,0.38,0.36,0.37,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.24,0.25,0.25,0.23,0.22,0.23,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,57.57
07/20/2021,3.95,3.58,2.63,1.41,1.29,1.27,1.1,0.98,0.93,0.84,0.8,0.82,0.72,0.6,0.59,0.59,0.57,0.58,0.55,0.51,0.56,0.49,0.5,0.48,0.48,0.48,0.5,0.42,0.43,0.42,0.4,0.42,0.42,0.38,0.38,0.38,0.36,0.37,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.24,0.25,0.25,0.23,0.22,0.23,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,57.57
07/21/2021,3.93,3.61,2.61,1.4,1.3,1.29,1.1,0.96,0.94,0.84,0.78,0.83,0.73,0.6,0.59,0.6,0.59,0.58,0.55,0.5,0.55,0.5,0.5,0.48,0.49,0.49,0.53,0.42,0.44,0.43,0.4,0.41,0.41,0.39,0.38,0.38,0.36,0.38,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.32,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.28,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.21,0.23,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.17,0.16,0.17,0.15,0.16,0.19,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.12,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.1,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,57.73
07/22/2021,3.93,3.61,2.61,1.4,1.3,1.29,1.1,0.96,0.94,0.84,0.78,0.83,0.73,0.6,0.59,0.6,0.59,0.58,0.55,0.5,0.55,0.5,0.5,0.48,0.49,0.49,0.53,0.42,0.44,0.43,0.4,0.41,0.41,0.39,0.38,0.38,0.36,0.38,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.32,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.28,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.21,0.23,0.22,0.22,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.17,0.16,0.17,0.15,0.16,0.19,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.12,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.1,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,57.73
