,AMT,ENB.TO,CCI,DG.PA,NG.L,TRP.TO,SRE,CLNX.MC,KMI,EPD,SBAC,WMB,TCL.AX,AWK,ES,OKE,ED,ET,FTS.TO,EIX,LNG,PPL.TO,3.HK,FER.MC,2688.HK,Cash,PCG,CNP,SRG.MI,AENA.MC,ATO,TRN.MI,MMP,MPLX,WTRG,TRGP,UU.L,ATL.MI,NI,NTGY.MC,SVT.L,BIP,REE.MC,APA.AX,384.HK,H.TO,9531.T,IPL.TO,GET.PA,PNN.L,788.HK,AIA.NZ,KEY.TO,ENG.MC,SYD.AX,1193.HK,9533.T,PAA,ALX.AX,HICL.L,NFG,G9N.,9706.T,WES,135.HK,SWX,OGS,INW.MI,ASR,NJR,ELI.BR,ADP.PA,SR,FHZN.SW,IG.MI,VPK.AS,SKI.AX,SESG.PA,NWE,GEI.TO,AM,AWR,CWT,DCP,SAJA.,3IN.L,FRA.DE,AST.AX,CQP,BIPC,PSXP,G7A.,PAGP,CPK,144.HK,ETL.PA,371.HK,SHLX,NS,392.HK,SJW,ENLC,NWN,CEQP,177.HK,1199.HK,Genesis Energy LP,576.HK,694.HK,NS8U.SI,HEP,ACE.MI,HTWS.L,UTL,1083.HK,548.HK,855.HK,BPMP,FKRFT.OL,RWAY.MI,WTE.TO,357.HK,1052.HK,HHFA.DE,HICL Infrastructure PLC Ord,GEL,SUM
07/09/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.34,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,99.98000000000002
07/12/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/13/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/14/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/15/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/16/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/19/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/20/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/21/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
07/22/2021,8.55,6.17,5.87,3.98,3.69,3.68,2.91,2.63,2.47,2.46,2.43,2.24,2.22,1.95,1.92,1.73,1.71,1.58,1.58,1.53,1.39,1.33,1.32,1.11,1.09,1.07,1.05,0.99,0.93,0.92,0.87,0.8,0.76,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.65,0.62,0.62,0.6,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.44,0.39,0.37,0.36,0.35,0.0,0.33,0.3,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.34,0.1,99.98000000000002
