,AAPL,MSFT,JPM,GOOGL,ACN,UPS,IBM,AMGN,CSCO,NVDA,SPGI,MS,EL,AMT,GS,COST,NOW,ABBV,UNH,SBUX,PANW,BRK.B,HD,MA,CL,LOW,PGR,MCK,TEAM,ETSY,LPX,JNJ,AVGO,SHW,KO,ADBE,AN,PG,ITW,BMY,HAL,WMT,TROW,OTIS,VZ,ORLY,FTNT,ALXN,MTCH,AON,WDAY,MMM,PNC,MCO,TT,RMD,LII,KLAC,HCA,PM,CLR,AZO,XLNX,GPC,SYF,TJX,TTC,ADSK,MTD,JKHY,TXN,MSCI,EA,MXIM,USB,CTSH,PH,IT,DFS,ULTA,CRWD,MAS,ODFL,ZBRA,GWW,EPAM,CDW,CDNS,WAT,CLX,ROST,IPG,ZM,WSM,ALLE,YETI,NOV,OMC,FICO,INTU,MANH,PII,KEYS,F,TPX,VMW,VRTX,MOH,HPQ,AM,EXP,IRM,CHE,FIGXX,FHN,TTWO,WWE,TNET,HSY,TGT,CAH,JAZZ,SIVB,MKTX,MSI,RHI,DECK,MCHP,FDS,GLPI,LPLA,SIRI,WU,ROL,AMED,GIS,BC,TMX,VEEV,FLWS,REGI,BBY,AMCX,Fidelity® Inv MM Fds Government I,AZN,n/a,ASML,CERN,VALE,OVV,MGY,ALL,ABT,DKS,AFG,ADI,EMR,BRBR,KD WI,PFE,VRSN,SEIC,QCOM,SPG,PAYX,WINA,SUM
07/09/2021,4.99,2.41,1.84,1.57,1.55,1.31,1.26,1.26,1.24,1.22,1.19,1.16,1.14,1.13,1.13,1.11,1.1,1.06,1.05,1.03,1.03,0.97,0.97,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.91,0.9,0.88,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.8,0.77,0.76,0.74,0.73,0.73,0.72,0.7,0.7,0.69,0.68,0.68,0.68,0.67,0.67,0.66,0.66,0.65,0.65,0.65,0.65,0.64,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.41,0.4,0.38,0.35,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.24,0.21,0.21,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/12/2021,5.22,2.47,1.79,1.61,1.59,1.33,1.19,1.23,1.22,1.23,1.21,1.13,1.14,1.16,1.1,1.13,1.13,1.07,1.06,1.06,1.07,0.96,0.97,0.95,0.94,0.93,0.93,0.9,0.95,0.88,0.87,0.91,0.88,0.85,0.84,0.85,0.83,0.82,0.81,0.81,0.72,0.77,0.77,0.76,0.73,0.73,0.75,0.7,0.69,0.69,0.69,0.67,0.65,0.68,0.67,0.67,0.67,0.64,0.66,0.64,0.59,0.64,0.6,0.62,0.6,0.6,0.61,0.61,0.62,0.6,0.59,0.62,0.59,0.57,0.57,0.57,0.57,0.59,0.56,0.55,0.59,0.55,0.55,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.5,0.5,0.52,0.52,0.5,0.5,0.46,0.49,0.52,0.51,0.49,0.49,0.49,0.46,0.47,0.48,0.46,0.47,0.45,0.43,0.44,0.45,0.44,0.0,0.42,0.42,0.42,0.42,0.43,0.42,0.4,0.4,0.37,0.34,0.34,0.32,0.32,0.3,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.25,0.2,0.2,0.18,0.15,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,5.22,2.47,1.79,1.61,1.59,1.33,1.19,1.23,1.22,1.23,1.21,1.13,1.14,1.16,1.1,1.13,1.13,1.07,1.06,1.06,1.07,0.96,0.97,0.95,0.94,0.93,0.93,0.9,0.95,0.88,0.87,0.91,0.88,0.85,0.84,0.85,0.83,0.82,0.81,0.81,0.72,0.77,0.77,0.76,0.73,0.73,0.75,0.7,0.69,0.69,0.69,0.67,0.65,0.68,0.67,0.67,0.67,0.64,0.66,0.64,0.59,0.64,0.6,0.62,0.6,0.6,0.61,0.61,0.62,0.6,0.59,0.62,0.59,0.57,0.57,0.57,0.57,0.59,0.56,0.55,0.59,0.55,0.55,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.5,0.5,0.52,0.52,0.5,0.5,0.46,0.49,0.52,0.51,0.49,0.49,0.49,0.46,0.47,0.48,0.46,0.47,0.45,0.43,0.44,0.45,0.44,0.0,0.42,0.42,0.42,0.42,0.43,0.42,0.4,0.4,0.37,0.34,0.34,0.32,0.32,0.3,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.25,0.2,0.2,0.18,0.15,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,5.23,2.45,1.81,1.6,1.59,1.32,1.2,1.23,1.23,1.2,1.19,1.13,1.13,1.16,1.11,1.15,1.13,1.07,1.05,1.06,1.07,0.96,0.96,0.94,0.94,0.93,0.93,0.89,0.94,0.89,0.89,0.91,0.9,0.85,0.84,0.85,0.86,0.82,0.82,0.81,0.74,0.77,0.77,0.75,0.72,0.74,0.75,0.69,0.71,0.68,0.69,0.68,0.66,0.68,0.67,0.66,0.64,0.64,0.67,0.64,0.62,0.65,0.59,0.62,0.61,0.6,0.61,0.6,0.62,0.6,0.59,0.62,0.58,0.56,0.57,0.57,0.57,0.58,0.58,0.55,0.58,0.55,0.55,0.56,0.56,0.55,0.53,0.53,0.54,0.52,0.51,0.51,0.5,0.52,0.49,0.49,0.48,0.49,0.52,0.5,0.49,0.49,0.49,0.46,0.46,0.48,0.45,0.46,0.45,0.45,0.43,0.45,0.44,0.0,0.42,0.41,0.42,0.42,0.43,0.42,0.4,0.4,0.38,0.34,0.34,0.32,0.32,0.3,0.32,0.31,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.24,0.2,0.21,0.18,0.15,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/15/2021,5.19,2.44,1.83,1.61,1.59,1.32,1.2,1.23,1.22,1.23,1.18,1.15,1.14,1.16,1.13,1.14,1.12,1.08,1.06,1.06,1.06,0.96,0.96,0.95,0.94,0.92,0.93,0.9,0.92,0.88,0.89,0.91,0.9,0.85,0.84,0.84,0.88,0.82,0.82,0.81,0.74,0.76,0.79,0.75,0.72,0.74,0.75,0.7,0.71,0.67,0.68,0.67,0.67,0.68,0.68,0.66,0.64,0.65,0.67,0.64,0.61,0.65,0.59,0.62,0.61,0.6,0.61,0.59,0.62,0.6,0.59,0.62,0.58,0.57,0.58,0.57,0.58,0.58,0.6,0.55,0.58,0.55,0.55,0.56,0.56,0.56,0.53,0.53,0.54,0.51,0.5,0.5,0.49,0.52,0.49,0.5,0.48,0.48,0.51,0.51,0.48,0.49,0.49,0.47,0.47,0.47,0.45,0.46,0.43,0.44,0.44,0.46,0.44,0.0,0.43,0.42,0.41,0.42,0.43,0.43,0.4,0.4,0.39,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.26,0.27,0.27,0.24,0.2,0.21,0.18,0.15,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,5.19,2.44,1.83,1.61,1.59,1.32,1.2,1.23,1.22,1.23,1.18,1.15,1.14,1.16,1.13,1.14,1.12,1.08,1.06,1.06,1.06,0.96,0.96,0.95,0.94,0.92,0.93,0.9,0.92,0.88,0.89,0.91,0.9,0.85,0.84,0.84,0.88,0.82,0.82,0.81,0.74,0.76,0.79,0.75,0.72,0.74,0.75,0.7,0.71,0.67,0.68,0.67,0.67,0.68,0.68,0.66,0.64,0.65,0.67,0.64,0.61,0.65,0.59,0.62,0.61,0.6,0.61,0.59,0.62,0.6,0.59,0.62,0.58,0.57,0.58,0.57,0.58,0.58,0.6,0.55,0.58,0.55,0.55,0.56,0.56,0.56,0.53,0.53,0.54,0.51,0.5,0.5,0.49,0.52,0.49,0.5,0.48,0.48,0.51,0.51,0.48,0.49,0.49,0.47,0.47,0.47,0.45,0.46,0.43,0.44,0.44,0.46,0.44,0.0,0.43,0.42,0.41,0.42,0.43,0.43,0.4,0.4,0.39,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.26,0.27,0.27,0.24,0.2,0.21,0.18,0.15,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,5.38,2.49,1.81,1.62,1.62,1.32,1.2,1.25,1.24,1.14,1.19,1.16,1.17,1.18,1.12,1.16,1.12,1.08,1.08,1.08,1.07,0.97,0.97,0.99,0.96,0.93,0.89,0.9,0.92,0.83,0.83,0.91,0.9,0.86,0.88,0.85,0.87,0.84,0.83,0.82,0.69,0.78,0.77,0.77,0.73,0.75,0.76,0.68,0.71,0.67,0.66,0.69,0.67,0.68,0.68,0.67,0.6,0.63,0.68,0.65,0.57,0.67,0.57,0.62,0.6,0.61,0.61,0.6,0.62,0.62,0.59,0.62,0.59,0.56,0.6,0.57,0.57,0.58,0.59,0.55,0.55,0.55,0.55,0.54,0.56,0.56,0.53,0.53,0.55,0.52,0.5,0.49,0.47,0.5,0.49,0.49,0.45,0.48,0.52,0.51,0.47,0.47,0.49,0.45,0.45,0.46,0.46,0.47,0.42,0.42,0.43,0.46,0.44,0.0,0.42,0.41,0.38,0.43,0.44,0.43,0.4,0.39,0.39,0.34,0.34,0.32,0.31,0.29,0.31,0.32,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.27,0.24,0.18,0.21,0.19,0.14,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,5.38,2.49,1.81,1.62,1.62,1.32,1.2,1.25,1.24,1.14,1.19,1.16,1.17,1.18,1.12,1.16,1.12,1.08,1.08,1.08,1.07,0.97,0.97,0.99,0.96,0.93,0.89,0.9,0.92,0.83,0.83,0.91,0.9,0.86,0.88,0.85,0.87,0.84,0.83,0.82,0.69,0.78,0.77,0.77,0.73,0.75,0.76,0.68,0.71,0.67,0.66,0.69,0.67,0.68,0.68,0.67,0.6,0.63,0.68,0.65,0.57,0.67,0.57,0.62,0.6,0.61,0.61,0.6,0.62,0.62,0.59,0.62,0.59,0.56,0.6,0.57,0.57,0.58,0.59,0.55,0.55,0.55,0.55,0.54,0.56,0.56,0.53,0.53,0.55,0.52,0.5,0.49,0.47,0.5,0.49,0.49,0.45,0.48,0.52,0.51,0.47,0.47,0.49,0.45,0.45,0.46,0.46,0.47,0.42,0.42,0.43,0.46,0.44,0.0,0.42,0.41,0.38,0.43,0.44,0.43,0.4,0.39,0.39,0.34,0.34,0.32,0.31,0.29,0.31,0.32,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.27,0.24,0.18,0.21,0.19,0.14,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/21/2021,5.34,2.5,1.78,1.63,1.61,1.32,1.2,1.26,1.25,1.1,1.2,1.15,1.17,1.19,1.1,1.16,1.13,1.09,1.09,1.08,1.08,0.97,0.97,0.99,0.97,0.94,0.91,0.91,0.93,0.85,0.79,0.91,0.88,0.88,0.88,0.86,0.87,0.85,0.83,0.82,0.68,0.78,0.77,0.77,0.73,0.76,0.77,0.69,0.71,0.67,0.66,0.68,0.65,0.69,0.69,0.68,0.6,0.62,0.68,0.65,0.55,0.67,0.57,0.62,0.59,0.6,0.61,0.61,0.63,0.63,0.58,0.63,0.6,0.55,0.58,0.57,0.56,0.58,0.58,0.54,0.56,0.56,0.55,0.54,0.56,0.56,0.53,0.53,0.55,0.54,0.49,0.49,0.48,0.49,0.5,0.48,0.44,0.48,0.52,0.51,0.47,0.47,0.49,0.44,0.45,0.46,0.47,0.47,0.42,0.41,0.43,0.46,0.44,0.0,0.4,0.42,0.38,0.43,0.45,0.43,0.4,0.39,0.38,0.34,0.33,0.32,0.31,0.29,0.32,0.32,0.29,0.28,0.29,0.29,0.27,0.27,0.26,0.27,0.24,0.18,0.21,0.19,0.14,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/22/2021,5.34,2.5,1.78,1.63,1.61,1.32,1.2,1.26,1.25,1.1,1.2,1.15,1.17,1.19,1.1,1.16,1.13,1.09,1.09,1.08,1.08,0.97,0.97,0.99,0.97,0.94,0.91,0.91,0.93,0.85,0.79,0.91,0.88,0.88,0.88,0.86,0.87,0.85,0.83,0.82,0.68,0.78,0.77,0.77,0.73,0.76,0.77,0.69,0.71,0.67,0.66,0.68,0.65,0.69,0.69,0.68,0.6,0.62,0.68,0.65,0.55,0.67,0.57,0.62,0.59,0.6,0.61,0.61,0.63,0.63,0.58,0.63,0.6,0.55,0.58,0.57,0.56,0.58,0.58,0.54,0.56,0.56,0.55,0.54,0.56,0.56,0.53,0.53,0.55,0.54,0.49,0.49,0.48,0.49,0.5,0.48,0.44,0.48,0.52,0.51,0.47,0.47,0.49,0.44,0.45,0.46,0.47,0.47,0.42,0.41,0.43,0.46,0.44,0.0,0.4,0.42,0.38,0.43,0.45,0.43,0.4,0.39,0.38,0.34,0.33,0.32,0.31,0.29,0.32,0.32,0.29,0.28,0.29,0.29,0.27,0.27,0.26,0.27,0.24,0.18,0.21,0.19,0.14,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
