,The Cleveland Clinic Foundation 4.86%,HP Inc 6%,FREEPORT-MCMORAN INC 5.45%,"T-Mobile USA, Inc. 3.6%",Olin Corporation 5%,Buckeye Partners LP 5.85%,Chicken Soup for the Soul Entertainment Inc PRF PERPETUAL USD - Ser A,Scorpio Tankers Inc 7%,Summit Hotel Properties Inc 6.25% PRF PERPETUAL USD 25 - Ser E,Invesco Mortgage Capital Inc Cum Red Pfd Shs Series -B-,Dime Community Bancshares Inc 5.50% PRF PERPETUAL USD 25 Ser A,Dreyfus Treasury Secs Cash Mgmt Admin,Compass Diversified Holdings Series C,TFC,Fortress Transportation and Infrastructure Investors LLC FXDFR PRF PERPETUA,Dynex Capital Inc FXDFR PRF PERPETUAL USD 25 Ser C,Annaly Capital Management Inc Pfd,Costamare Inc 8.875% PRF PERPETUAL USD,Aspen Insurance Holdings Ltd 5.625% PRF PERPETUAL USD 25,Plymouth Industrial REIT Inc Ser A,Athene Holding Ltd FXDFR PRF PERPETUAL USD 25 - Ser A 1/1000 Int Dep,Federal Agricultural Mortgage Corp 5.25% PRF PERPETUAL USD 25 - Ser F,US Airways Group Inc.,KKR Real Estate Finance Trust Inc 6.50% PRF PERPETUAL USD 25,Teekay LNG Partners LP Cum Red Perp Pfd Registered Units Series -B-,STX,AIG,VLO,HMLP,CMRE,OGE,ATCO,BMY,HBI,SON,MPW,BKH,FLO,BG,"Valmont Industries, Inc. 5.25%",Pebblebrook Hotel Trust PRF PERPETUAL USD 25 - Ser G,Freeport-Mcmoran Inc 5.45%,US Airways Group Inc. 3.95%,DARXX,OLN 5 02.01.30,BPL 5.85 11.15.43,STNG 7 06.30.25,FCX 5.45 03.15.43,FTAI V8.25 PERP A,HPQ 6 09.15.41,KREF 6.5 PERP A,TGP V8.5 PERP B,MTVD 6.85 01.15.40 144A,IVR V7.75 PERP B,ABR V6.25 PERP F,VMI 5.25 10.01.54,INN 6.25 PERP E,TMUS 3.6 11.15.60,NLY V6.75 PERP I,CLECLI 4.858 01.01.14,DCOM 5.5 PERP,AHL 5.625 PERP *,DX V6.9 PERP C,O,CODI 7.875 PERP C,WMB,PEB 6.375 PERP G,FAMCA 5.25 PERP F,CMRE 8.875 PERP E,PLYM 7.5 PERP A,ATH V6.35 PERP A,AAL 3.95 11.15.25,CSSE 9.75 PERP A,SUM
07/09/2021,4.35,3.64,3.51,3.43,3.33,3.23,2.63,2.55,2.52,2.48,2.48,2.48,2.46,2.44,2.44,2.43,2.43,2.39,2.36,2.35,2.3,2.29,2.27,2.18,2.16,2.16,2.13,2.11,2.11,2.1,2.09,2.08,2.07,2.07,2.05,2.04,2.03,2.03,1.99,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,4.35,3.64,3.51,3.43,3.33,3.23,2.63,2.55,2.52,2.48,2.48,2.48,2.46,2.44,2.44,2.43,2.43,2.39,2.36,2.35,2.3,2.29,2.27,2.18,2.16,2.16,2.13,2.11,2.11,2.1,2.09,2.08,2.07,2.07,2.05,2.04,2.03,2.03,1.99,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,4.35,3.64,3.51,3.43,3.33,3.23,2.63,2.55,2.52,2.48,2.48,2.48,2.46,2.44,2.44,2.43,2.43,2.39,2.36,2.35,2.3,2.29,2.27,2.18,2.16,2.16,2.13,2.11,2.11,2.1,2.09,2.08,2.07,2.07,2.05,2.04,2.03,2.03,1.99,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
