,AAPL,MSFT,GOOGL,AMZN,TSLA,FB,NVDA,UNH,HD,PFE,CSCO,AVGO,COST,PEP,ADBE,NFLX,ABBV,INTC,CMCSA,PYPL,QCOM,SCHW,LOW,AMD,TXN,INTU,SPGI,ANTM,ZTS,CSX,CME,ICE,SBNY,HPE,HUM,CF,HLT,BK,MAR,STX,ABC,VRTX,HST,MDLZ,BAX,KIM,TDG,CHRW,BEN,PFG,NTAP,REG,EVRG,LNT,LYV,GD,TER,GWW,HCA,TSCO,EXR,AEE,UDR,BKNG,AKAM,BR,ADP,VRSN,STE,EQIX,NDAQ,EXPD,LEN,DLR,ANSS,DPZ,POOL,SNPS,HAL,MOS,VLO,BMY,CI,PM,LNC,HWM,CMA,TFC,AIG,NTRS,MS,STT,SPG,JNJ,MA,CVX,WFC,MCD,HON,PLD,LMT,CTRA,MKC,JBHT,CFG,NI,EA,HES,PKG,MO,SRE,BKR,WBA,SLB,INCY,XOM,UPS,TMUS,BA,NSC,AON,REGN,DFS,CCL,WAB,BSX,CTSH,JKHY,CNC,BXP,MAA,CE,FMC,MCK,ODFL,MPC,TSN,EXPE,DTHXX,MCHP,ADI,OXY,PHM,MRO,n/a,CMG,URI,AXP,PWR,LYB,CTVA,ORCL,CINF,MRNA,UAL,WRK,RCL,CAT,GE,WRB,LUV,EPAM,APTV,FITB,SUM
01/11/2022,14.68,14.12,10.08,9.24,5.84,4.99,3.83,2.45,2.3,1.59,1.41,1.35,1.34,1.31,1.28,1.27,1.24,1.22,1.2,1.13,1.12,0.95,0.92,0.9,0.87,0.85,0.6,0.51,0.49,0.43,0.41,0.4,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
01/12/2022,14.68,14.12,10.08,9.24,5.84,4.99,3.83,2.45,2.3,1.59,1.41,1.35,1.34,1.31,1.28,1.27,1.24,1.22,1.2,1.13,1.12,0.95,0.92,0.9,0.87,0.85,0.6,0.51,0.49,0.43,0.41,0.4,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
01/13/2022,14.65,14.1,10.18,9.16,6.0,4.93,3.84,2.48,2.26,1.6,1.42,1.35,1.3,1.31,1.32,1.26,1.25,1.26,1.21,1.1,1.11,0.95,0.91,0.9,0.89,0.86,0.58,0.51,0.5,0.42,0.41,0.39,0.24,0.24,0.26,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/14/2022,14.65,14.1,10.18,9.16,6.0,4.93,3.84,2.48,2.26,1.6,1.42,1.35,1.3,1.31,1.32,1.26,1.25,1.26,1.21,1.1,1.11,0.95,0.91,0.9,0.89,0.86,0.58,0.51,0.5,0.42,0.41,0.39,0.24,0.24,0.26,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/17/2022,14.68,14.03,10.2,9.21,6.17,4.92,3.86,2.49,2.23,1.59,1.41,1.33,1.29,1.28,1.31,1.23,1.24,1.25,1.2,1.1,1.13,0.96,0.9,0.92,0.88,0.85,0.59,0.52,0.49,0.41,0.41,0.39,0.24,0.24,0.26,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.16,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000004
01/18/2022,14.77,13.79,10.26,9.22,5.9,4.94,3.76,2.52,2.28,1.6,1.43,1.31,1.3,1.32,1.3,1.22,1.24,1.27,1.24,1.1,1.14,0.97,0.93,0.92,0.9,0.84,0.59,0.53,0.49,0.43,0.41,0.39,0.25,0.25,0.26,0.23,0.23,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.16,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/19/2022,14.76,13.95,10.26,9.22,5.97,4.99,3.78,2.51,2.18,1.57,1.42,1.3,1.26,1.32,1.31,1.23,1.25,1.28,1.24,1.07,1.17,0.99,0.9,0.94,0.91,0.83,0.58,0.53,0.48,0.42,0.41,0.38,0.24,0.25,0.26,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/20/2022,14.76,13.95,10.26,9.22,5.97,4.99,3.78,2.51,2.18,1.57,1.42,1.3,1.26,1.32,1.31,1.23,1.25,1.28,1.24,1.07,1.17,0.99,0.9,0.94,0.91,0.83,0.58,0.53,0.48,0.42,0.41,0.38,0.24,0.25,0.26,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/21/2022,14.76,13.95,10.26,9.22,5.97,4.99,3.78,2.51,2.18,1.57,1.42,1.3,1.26,1.32,1.31,1.23,1.25,1.28,1.24,1.07,1.17,0.99,0.9,0.94,0.91,0.83,0.58,0.53,0.48,0.42,0.41,0.38,0.24,0.25,0.26,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/24/2022,13.66,13.46,10.31,9.21,5.87,4.99,3.65,2.57,0.0,1.59,1.41,1.27,1.27,1.37,1.34,1.25,1.29,1.27,1.26,1.08,1.11,0.98,0.9,0.91,0.9,0.85,0.59,0.54,0.49,0.42,0.44,0.39,0.24,0.25,0.0,0.24,0.22,0.0,0.21,0.21,0.23,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.0,0.22,0.22,0.21,0.0,0.21,0.21,0.21,0.21,0.21,0.41,0.22,0.0,0.19,0.0,0.2,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.16,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
