,GASOLINE RBOB FUT May21,GOLDMAN FS GOVT INST 465,MORGAN STANLEY LIQ GOVT INST 8302,CASH,RBC US GOVTT 1 1465,B 0 05/06/21,BNY CASH RESERVE,FIDELITY INVESTMENT MM GOV 1 57,SUM
07/09/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/12/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/13/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/14/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/15/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/16/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/19/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/20/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/21/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/22/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/23/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/26/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.53
07/27/2021,99.97,54.69,14.54,13.25,9.18,9.08,3.82,0.0,204.52999999999997
