,4SPX  210930C02017750,4XSP  210930C00201780,4SPX  210930P04035500,4SPX  210930P03194760,4XSP  210930P00403570,4XSP  210930P00201780,4XSP  210930P00218590,4XSP  210930P00319480,Cash&Other,4SPX  210930P02185890,4SPX  210930P02017750,4XSP  210930C00403570,4XSP  210930C00363600,4SPX  210930C04035500,4SPX  210930C03635970,2SPY  220930C00003420,2SPY  220930P00407680,2SPY  220930P00278940,2SPY  220930C00457030,SUM
07/09/2021,126.2,1.54,1.52,0.27,0.02,0.0,0.0,0.0,0.0,-0.05,-0.07,-0.12,-0.24,-9.55,-19.52,0.0,0.0,0.0,0.0,100.0
07/12/2021,128.33,1.02,1.39,0.26,0.01,0.0,0.0,0.0,-0.03,-0.05,-0.07,-0.08,-0.16,-10.25,-20.36,0.0,0.0,0.0,0.0,100.00999999999998
07/13/2021,128.33,1.02,1.39,0.26,0.01,0.0,0.0,0.0,-0.03,-0.05,-0.07,-0.08,-0.16,-10.25,-20.36,0.0,0.0,0.0,0.0,100.00999999999998
07/14/2021,128.33,1.02,1.39,0.26,0.01,0.0,0.0,0.0,-0.03,-0.05,-0.07,-0.08,-0.16,-10.25,-20.36,0.0,0.0,0.0,0.0,100.00999999999998
07/15/2021,129.2,1.02,1.29,0.23,0.01,0.0,0.0,0.0,-0.04,-0.04,-0.06,-0.08,-0.16,-10.6,-20.76,0.0,0.0,0.0,0.0,100.00999999999998
07/16/2021,128.37,1.02,1.43,0.24,0.01,0.0,0.0,0.0,-0.04,-0.05,-0.06,-0.08,-0.16,-10.28,-20.39,0.0,0.0,0.0,0.0,100.00999999999998
07/19/2021,127.92,0.7,1.45,0.23,0.01,0.0,0.0,0.0,0.0,-0.04,-0.06,-0.05,-0.11,-9.99,-20.07,0.0,0.0,0.0,0.0,99.98999999999998
07/20/2021,126.17,0.69,1.68,0.27,0.01,0.0,0.0,0.0,0.0,-0.05,-0.07,-0.05,-0.11,-9.29,-19.25,0.0,0.0,0.0,0.0,99.99999999999996
07/21/2021,126.17,0.69,1.68,0.27,0.01,0.0,0.0,0.0,0.0,-0.05,-0.07,-0.05,-0.11,-9.29,-19.25,0.0,0.0,0.0,0.0,99.99999999999996
07/22/2021,123.14,0.68,2.24,0.37,0.01,0.0,0.0,0.0,0.0,-0.08,-0.12,-0.05,-0.1,-8.22,-17.88,0.0,0.0,0.0,0.0,99.99
