,OKE,EPD,KMI,ENB.TO,WMB,TRP.TO,LNG,TRGP,ET,PPL.TO,IPL.TO,KEY.TO,ETRN,AM,MMP,GEI.TO,PAGP,MPLX,ENLC,TELL,NFE,AROC,RTLR,HESM,ALTM,WES,PSXP,NS,SHLX,CEQP,GEL,HEP,U.S. Bank Money Market Deposit Account,PBFX,Canadian Dollar,PBF Logistics LP,n/a,USBFS03,SUM
07/09/2021,7.44,7.31,7.29,7.23,7.22,6.95,4.26,4.19,4.16,4.08,3.54,3.29,2.69,2.61,2.41,2.39,2.36,2.29,2.24,2.23,2.17,2.07,1.88,1.84,1.81,0.94,0.59,0.48,0.47,0.41,0.37,0.31,0.3,0.17,0.01,0.0,0.0,0.0,100.0
07/12/2021,7.4,7.41,7.44,7.44,7.27,7.16,4.38,4.12,4.15,4.12,3.6,3.3,2.67,2.57,2.42,2.44,2.26,2.26,2.15,2.01,2.08,1.97,1.86,1.84,1.77,0.91,0.58,0.47,0.46,0.41,0.36,0.31,0.24,0.0,0.01,0.17,0.0,0.0,100.01
07/13/2021,7.4,7.41,7.44,7.44,7.27,7.16,4.38,4.12,4.15,4.12,3.6,3.3,2.67,2.57,2.42,2.44,2.26,2.26,2.15,2.01,2.08,1.97,1.86,1.84,1.77,0.91,0.58,0.47,0.46,0.41,0.36,0.31,0.24,0.0,0.01,0.17,0.0,0.0,100.01
07/14/2021,7.44,7.44,7.43,7.42,7.31,7.16,4.4,4.17,4.14,4.12,3.6,3.29,2.75,2.61,2.43,2.37,2.26,2.29,2.18,2.13,2.04,1.97,1.86,1.82,1.7,0.91,0.59,0.47,0.47,0.41,0.35,0.31,0.02,0.0,0.01,0.17,0.0,0.0,100.04
07/15/2021,7.51,7.46,7.45,7.35,7.25,7.13,4.29,4.22,4.1,4.2,3.58,3.32,2.76,2.58,2.38,2.39,2.22,2.29,2.27,2.14,2.02,2.04,1.86,1.78,1.7,0.92,0.58,0.47,0.47,0.4,0.36,0.3,0.02,0.0,0.01,0.17,0.0,0.0,99.99
07/16/2021,7.51,7.46,7.45,7.35,7.25,7.13,4.29,4.22,4.1,4.2,3.58,3.32,2.76,2.58,2.38,2.39,2.22,2.29,2.27,2.14,2.02,2.04,1.86,1.78,1.7,0.92,0.58,0.47,0.47,0.4,0.36,0.3,0.02,0.0,0.01,0.17,0.0,0.0,99.99
07/19/2021,7.48,7.57,7.44,7.47,7.23,7.22,4.26,4.2,4.08,4.23,3.69,3.38,2.68,2.58,2.4,2.44,2.25,2.28,2.18,1.91,1.87,2.05,1.87,1.81,1.75,0.9,0.58,0.47,0.47,0.4,0.35,0.29,0.03,0.0,0.01,0.17,0.0,0.0,99.99
07/20/2021,7.48,7.55,7.47,7.46,7.27,7.26,4.27,4.13,3.99,4.22,3.8,3.39,2.7,2.58,2.4,2.45,2.19,2.25,2.14,1.96,1.87,2.03,1.87,1.81,1.75,0.9,0.58,0.47,0.47,0.4,0.35,0.3,0.03,0.0,0.05,0.17,0.0,0.0,100.01
07/21/2021,7.41,7.64,7.47,7.54,7.29,7.33,4.35,4.12,4.0,4.22,3.86,3.37,2.64,2.54,2.43,2.42,2.18,2.24,2.07,1.86,1.89,2.01,1.85,1.8,1.74,0.9,0.59,0.47,0.46,0.4,0.35,0.3,0.04,0.0,0.07,0.17,0.0,0.0,100.02
07/22/2021,7.41,7.64,7.47,7.54,7.29,7.33,4.35,4.12,4.0,4.22,3.86,3.37,2.64,2.54,2.43,2.42,2.18,2.24,2.07,1.86,1.89,2.01,1.85,1.8,1.74,0.9,0.59,0.47,0.46,0.4,0.35,0.3,0.04,0.0,0.07,0.17,0.0,0.0,100.02
07/23/2021,7.41,7.64,7.47,7.54,7.29,7.33,4.35,4.12,4.0,4.22,3.86,3.37,2.64,2.54,2.43,2.42,2.18,2.24,2.07,1.86,1.89,2.01,1.85,1.8,1.74,0.9,0.59,0.47,0.46,0.4,0.35,0.3,0.04,0.0,0.07,0.17,0.0,0.0,100.02
07/26/2021,7.39,7.51,7.51,7.4,7.24,7.23,4.37,4.24,4.1,4.32,3.7,3.31,2.61,2.62,2.41,2.42,2.19,2.23,2.07,1.96,2.0,2.04,1.83,1.8,1.83,0.9,0.58,0.46,0.46,0.4,0.33,0.29,0.1,0.0,0.01,0.16,0.0,0.0,100.02
07/27/2021,7.39,7.51,7.51,7.4,7.24,7.23,4.37,4.24,4.1,4.32,3.7,3.31,2.61,2.62,2.41,2.42,2.19,2.23,2.07,1.96,2.0,2.04,1.83,1.8,1.83,0.9,0.58,0.46,0.46,0.4,0.33,0.29,0.1,0.0,0.01,0.16,0.0,0.0,100.02
07/28/2021,7.36,7.52,7.35,7.48,7.25,7.28,4.37,4.24,4.13,4.3,3.74,3.36,2.63,2.62,2.42,2.41,2.23,2.28,2.09,1.85,1.9,2.01,1.88,1.82,1.83,0.91,0.57,0.45,0.43,0.41,0.34,0.29,0.1,0.0,0.01,0.16,0.0,0.0,100.02
07/29/2021,7.35,7.53,7.41,7.36,7.24,7.19,4.36,4.25,4.07,4.4,3.63,3.43,2.68,2.66,2.45,2.4,2.23,2.27,2.15,1.84,1.8,2.06,1.83,1.81,1.84,0.94,0.57,0.46,0.44,0.41,0.34,0.3,0.1,0.0,0.01,0.16,0.0,0.0,99.97
07/30/2021,7.35,7.53,7.41,7.36,7.24,7.19,4.36,4.25,4.07,4.4,3.63,3.43,2.68,2.66,2.45,2.4,2.23,2.27,2.15,1.84,1.8,2.06,1.83,1.81,1.84,0.94,0.57,0.46,0.44,0.41,0.34,0.3,0.1,0.0,0.01,0.16,0.0,0.0,99.97
08/02/2021,7.33,7.34,7.44,7.5,7.21,7.33,4.39,4.22,4.07,4.44,3.66,3.42,2.65,2.52,2.46,2.41,2.21,2.29,2.14,1.84,1.8,2.05,1.86,1.95,1.74,0.92,0.59,0.46,0.45,0.42,0.33,0.3,0.1,0.0,0.01,0.16,0.0,0.0,100.01
08/03/2021,7.33,7.34,7.44,7.5,7.21,7.33,4.39,4.22,4.07,4.44,3.66,3.42,2.65,2.52,2.46,2.41,2.21,2.29,2.14,1.84,1.8,2.05,1.86,1.95,1.74,0.92,0.59,0.46,0.45,0.42,0.33,0.3,0.1,0.0,0.01,0.16,0.0,0.0,100.01
08/04/2021,7.33,7.34,7.44,7.5,7.21,7.33,4.39,4.22,4.07,4.44,3.66,3.42,2.65,2.52,2.46,2.41,2.21,2.29,2.14,1.84,1.8,2.05,1.86,1.95,1.74,0.92,0.59,0.46,0.45,0.42,0.33,0.3,0.1,0.0,0.01,0.16,0.0,0.0,100.01
08/05/2021,7.33,7.34,7.44,7.5,7.21,7.33,4.39,4.22,4.07,4.44,3.66,3.42,2.65,2.52,2.46,2.41,2.21,2.29,2.14,1.84,1.8,2.05,1.86,1.95,1.74,0.92,0.59,0.46,0.45,0.42,0.33,0.3,0.1,0.0,0.01,0.16,0.0,0.0,100.01
08/06/2021,7.14,7.18,7.41,7.64,7.25,7.35,4.47,4.19,4.01,4.53,3.71,3.51,2.67,2.45,2.48,2.49,2.16,2.31,2.0,1.77,1.85,2.09,1.84,2.03,1.81,0.88,0.56,0.44,0.43,0.42,0.34,0.27,0.14,0.0,0.01,0.16,0.0,0.0,99.99
10/04/2021,7.16,7.15,7.3,7.57,7.17,7.29,4.37,4.16,4.04,4.52,3.71,3.49,2.63,2.47,2.39,2.43,2.15,2.29,2.04,1.89,1.81,2.1,1.86,1.99,1.75,0.91,0.57,0.43,0.46,0.42,0.33,0.29,0.0,0.16,0.0,0.0,7.84,0.56,107.7
10/05/2021,7.41,6.98,7.27,7.07,7.27,6.97,4.46,4.39,4.22,4.15,0.0,3.47,3.21,2.97,2.33,2.71,2.63,2.47,2.53,2.66,2.31,2.38,2.17,2.27,2.09,1.0,0.55,0.42,0.4,0.45,0.33,0.26,0.0,0.15,0.0,0.0,0.01,0.0,99.96000000000001
