,TF 0 01/31/23,TF 0 04/30/23,TF 0 10/31/22,United States Treasury Notes 0.11%,n/a,TF 0 07/31/23,SUM
07/09/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/12/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/13/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/14/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/15/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/16/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/19/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/20/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/22/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/23/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/27/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/28/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/29/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
07/30/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
08/03/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
08/05/2021,26.5,26.48,24.5,22.52,0.0,0.0,100.0
08/09/2021,30.55,30.53,28.24,0.0,10.68,0.0,100.0
08/10/2021,30.55,30.53,28.24,0.0,10.68,0.0,100.0
08/12/2021,30.55,30.53,28.24,0.0,10.68,0.0,100.0
08/16/2021,30.55,30.53,28.24,0.0,10.68,0.0,100.0
08/17/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
08/18/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
08/19/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
08/24/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
08/25/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
08/27/2021,30.55,30.53,28.24,0.0,10.68,0.0,100.0
08/31/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
09/02/2021,30.55,30.53,28.23,0.0,10.68,0.0,99.99
09/03/2021,30.55,30.54,28.23,0.0,10.69,0.0,100.01
09/07/2021,27.79,27.78,25.68,0.0,0.0,18.75,100.0
09/08/2021,27.79,27.78,25.68,0.0,0.0,18.75,100.0
09/10/2021,27.79,27.78,25.68,0.0,0.0,18.75,100.0
09/13/2021,27.79,27.78,25.68,0.0,0.0,18.75,100.0
