,CRWD,NET,QQQ,SNOW,DDOG,DBX,Dreyfus Trsy Oblig Cash M,FSLY,ZS,OKTA,Net Us 01/20/23 C135,Crwd Us 01/20/23 C310,Net Us 01/21/22 C135,Net Us 11/19/21 C110,Qqq Us 06/17/22 P100,Crwd Us 01/21/22 C310,Ndx Us 03/18/22 P7000,Ndx Us 12/17/21 P4000,Crwd Us 01/21/22 C350,Net Us 07/16/21 C135,Ndx Us 09/17/21 P7000,Ndx Us 06/18/21 P5500,Crwd Us 06/18/21 C310,Ndx Us 06/18/21 P5000,PLTR,NET 01/21/22 C135 Equity,NET 01/20/23 C135 Equity,CFLT,MNDT,CRM,NVDA,MSFT,GOOG,PD,AMZN,AAPL,n/a,ESTC,CRWD 01/20/23 C310 Equity,QQQ 12/16/22 P170 Equity,NDX 09/16/22 P7000 Index,QQQ 06/17/22 P100 Equity,NDX 03/18/22 P7000 Index,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,QQQ 10/20/21 P352 Equity,DOCN,QQQ 10/27/21 P365 Equity,QQQ 11/03/21 P370 Equity,SUM
07/09/2021,24.93,24.72,23.21,4.54,4.39,4.08,3.38,2.46,2.01,1.88,1.34,0.88,0.73,0.27,0.26,0.24,0.21,0.2,0.09,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
10/14/2021,7.67,13.77,0.0,4.23,8.48,3.17,0.0,3.65,4.18,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,6.0,4.54,3.91,3.78,3.4,3.25,3.15,2.8,2.71,2.66,2.62,2.13,1.41,0.57,0.47,0.18,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,7.62,13.85,0.0,4.1,8.36,3.1,0.0,3.56,4.17,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,7.18,4.99,3.97,3.66,3.33,3.12,3.02,2.65,2.66,2.55,2.5,1.96,1.39,0.61,0.44,0.16,0.1,0.04,0.0,0.0,0.08,0.0,0.0,0.0,100.0
10/18/2021,7.62,13.88,0.0,3.99,8.06,2.91,0.0,3.4,4.04,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,9.54,5.65,3.84,3.42,3.17,3.01,2.85,2.51,2.55,2.37,2.32,1.8,1.35,0.81,0.32,0.12,0.08,0.03,0.0,0.0,0.01,0.0,0.0,0.0,99.99
10/19/2021,7.62,13.88,0.0,3.99,8.06,2.91,0.0,3.4,4.04,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,9.54,5.65,3.84,3.42,3.17,3.01,2.85,2.51,2.55,2.37,2.32,1.8,1.35,0.81,0.32,0.12,0.08,0.03,0.0,0.0,0.01,0.0,0.0,0.0,99.99
10/20/2021,7.62,13.88,0.0,3.99,8.06,2.91,0.0,3.4,4.04,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,9.54,5.65,3.84,3.42,3.17,3.01,2.85,2.51,2.55,2.37,2.32,1.8,1.35,0.81,0.32,0.12,0.08,0.03,0.0,0.0,0.01,0.0,0.0,0.0,99.99
10/21/2021,7.33,14.13,0.0,3.77,7.7,2.71,0.0,3.23,3.86,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,12.36,6.58,3.48,3.22,2.96,2.86,2.7,2.36,2.34,2.3,2.2,1.69,1.24,0.85,0.3,0.1,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/22/2021,9.18,17.38,0.0,3.88,8.8,2.81,0.0,3.66,3.9,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42,0.77,5.15,3.62,3.24,3.04,2.93,2.77,2.43,2.44,2.35,2.29,2.46,2.17,0.85,0.3,0.1,0.07,0.02,0.0,0.0,0.0,3.38,0.05,0.0,100.0
10/25/2021,9.02,17.86,0.0,3.81,8.75,2.78,0.0,3.57,3.91,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,5.48,3.65,3.14,2.94,2.91,2.72,2.36,2.4,2.28,2.24,3.55,2.1,0.82,0.29,0.09,0.07,0.02,0.0,0.0,0.0,3.44,0.03,0.0,100.0
10/26/2021,9.02,17.86,0.0,3.81,8.75,2.78,0.0,3.57,3.91,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,5.48,3.65,3.14,2.94,2.91,2.72,2.36,2.4,2.28,2.24,3.55,2.1,0.82,0.29,0.09,0.07,0.02,0.0,0.0,0.0,3.44,0.03,0.0,100.0
10/27/2021,9.06,17.93,0.0,3.82,8.9,2.78,0.0,3.5,3.97,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,0.0,5.39,3.62,3.14,2.99,2.94,2.73,2.32,2.38,2.23,2.25,3.49,2.11,0.83,0.3,0.09,0.06,0.02,0.0,0.0,0.0,3.41,0.02,0.0,100.02
10/28/2021,8.78,18.35,0.0,3.76,8.68,2.78,0.0,3.56,3.93,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0.0,5.95,3.58,3.06,2.94,2.94,2.67,2.27,2.41,2.18,2.2,3.42,2.11,0.77,0.26,0.08,0.06,0.02,0.0,0.0,0.0,3.4,0.0,0.0,100.0
10/29/2021,9.02,18.0,0.0,3.78,8.82,2.74,0.0,3.56,3.99,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.64,3.45,3.04,2.96,3.14,2.69,2.3,2.4,2.22,2.22,3.34,2.11,0.86,0.25,0.07,0.06,0.02,0.0,0.0,0.0,3.42,0.0,0.07,100.02
11/01/2021,8.86,17.94,0.0,3.85,8.7,2.73,0.0,3.57,4.02,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,5.49,3.53,3.03,3.0,3.18,2.82,2.41,2.36,2.27,2.27,3.37,2.11,0.79,0.26,0.07,0.06,0.02,0.0,0.0,0.0,3.42,0.0,0.02,99.95999999999998
11/02/2021,8.86,17.94,0.0,3.85,8.7,2.73,0.0,3.57,4.02,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,5.49,3.53,3.03,3.0,3.18,2.82,2.41,2.36,2.27,2.27,3.37,2.11,0.79,0.26,0.07,0.06,0.02,0.0,0.0,0.0,3.42,0.0,0.02,99.95999999999998
11/03/2021,8.65,18.48,0.0,3.82,8.79,2.68,0.0,3.53,3.95,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34,0.0,6.23,3.48,2.94,2.93,3.18,2.81,2.38,2.28,2.16,2.17,3.26,2.08,0.78,0.24,0.07,0.06,0.01,0.0,0.0,0.0,3.4,0.0,0.01,100.01
11/04/2021,8.29,18.5,0.0,3.87,8.72,2.69,0.0,3.6,3.96,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,6.15,3.64,3.04,2.98,3.22,2.8,2.32,2.31,2.13,2.17,3.27,2.09,0.67,0.23,0.06,0.05,0.01,0.0,0.0,0.0,3.31,0.0,0.0,99.98000000000002
11/05/2021,8.29,18.4,0.0,3.91,8.74,2.67,0.0,3.46,4.06,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,6.06,3.92,3.01,2.99,3.31,2.85,2.36,2.26,2.14,2.19,3.28,2.06,0.64,0.22,0.06,0.05,0.01,0.0,0.0,0.0,3.24,0.0,0.0,99.97
11/08/2021,8.33,18.52,0.0,3.73,8.52,2.64,0.0,3.68,3.98,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,0.0,6.42,3.66,2.98,2.93,3.59,2.77,2.32,2.29,2.16,2.12,3.15,1.99,0.74,0.21,0.06,0.05,0.01,0.0,0.0,0.0,3.56,0.0,0.0,100.01
11/09/2021,8.33,18.52,0.0,3.73,8.52,2.64,0.0,3.68,3.98,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,0.0,6.42,3.66,2.98,2.93,3.59,2.77,2.32,2.29,2.16,2.12,3.15,1.99,0.74,0.21,0.06,0.05,0.01,0.0,0.0,0.0,3.56,0.0,0.0,100.01
11/10/2021,8.11,18.09,0.0,3.8,9.43,2.36,0.0,3.35,4.05,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,6.12,4.63,2.94,2.91,3.57,2.75,2.32,2.29,2.18,2.12,3.13,1.94,0.68,0.22,0.06,0.06,0.01,0.0,0.0,0.0,3.45,0.0,0.0,99.99
11/11/2021,8.1,18.58,0.0,3.73,9.39,2.31,0.0,3.4,4.04,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,0.0,6.73,4.2,2.92,2.83,3.57,2.67,2.25,2.2,2.07,2.04,3.04,1.92,0.74,0.22,0.05,0.05,0.01,0.0,0.0,0.0,3.65,0.0,0.0,100.02
11/12/2021,8.42,18.16,0.0,3.8,9.67,2.35,0.0,3.34,4.08,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,6.33,4.31,3.0,2.83,3.56,4.31,2.26,2.2,2.13,2.05,1.39,2.06,0.85,0.22,0.05,0.05,0.01,0.0,0.0,0.0,3.8,0.0,0.0,100.0
11/15/2021,8.36,18.06,0.0,3.86,9.71,2.29,0.0,3.39,4.13,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,0.0,6.04,4.38,3.07,2.87,3.66,4.42,2.3,2.2,2.14,2.08,1.43,2.03,0.76,0.23,0.05,0.05,0.01,0.0,0.0,0.0,3.86,0.0,0.0,100.01
