,AAPL,MSFT,GOOGL,GOOG,NVDA,JNJ,HD,PG,V,BAC,MA,PFE,DIS,PEP,AVGO,ABBV,ABT,ACN,CSCO,ADBE,KO,CVX,CMCSA,PYPL,CRM,WFC,INTC,LLY,VZ,QCOM,MCD,NKE,MRK,DHR,T,LOW,TXN,AMD,UPS,INTU,MS,HON,AMAT,SCHW,BMY,CVS,GS,BLK,C,SBUX,BA,AMT,PLD,TGT,SPGI,ISRG,ANTM,DE,NOW,MU,COP,MMM,AXP,ADP,ZTS,ADI,PNC,SYK,MO,GILD,LRCX,TJX,SHW,MMC,TFC,GM,CCI,USB,CI,NSC,EL,ICE,KLAC,COF,WM,TMUS,FDX,ETN,ILMN,PSA,AON,BSX,UBER,SNPS,JCI,VRTX,EXC,TEL,REGN,NOC,TT,BK,KMB,ALGN,MSCI,NEM,AEP,PANW,MET,GPN,CTSH,MPC,DOW,APTV,HPQ,A,BAX,AZO,PPG,PRU,WDAY,EBAY,MAR,DD,STZ,GIS,YUM,SRE,TROW,BIIB,FTNT,TEAM,AFL,EA,ADM,WBA,XEL,WELL,DFS,ALL,OTIS,CBRE,EQR,NUE,CMG,VLO,STT,PEG,FITB,SWK,MTCH,KR,TWTR,ANSS,BLL,RMD,DOCU,ES,ALB,CMI,GLW,OXY,ED,WEC,RSG,URI,SYF,ANET,ZBH,O,TSN,NTRS,MKL,CDW,KEY,HBAN,NDAQ,EIX,FTV,MKC,LH,HIG,RF,PCG,PPL,BURL,CLX,EXPE,AEE,HPE,HUBS,BR,BBY,GWW,LCID,TTWO,YUMC,LYV,NTAP,SPLK,VIAC,WDC,PFG,AKAM,CMS,DLX,MAPS,ASB,RLGY,DKS,BOH,WEX,DVA,SYNA,KBR,HALO,ABM,PD,CYH,PING,KSS,UTHR,FLEX,FCN,HBI,KRTX,VSAT,DIOD,AAWW,CVBF,OI,ALEX,XNCR,GBT,ARQT,VMW,ATR,FFIV,GWRE,CLF,PLNT,THC,NVT,NTNX,TDC,MRTX,SNX,HI,SPB,OPEN,RHP,ENR,WAFD,ECPG,SEAS,HOPE,OSH,SC,GVA,FSR,FDP,PRA,ACCD,IBRX,JNPR,BAH,AAL,NDSN,LYFT,PEN,G,SAFM,M,OC,LEA,ALK,SNV,NLSN,GT,HOG,VG,GH,IIVI,CBRL,JBLU,BHF,FWRD,ACIW,MATX,UPST,PNM,HRB,CATY,FHB,BKU,TNET,AVT,NJR,DBRG,FATE,FBP,ENV,JWN,VIR,IHRT,FGXXX,MGM,RJF,ALNY,SUM
01/11/2022,10.69,8.74,3.05,2.83,2.54,1.71,1.6,1.47,1.39,1.34,1.23,1.15,1.07,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.88,0.88,0.86,0.85,0.83,0.83,0.83,0.82,0.81,0.79,0.77,0.76,0.75,0.72,0.7,0.65,0.65,0.63,0.58,0.56,0.56,0.53,0.52,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.47,0.46,0.45,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.63
01/12/2022,10.75,8.78,3.05,2.83,2.47,1.74,1.56,1.47,1.38,1.37,1.23,1.18,1.08,0.91,0.89,0.9,0.9,0.88,0.9,0.89,0.88,0.89,0.86,0.83,0.83,0.85,0.82,0.82,0.82,0.77,0.76,0.75,0.77,0.7,0.71,0.64,0.63,0.61,0.59,0.54,0.56,0.55,0.5,0.52,0.52,0.51,0.51,0.5,0.5,0.48,0.48,0.47,0.44,0.44,0.43,0.41,0.41,0.42,0.4,0.41,0.41,0.4,0.39,0.38,0.37,0.35,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.3,0.28,0.28,0.28,0.26,0.27,0.26,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6
01/13/2022,10.75,8.78,3.05,2.83,2.47,1.74,1.56,1.47,1.38,1.37,1.23,1.18,1.08,0.91,0.89,0.9,0.9,0.88,0.9,0.89,0.88,0.89,0.86,0.83,0.83,0.85,0.82,0.82,0.82,0.77,0.76,0.75,0.77,0.7,0.71,0.64,0.63,0.61,0.59,0.54,0.56,0.55,0.5,0.52,0.52,0.51,0.51,0.5,0.5,0.48,0.48,0.47,0.44,0.44,0.43,0.41,0.41,0.42,0.4,0.41,0.41,0.4,0.39,0.38,0.37,0.35,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.3,0.28,0.28,0.28,0.26,0.27,0.26,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6
01/14/2022,10.84,8.73,3.08,2.87,2.5,1.7,1.52,1.42,1.35,1.36,1.21,1.19,1.07,0.91,0.88,0.91,0.9,0.89,0.91,0.92,0.88,0.91,0.87,0.84,0.85,0.87,0.85,0.83,0.8,0.79,0.74,0.71,0.77,0.72,0.71,0.63,0.64,0.63,0.57,0.55,0.57,0.55,0.5,0.53,0.54,0.52,0.51,0.49,0.51,0.46,0.48,0.45,0.43,0.43,0.42,0.41,0.43,0.42,0.41,0.4,0.42,0.39,0.39,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.32,0.3,0.3,0.31,0.3,0.27,0.27,0.27,0.27,0.27,0.25,0.24,0.24,0.24,0.27,0.23,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.0,0.08,0.07,0.07,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.56000000000002
01/17/2022,10.8,8.57,3.1,2.89,2.42,1.7,1.54,1.44,1.37,1.37,1.24,1.18,1.07,0.92,0.86,0.9,0.87,0.87,0.91,0.91,0.89,0.91,0.88,0.81,0.84,0.88,0.85,0.8,0.81,0.79,0.75,0.72,0.78,0.7,0.73,0.64,0.65,0.61,0.57,0.53,0.56,0.56,0.53,0.54,0.54,0.52,0.5,0.48,0.52,0.46,0.5,0.45,0.44,0.43,0.42,0.4,0.43,0.43,0.37,0.41,0.43,0.4,0.39,0.37,0.36,0.35,0.36,0.34,0.35,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.28,0.27,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.23,0.22,0.24,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.15,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59
01/18/2022,10.8,8.57,3.1,2.89,2.42,1.7,1.54,1.44,1.37,1.37,1.24,1.18,1.07,0.92,0.86,0.9,0.87,0.87,0.91,0.91,0.89,0.91,0.88,0.81,0.84,0.88,0.85,0.8,0.81,0.79,0.75,0.72,0.78,0.7,0.73,0.64,0.65,0.61,0.57,0.53,0.56,0.56,0.53,0.54,0.54,0.52,0.5,0.48,0.52,0.46,0.5,0.45,0.44,0.43,0.42,0.4,0.43,0.43,0.37,0.41,0.43,0.4,0.39,0.37,0.36,0.35,0.36,0.34,0.35,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.28,0.27,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.23,0.22,0.24,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.15,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59
01/19/2022,10.8,8.57,3.1,2.89,2.42,1.7,1.54,1.44,1.37,1.37,1.24,1.18,1.07,0.92,0.86,0.9,0.87,0.87,0.91,0.91,0.89,0.91,0.88,0.81,0.84,0.88,0.85,0.8,0.81,0.79,0.75,0.72,0.78,0.7,0.73,0.64,0.65,0.61,0.57,0.53,0.56,0.56,0.53,0.54,0.54,0.52,0.5,0.48,0.52,0.46,0.5,0.45,0.44,0.43,0.42,0.4,0.43,0.43,0.37,0.41,0.43,0.4,0.39,0.37,0.36,0.35,0.36,0.34,0.35,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.28,0.27,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.23,0.22,0.24,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.15,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59
01/20/2022,10.8,8.57,3.1,2.89,2.42,1.7,1.54,1.44,1.37,1.37,1.24,1.18,1.07,0.92,0.86,0.9,0.87,0.87,0.91,0.91,0.89,0.91,0.88,0.81,0.84,0.88,0.85,0.8,0.81,0.79,0.75,0.72,0.78,0.7,0.73,0.64,0.65,0.61,0.57,0.53,0.56,0.56,0.53,0.54,0.54,0.52,0.5,0.48,0.52,0.46,0.5,0.45,0.44,0.43,0.42,0.4,0.43,0.43,0.37,0.41,0.43,0.4,0.39,0.37,0.36,0.35,0.36,0.34,0.35,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.28,0.27,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.23,0.22,0.24,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.15,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59
01/21/2022,10.84,8.65,3.09,2.88,2.4,1.71,1.49,1.45,1.4,1.32,1.25,1.17,1.06,0.93,0.84,0.93,0.86,0.85,0.9,0.92,0.91,0.95,0.88,0.79,0.84,0.9,0.86,0.8,0.82,0.78,0.75,0.72,0.79,0.7,0.75,0.62,0.65,0.62,0.57,0.52,0.52,0.56,0.52,0.54,0.55,0.53,0.46,0.47,0.51,0.44,0.51,0.45,0.45,0.43,0.41,0.38,0.44,0.44,0.38,0.41,0.45,0.41,0.38,0.37,0.36,0.35,0.35,0.34,0.36,0.34,0.33,0.3,0.3,0.31,0.34,0.3,0.3,0.32,0.31,0.27,0.25,0.27,0.27,0.28,0.25,0.24,0.25,0.24,0.25,0.23,0.22,0.24,0.21,0.2,0.21,0.23,0.21,0.21,0.2,0.2,0.17,0.19,0.18,0.16,0.17,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.18,0.15,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.14,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.57
01/24/2022,10.72,8.76,3.1,2.89,2.34,1.72,1.48,1.52,1.41,1.34,1.24,1.17,1.06,0.95,0.83,0.93,0.87,0.85,0.9,0.93,0.92,0.95,0.89,0.8,0.85,0.89,0.85,0.8,0.83,0.76,0.75,0.71,0.8,0.71,0.76,0.62,0.64,0.61,0.57,0.54,0.53,0.55,0.49,0.54,0.55,0.53,0.46,0.47,0.51,0.45,0.5,0.45,0.45,0.44,0.42,0.39,0.44,0.43,0.38,0.4,0.46,0.41,0.37,0.37,0.36,0.35,0.34,0.34,0.36,0.34,0.32,0.3,0.3,0.31,0.33,0.29,0.3,0.3,0.31,0.27,0.25,0.27,0.26,0.27,0.25,0.24,0.25,0.24,0.25,0.23,0.22,0.25,0.21,0.2,0.21,0.23,0.21,0.21,0.2,0.2,0.17,0.18,0.19,0.16,0.17,0.2,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.14,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.14,0.16,0.14,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.14,0.12,0.13,0.13,0.12,0.11,0.13,0.12,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.09,0.09,0.09,0.09,0.07,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.0,0.08,0.08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.55
