,Cash,Cboe Vix Future Dec21,Cboe Vix Future Nov21,Cboe Vix Future Oct21,Cboe Vix Future Jan22,Cboe Vix Future Jan22 - Cash Offset,Cboe Vix Future Oct21 - Cash Offset,Cboe Vix Future Nov21 - Cash Offset,Cboe Vix Future Dec21 - Cash Offset,SUM
07/09/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/12/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/13/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/14/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/15/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/16/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/19/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/20/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/21/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/22/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/23/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/26/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/27/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/28/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/29/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
07/30/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.0
08/02/2021,100.0,33.3,33.13,17.62,15.95,-15.95,-17.62,-33.13,-33.3,100.00000000000001
