,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,BRK.B,JPM,JNJ,UNH,V,PG,HD,PYPL,DIS,ADBE,BAC,MA,CMCSA,PFE,NFLX,CRM,CSCO,XOM,VZ,ABT,TMO,KO,INTC,PEP,ACN,DHR,LLY,NKE,WMT,COST,AVGO,ABBV,T,MRK,CVX,WFC,MDT,MCD,TXN,NEE,PM,LIN,QCOM,ORCL,HON,MS,INTU,C,BMY,LOW,UNP,UPS,GS,SBUX,AMT,BLK,AMD,NOW,AMGN,ISRG,RTX,IBM,AMAT,BA,TGT,MRNA,DE,GE,CAT,CHTR,CVS,MMM,SCHW,SPGI,AXP,SQ,PLD,ZTS,BKNG,ANTM,MO,SYK,GILD,ADP,LMT,BX,MELI,MDLZ,ADI,TJX,LRCX,CCI,MU,DUK,CB,MMC,PNC,TMUS,EL,FIS,EQIX,USB,COP,TFC,EW,BDX,CI,CSX,SHW,REGN,COF,CME,SO,SNAP,FISV,ILMN,ICE,ETN,ITW,CL,FDX,HCA,AON,NSC,BSX,D,ZM,ADSK,EMR,ATVI,GM,UBER,MCO,APD,WM,IDXX,NXPI,TWLO,ECL,JCI,DOCU,PGR,CMG,HUM,NOC,DXCM,CRWD,A,FCX,ALGN,MSCI,DG,ROP,TWTR,VRTX,KLAC,SNPS,F,WDAY,BIIB,IQV,MRVL,TEL,PSA,TROW,LHX,PLLDA.AX,EBAY,EXC,MET,DLR,TT,AIG,NEM,CARR,KMB,PANW,DOW,GPN,GD,APH,INFO,CDNS,LULU,AEP,SRE,SPG,VEEV,BK,FTNT,RMD,MSI,n/a,MTCH,MCHP,EOG,ORLY,BAX,SNOW,ABNB,PLTR,SLB,MAR,SYY,APTV,PRU,PXD,NET,SIVB,KKR,XLNX,SUM
09/06/2021,6.06,5.71,3.74,2.26,2.16,2.08,1.42,1.41,1.36,1.22,1.16,1.0,0.95,0.89,0.88,0.84,0.83,0.8,0.78,0.75,0.71,0.66,0.65,0.65,0.63,0.59,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.52,0.52,0.52,0.51,0.5,0.5,0.5,0.49,0.47,0.47,0.45,0.45,0.44,0.43,0.41,0.41,0.41,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78000000000002
09/07/2021,6.09,5.71,3.76,2.26,2.17,2.08,1.42,1.43,1.34,1.21,1.16,1.0,0.96,0.89,0.88,0.85,0.83,0.8,0.78,0.75,0.71,0.66,0.66,0.65,0.63,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.47,0.46,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.32,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.94
09/08/2021,6.09,5.71,3.76,2.26,2.17,2.08,1.42,1.43,1.34,1.21,1.16,1.0,0.96,0.89,0.88,0.85,0.83,0.8,0.78,0.75,0.71,0.66,0.66,0.65,0.63,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.47,0.46,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.32,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.94
09/09/2021,6.09,5.71,3.76,2.26,2.17,2.08,1.42,1.43,1.34,1.21,1.16,1.0,0.96,0.89,0.88,0.85,0.83,0.8,0.78,0.75,0.71,0.66,0.66,0.65,0.63,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.47,0.46,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.32,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.94
09/10/2021,6.2,5.71,3.81,2.31,2.19,2.1,1.46,1.43,1.33,1.21,1.14,1.0,0.97,0.89,0.88,0.87,0.84,0.8,0.78,0.76,0.7,0.66,0.68,0.65,0.63,0.58,0.57,0.57,0.57,0.54,0.55,0.54,0.55,0.53,0.51,0.52,0.52,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.41,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.32,0.3,0.3,0.33,0.29,0.29,0.29,0.28,0.29,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.01
09/13/2021,6.13,5.69,3.8,2.3,2.19,2.1,1.48,1.41,1.34,1.22,1.12,0.99,0.98,0.89,0.9,0.86,0.86,0.8,0.78,0.78,0.69,0.65,0.67,0.64,0.63,0.58,0.57,0.58,0.57,0.55,0.55,0.54,0.55,0.53,0.49,0.53,0.52,0.52,0.51,0.48,0.5,0.47,0.47,0.47,0.45,0.45,0.45,0.43,0.41,0.41,0.4,0.41,0.39,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.31,0.32,0.32,0.31,0.31,0.3,0.31,0.35,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86
09/14/2021,5.98,5.7,3.81,2.32,2.16,2.07,1.45,1.44,1.34,1.22,1.12,0.97,0.97,0.9,0.9,0.85,0.85,0.8,0.77,0.78,0.69,0.65,0.68,0.64,0.62,0.58,0.57,0.58,0.58,0.55,0.56,0.55,0.55,0.53,0.49,0.53,0.52,0.52,0.52,0.48,0.5,0.47,0.47,0.47,0.45,0.45,0.45,0.43,0.41,0.41,0.41,0.42,0.4,0.39,0.4,0.37,0.36,0.37,0.35,0.36,0.35,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.3,0.31,0.35,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.13,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.84
09/15/2021,5.98,5.7,3.81,2.32,2.16,2.07,1.45,1.44,1.34,1.22,1.12,0.97,0.97,0.9,0.9,0.85,0.85,0.8,0.77,0.78,0.69,0.65,0.68,0.64,0.62,0.58,0.57,0.58,0.58,0.55,0.56,0.55,0.55,0.53,0.49,0.53,0.52,0.52,0.52,0.48,0.5,0.47,0.47,0.47,0.45,0.45,0.45,0.43,0.41,0.41,0.41,0.42,0.4,0.39,0.4,0.37,0.36,0.37,0.35,0.36,0.35,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.3,0.31,0.35,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.13,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.84
09/20/2021,5.95,5.86,3.82,2.28,2.2,2.1,1.49,1.42,1.35,1.22,1.11,1.0,0.97,0.9,0.91,0.85,0.85,0.81,0.77,0.77,0.67,0.63,0.66,0.64,0.62,0.6,0.57,0.57,0.57,0.55,0.56,0.55,0.55,0.52,0.47,0.51,0.51,0.52,0.53,0.49,0.5,0.46,0.48,0.49,0.45,0.46,0.47,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.4,0.37,0.35,0.37,0.34,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.32,0.31,0.34,0.3,0.31,0.34,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.24,0.21,0.22,0.24,0.22,0.23,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.85000000000002
09/21/2021,5.9,5.81,3.83,2.24,2.17,2.08,1.5,1.41,1.36,1.22,1.11,1.02,0.96,0.91,0.92,0.83,0.85,0.8,0.78,0.77,0.67,0.63,0.67,0.65,0.62,0.6,0.58,0.58,0.61,0.54,0.56,0.55,0.55,0.53,0.47,0.51,0.52,0.52,0.53,0.49,0.5,0.47,0.48,0.5,0.45,0.46,0.47,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.39,0.37,0.35,0.38,0.34,0.35,0.34,0.34,0.34,0.32,0.32,0.33,0.32,0.32,0.32,0.31,0.33,0.3,0.31,0.33,0.28,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.28,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.24,0.21,0.22,0.23,0.22,0.23,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.13,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.79
