,QQQ,SNAP,SPOT,DIS,ATVI,FB,PTON,NFLX,Dreyfus Trsy Oblig Cash M,Snap Us 01/20/23 C105,Snap Us 01/20/23 C75,Snap Us 01/21/22 C105,Ndx Us 03/18/22 P7000,Qqq Us 06/17/22 P100,Snap Us 01/21/22 C75,Ndx Us 12/17/21 P4000,Spot Us 01/20/23 C500,Snap Us 07/16/21 C75,Ndx Us 09/17/21 P7000,Spot Us 01/21/22 C500,Ndx Us 06/18/21 P5500,Spot Us 07/16/21 C500,Ndx Us 06/18/21 P5000,TWTR,TCEHY,TSLA,GOOG,AAPL,AMZN,CRM,MSFT,n/a,SNAP 01/20/23 C105 Equity,SNAP 01/20/23 C75 Equity,QQQ 12/16/22 P170 Equity,NDX 09/16/22 P7000 Index,SNAP 01/21/22 C105 Equity,SNAP 01/21/22 C75 Equity,QQQ 06/17/22 P100 Equity,SPOT 01/20/23 C500 Equity,NDX 03/18/22 P7000 Index,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,SPOT 01/21/22 C500 Equity,QQQ 10/20/21 P352 Equity,U,QQQ 10/27/21 P365 Equity,DWAC,SUM
07/09/2021,33.96,23.25,17.71,5.05,4.65,4.02,3.43,3.16,1.0,0.98,0.75,0.45,0.42,0.28,0.28,0.17,0.15,0.14,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/14/2021,0.0,19.42,13.29,4.64,3.45,6.65,2.49,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,4.94,4.74,4.7,4.58,4.56,4.26,3.72,3.59,1.4,1.02,0.47,0.47,0.34,0.33,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,0.0,19.73,13.39,4.6,3.37,6.57,2.53,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,4.83,4.79,4.59,4.51,4.53,4.31,3.67,3.48,1.51,1.08,0.46,0.45,0.4,0.37,0.13,0.08,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,99.99
10/18/2021,0.0,19.66,13.77,4.53,3.35,6.52,2.45,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,4.85,4.76,4.65,4.48,4.5,4.39,3.72,3.41,1.55,1.1,0.36,0.35,0.43,0.39,0.12,0.12,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
10/19/2021,0.0,19.66,13.77,4.53,3.35,6.52,2.45,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,4.85,4.76,4.65,4.48,4.5,4.39,3.72,3.41,1.55,1.1,0.36,0.35,0.43,0.39,0.12,0.12,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
10/20/2021,0.0,19.66,13.77,4.53,3.35,6.52,2.45,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,4.85,4.76,4.65,4.48,4.5,4.39,3.72,3.41,1.55,1.1,0.36,0.35,0.43,0.39,0.12,0.12,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
10/21/2021,0.0,19.28,13.74,4.41,3.33,6.6,2.48,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,4.9,5.02,4.66,4.53,4.66,4.37,3.74,3.38,1.5,1.07,0.36,0.34,0.41,0.37,0.11,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/22/2021,0.0,19.26,8.21,4.37,3.33,4.73,2.47,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,4.97,4.94,4.65,4.55,4.61,4.34,3.72,1.7,4.34,0.0,0.34,0.33,0.0,0.0,0.1,0.13,0.04,0.0,0.0,0.0,0.0,1.78,0.04,0.0,99.99
10/25/2021,0.0,18.95,6.11,4.38,3.4,4.76,2.66,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,1.98,5.11,4.62,1.99,2.03,1.98,3.75,2.15,4.05,0.0,0.34,0.33,0.0,0.0,0.11,0.14,0.04,0.0,0.0,0.0,0.0,1.78,0.02,16.16,100.0
10/26/2021,0.0,18.95,6.11,4.38,3.4,4.76,2.66,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,1.98,5.11,4.62,1.99,2.03,1.98,3.75,2.15,4.05,0.0,0.34,0.33,0.0,0.0,0.11,0.14,0.04,0.0,0.0,0.0,0.0,1.78,0.02,16.16,99.99999999999999
