,NET,DDOG,CRWD,RPD,PANW,OKTA,PFPT,FTNT,MCFE,ZS,4704.T,SPLK,AVST.L,TENB,FEYE,CYBR,AKAM,SAIL,QLYS,PING,VRNS,FSLY,RDWR,ZIXI,688065.SS,n/a,688098.SS,TUFN,DARK.L,ESTC,S,SUMO,MSP,ABST.TO,SUM
07/09/2021,6.87,6.37,6.27,6.03,5.39,5.3,5.16,4.92,4.41,4.31,3.92,3.9,3.87,3.68,3.66,3.4,3.39,3.31,2.85,2.8,2.79,2.79,1.93,1.36,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,6.87,6.27,6.49,6.11,5.46,5.35,5.04,4.91,4.36,4.47,3.83,3.79,3.89,3.77,3.83,3.43,3.31,3.28,2.89,2.77,2.76,2.62,1.88,1.31,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,6.87,6.27,6.49,6.11,5.46,5.35,5.04,4.91,4.36,4.47,3.83,3.79,3.89,3.77,3.83,3.43,3.31,3.28,2.89,2.77,2.76,2.62,1.88,1.31,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,6.88,6.3,6.39,6.25,5.49,5.36,5.03,4.96,4.34,4.46,3.82,3.7,3.79,3.71,3.74,3.49,3.3,3.25,2.89,2.85,2.78,2.71,1.89,1.32,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/15/2021,6.88,6.3,6.39,6.25,5.49,5.36,5.03,4.96,4.34,4.46,3.82,3.7,3.79,3.71,3.74,3.49,3.3,3.25,2.89,2.85,2.78,2.71,1.89,1.32,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/16/2021,6.81,6.31,6.36,6.28,5.5,5.26,5.05,4.97,4.32,4.48,3.91,3.65,3.85,3.66,3.75,3.5,3.25,3.27,2.86,2.84,2.76,2.63,1.89,1.3,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,6.77,6.26,6.31,6.42,5.59,5.3,5.18,5.08,4.16,4.51,4.04,3.65,3.97,3.61,3.67,3.5,3.33,3.15,2.82,2.78,2.71,2.48,1.94,1.31,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,6.68,6.28,6.22,6.37,5.63,5.17,5.19,5.15,4.04,4.46,4.01,3.7,4.79,3.6,3.57,3.45,3.37,3.13,2.79,2.7,2.71,2.48,1.89,1.29,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,6.68,6.28,6.22,6.37,5.63,5.17,5.19,5.15,4.04,4.46,4.01,3.7,4.79,3.6,3.57,3.45,3.37,3.13,2.79,2.7,2.71,2.48,1.89,1.29,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,6.68,6.28,6.22,6.37,5.63,5.17,5.19,5.15,4.04,4.46,4.01,3.7,4.79,3.6,3.57,3.45,3.37,3.13,2.79,2.7,2.71,2.48,1.89,1.29,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
