,CAPITALONEACM,FGXXX,WGL HLDGS INC,HARLEY-DAVIDSON FDG CORP,GENERAL MTRS FINL CO INC,GLENCORE FDG LLC,"HUMANA INC 0%, due 04/28/2021",MARATHON PETROLEUM CORP,CNPC FIN HONG KONG LTD DISC CO,CONAGRA BRANDS INC,ENABLE MIDSTREAM PARTNERS LP 0% CP 05/11/2021,ENABLE MIDSTREAM PARTNERS LP,JABIL INC DISC COML PAPER,MECHANICSBKACM,FGTXX,W N1 COMDTY,W U1 COMDTY,W Z1 COMDTY,SUM
07/09/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/12/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/13/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/14/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/15/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/16/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/19/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/20/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/21/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/22/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/23/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/26/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/27/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/28/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/29/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
07/30/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
08/02/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
08/03/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
08/04/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
08/05/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
08/06/2021,18.6,13.62,6.19,6.19,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.27,0.0,0.0,0.0,0.0,72.77
