,GME,AA,WSM,CZR,GNRC,LPX,CRWD,RH,ESI,SF,SYNA,CROX,CLF,DAR,EVR,ENPH,SNAP,PLUG,URI,NVST,DE,SBNY,CPRI,AMAT,XPO,HWM,EXPE,AN,FCX,PINS,WAL,MHK,MRNA,SIVB,MTZ,ROKU,LYFT,TPR,TRIP,NVCR,GM,URBN,ARW,BX,GMED,AVTR,BBWI WI,LKQ,FIVE,OMCL,BRKR,SAIA,UHAL,CG,ZBRA,LSCC,YETI,EL,ON,BHC.TO,n/a,JLL,MAT,ACM,DECK,JCOM,SLM,TWTR,LRCX,NET,MT,CARR,KKR,MPWR,SLAB,MIDD,EPAM,SKX,EXP,CAR,HUBS,INMD,FTNT,ALB,AMC,SUM
09/06/2021,2.35,2.01,1.98,1.9,1.88,1.86,1.86,1.85,1.84,1.83,1.83,1.82,1.8,1.77,1.77,1.77,1.75,1.75,1.75,1.75,1.74,1.74,1.71,1.69,1.68,1.67,1.66,1.65,1.64,1.62,1.62,1.61,1.59,1.59,1.57,1.57,1.55,1.55,1.54,1.53,1.48,1.45,1.15,1.07,1.03,1.02,1.02,1.02,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.93,0.92,0.92,0.92,0.9,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97000000000004
09/07/2021,2.23,2.08,1.94,1.93,1.95,1.9,1.91,1.78,1.82,1.8,1.85,1.77,1.79,1.76,1.75,1.75,1.78,1.72,1.77,1.77,1.8,1.76,1.7,1.72,1.72,1.64,1.62,1.63,1.65,1.61,1.64,1.6,1.7,1.61,1.62,1.46,1.55,1.55,1.52,1.54,1.47,1.38,1.14,1.08,1.04,1.05,1.02,1.0,0.9,1.01,1.02,1.02,0.99,1.0,1.01,0.99,0.97,0.96,0.99,0.98,0.0,0.95,0.95,0.97,0.92,0.91,0.92,0.91,0.91,0.92,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/08/2021,2.23,2.08,1.94,1.93,1.95,1.9,1.91,1.78,1.82,1.8,1.85,1.77,1.79,1.76,1.75,1.75,1.78,1.72,1.77,1.77,1.8,1.76,1.7,1.72,1.72,1.64,1.62,1.63,1.65,1.61,1.64,1.6,1.7,1.61,1.62,1.46,1.55,1.55,1.52,1.54,1.47,1.38,1.14,1.08,1.04,1.05,1.02,1.0,0.9,1.01,1.02,1.02,0.99,1.0,1.01,0.99,0.97,0.96,0.99,0.98,0.0,0.95,0.95,0.97,0.92,0.91,0.92,0.91,0.91,0.92,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/09/2021,2.23,2.08,1.94,1.93,1.95,1.9,1.91,1.78,1.82,1.8,1.85,1.77,1.79,1.76,1.75,1.75,1.78,1.72,1.77,1.77,1.8,1.76,1.7,1.72,1.72,1.64,1.62,1.63,1.65,1.61,1.64,1.6,1.7,1.61,1.62,1.46,1.55,1.55,1.52,1.54,1.47,1.38,1.14,1.08,1.04,1.05,1.02,1.0,0.9,1.01,1.02,1.02,0.99,1.0,1.01,0.99,0.97,0.96,0.99,0.98,0.0,0.95,0.95,0.97,0.92,0.91,0.92,0.91,0.91,0.92,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,2.2,2.08,1.89,2.0,1.92,1.88,1.86,1.75,1.78,1.8,1.82,1.74,1.8,1.77,1.75,1.7,1.82,1.75,1.75,1.76,1.73,1.79,1.72,1.73,1.69,1.65,1.68,1.58,1.67,1.6,1.64,1.59,1.79,1.65,1.63,1.48,1.63,1.57,1.56,1.55,1.48,1.37,1.13,1.07,1.04,1.08,1.01,1.01,0.86,1.02,1.02,1.01,1.0,0.99,1.0,1.0,0.94,0.95,0.99,0.98,0.0,0.95,0.94,0.97,0.92,0.9,0.9,0.91,0.89,0.93,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,2.23,2.05,1.93,2.0,1.94,1.91,1.86,1.79,1.8,1.81,1.82,1.79,1.76,1.78,1.77,1.67,1.78,1.67,1.74,1.79,1.74,1.76,1.69,1.72,1.69,1.66,1.68,1.64,1.6,1.58,1.62,1.57,1.75,1.67,1.66,1.45,1.62,1.53,1.56,1.54,1.5,1.39,1.14,1.09,1.07,1.09,1.01,1.02,0.86,1.03,1.04,1.0,1.01,1.0,1.0,1.0,0.95,0.96,0.98,0.97,0.0,0.96,0.92,0.97,0.91,0.93,0.91,0.89,0.89,0.92,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/14/2021,2.13,2.22,1.98,1.97,1.97,1.89,1.83,1.85,1.78,1.8,1.8,1.86,1.77,1.71,1.78,1.61,1.79,1.6,1.75,1.79,1.71,1.8,1.65,1.76,1.66,1.66,1.68,1.63,1.65,1.57,1.64,1.57,1.86,1.69,1.6,1.42,1.63,1.57,1.57,1.49,1.52,1.36,1.13,1.09,1.03,1.11,1.0,1.02,0.88,1.03,1.02,1.0,1.01,0.99,1.01,1.0,0.98,0.96,1.03,0.96,0.0,0.93,0.9,0.97,0.95,0.92,0.91,0.88,0.91,0.91,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
09/15/2021,2.13,2.22,1.98,1.97,1.97,1.89,1.83,1.85,1.78,1.8,1.8,1.86,1.77,1.71,1.78,1.61,1.79,1.6,1.75,1.79,1.71,1.8,1.65,1.76,1.66,1.66,1.68,1.63,1.65,1.57,1.64,1.57,1.86,1.69,1.6,1.42,1.63,1.57,1.57,1.49,1.52,1.36,1.13,1.09,1.03,1.11,1.0,1.02,0.88,1.03,1.02,1.0,1.01,0.99,1.01,1.0,0.98,0.96,1.03,0.96,0.0,0.93,0.9,0.97,0.95,0.92,0.91,0.88,0.91,0.91,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
09/16/2021,2.13,2.22,1.98,1.97,1.97,1.89,1.83,1.85,1.78,1.8,1.8,1.86,1.77,1.71,1.78,1.61,1.79,1.6,1.75,1.79,1.71,1.8,1.65,1.76,1.66,1.66,1.68,1.63,1.65,1.57,1.64,1.57,1.86,1.69,1.6,1.42,1.63,1.57,1.57,1.49,1.52,1.36,1.13,1.09,1.03,1.11,1.0,1.02,0.88,1.03,1.02,1.0,1.01,0.99,1.01,1.0,0.98,0.96,1.03,0.96,0.0,0.93,0.9,0.97,0.95,0.92,0.91,0.88,0.91,0.91,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
09/17/2021,2.27,2.2,1.95,1.97,1.91,1.85,1.77,1.86,1.78,1.81,1.79,1.77,1.71,1.77,1.78,1.63,1.71,1.59,1.75,1.8,1.69,1.83,1.64,1.78,1.66,1.71,1.71,1.64,1.63,1.59,1.69,1.6,1.73,1.71,1.62,1.39,1.68,1.56,1.64,1.46,1.55,1.38,1.13,1.09,1.02,1.1,1.0,1.02,0.87,1.02,0.97,1.01,1.02,0.99,1.0,1.02,0.97,0.94,1.04,0.99,0.0,0.95,0.92,0.97,0.95,0.92,0.92,0.84,0.92,0.89,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
