,2SPY  220630C00003460,2SPY  220630C00428070,2SPY  220630P00428050,Cash&Other,2SPY  220630P00389550,2SPY  220630C00447750,SUM
09/06/2021,101.35,10.15,5.24,0.61,-3.33,-14.02,100.0
09/07/2021,101.36,10.17,5.28,0.6,-3.37,-14.04,100.0
09/08/2021,101.36,10.17,5.28,0.6,-3.37,-14.04,100.0
09/09/2021,101.36,10.17,5.28,0.6,-3.37,-14.04,100.0
09/10/2021,101.2,10.02,5.52,0.6,-3.54,-13.81,99.98999999999998
09/13/2021,100.93,9.73,5.78,0.6,-3.7,-13.34,100.0
09/14/2021,100.55,9.34,6.06,0.6,-3.9,-12.65,100.0
09/15/2021,100.55,9.34,6.06,0.6,-3.9,-12.65,100.0
09/16/2021,100.62,9.41,5.87,0.59,-3.77,-12.73,99.99
09/17/2021,100.24,9.02,6.07,0.59,-3.89,-12.03,99.99999999999999
