,AAPL,CSCO,ORCL,CHTR,ADBE,NVDA,MSFT,TXN,GOOGL,QCOM,INTU,FB,NOW,SQ,AMAT,ZM,ADP,LRCX,DELL,ADSK,SNPS,KLAC,FTNT,EBAY,APH,CDNS,PAYX,TTD,EPAM,KEYS,ZBRA,DISH,ON,ENPH,PAYC,PCTY,OMC,WMG,CDW,NTAP,ENTG,IT,DT,TRMB,MPWR,TER,BR,ETSY,QRVO,ANET,n/a,MISXX,SUM
09/06/2021,4.55,4.54,4.53,4.53,4.51,4.5,4.49,4.47,4.46,4.45,4.45,4.45,4.31,4.03,4.0,2.89,2.88,2.82,2.47,2.09,1.7,1.7,1.69,1.64,1.52,1.51,1.35,1.23,1.18,1.09,1.03,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.14,0.0,99.97
09/07/2021,4.55,4.51,4.52,4.45,4.5,4.57,4.47,4.45,4.45,4.41,4.46,4.44,4.41,4.07,4.02,2.91,2.88,2.84,2.46,2.08,1.68,1.71,1.72,1.63,1.51,1.5,1.34,1.23,1.2,1.09,1.03,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.13,0.0,100.0
09/08/2021,4.55,4.51,4.52,4.45,4.5,4.57,4.47,4.45,4.45,4.41,4.46,4.44,4.41,4.07,4.02,2.91,2.88,2.84,2.46,2.08,1.68,1.71,1.72,1.63,1.51,1.5,1.34,1.23,1.2,1.09,1.03,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.13,0.0,100.0
09/09/2021,4.55,4.51,4.52,4.45,4.5,4.57,4.47,4.45,4.45,4.41,4.45,4.44,4.41,4.07,4.02,2.91,2.88,2.84,2.46,2.08,1.68,1.71,1.72,1.63,1.51,1.5,1.34,1.23,1.2,1.09,1.03,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.0,0.14,100.0
09/10/2021,4.66,4.5,4.49,4.43,4.5,4.57,4.49,4.48,4.5,4.42,4.47,4.55,4.33,4.04,4.07,2.95,2.83,2.78,2.45,2.09,1.7,1.72,1.7,1.61,1.5,1.51,1.32,1.19,1.18,1.1,1.02,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.0,0.08,99.98
09/13/2021,4.62,4.52,4.57,4.38,4.54,4.51,4.48,4.49,4.52,4.39,4.57,4.53,4.29,3.86,4.06,2.93,2.87,2.81,2.48,2.11,1.7,1.77,1.69,1.58,1.5,1.53,1.34,1.16,1.18,1.11,1.03,0.25,0.26,0.23,0.25,0.25,0.25,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.0,0.09,99.98
09/14/2021,4.47,4.47,4.59,4.4,4.53,4.58,4.47,4.55,4.44,4.43,4.57,4.55,4.29,3.81,4.13,2.99,2.84,2.84,2.46,2.09,1.69,1.79,1.69,1.57,1.51,1.54,1.32,1.16,1.19,1.11,1.03,0.25,0.27,0.23,0.24,0.25,0.25,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.14,0.0,100.01
09/15/2021,4.48,4.47,4.59,4.4,4.53,4.58,4.47,4.55,4.44,4.44,4.57,4.55,4.29,3.81,4.13,2.99,2.84,2.84,2.46,2.09,1.69,1.79,1.69,1.58,1.51,1.54,1.33,1.16,1.19,1.11,1.03,0.25,0.27,0.23,0.25,0.25,0.25,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.0,0.09,100.01
09/16/2021,4.5,4.5,4.56,4.44,4.44,4.52,4.5,4.64,4.5,4.47,4.5,4.53,4.24,3.8,4.21,2.89,2.83,2.89,2.56,2.07,1.69,1.82,1.62,1.58,1.52,1.53,1.32,1.14,1.17,1.1,1.04,0.26,0.27,0.23,0.24,0.24,0.25,0.27,0.25,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.09,0.0,100.01
09/17/2021,4.47,4.5,4.44,4.28,4.46,4.56,4.55,4.69,4.52,4.41,4.6,4.55,4.29,3.81,4.25,2.81,2.84,2.88,2.53,2.06,1.7,1.83,1.65,1.56,1.52,1.53,1.33,1.14,1.19,1.1,1.03,0.25,0.27,0.23,0.24,0.25,0.25,0.28,0.25,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.0,0.09,100.0
09/20/2021,4.44,4.4,4.44,4.25,4.54,4.51,4.58,4.67,4.5,4.28,4.59,4.46,4.32,3.89,4.32,2.75,2.79,2.9,2.6,2.12,1.7,1.88,1.65,1.61,1.52,1.54,1.31,1.16,1.18,1.1,1.04,0.25,0.28,0.23,0.25,0.26,0.25,0.27,0.24,0.26,0.28,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.0,0.1,100.0
09/21/2021,4.41,4.42,4.45,4.29,4.53,4.49,4.56,4.72,4.47,4.18,4.56,4.41,4.33,3.95,4.27,2.87,2.83,2.91,2.61,2.13,1.67,1.9,1.64,1.62,1.52,1.52,1.32,1.17,1.17,1.1,1.02,0.25,0.28,0.24,0.25,0.26,0.25,0.28,0.24,0.26,0.28,0.26,0.27,0.25,0.25,0.25,0.25,0.27,0.24,0.25,0.0,0.1,100.01999999999998
09/22/2021,4.41,4.42,4.45,4.29,4.53,4.49,4.56,4.72,4.47,4.18,4.56,4.41,4.33,3.95,4.27,2.87,2.83,2.91,2.61,2.13,1.67,1.9,1.64,1.62,1.52,1.52,1.32,1.17,1.17,1.1,1.02,0.25,0.28,0.24,0.25,0.26,0.25,0.28,0.24,0.26,0.28,0.26,0.27,0.25,0.25,0.25,0.25,0.27,0.24,0.25,0.0,0.1,100.01999999999998
09/23/2021,4.4,4.42,4.51,4.32,4.51,4.4,4.55,4.71,4.48,4.23,4.57,4.38,4.39,3.93,4.19,2.85,2.88,2.86,2.67,2.13,1.68,1.85,1.66,1.62,1.52,1.52,1.33,1.14,1.17,1.1,1.01,0.25,0.28,0.23,0.26,0.27,0.25,0.27,0.24,0.26,0.28,0.26,0.27,0.25,0.25,0.25,0.25,0.26,0.23,0.25,0.15,0.0,99.99
09/24/2021,4.41,4.37,4.55,4.27,4.54,4.43,4.56,4.72,4.49,4.19,4.58,4.4,4.43,3.95,4.17,2.83,2.85,2.85,2.62,2.13,1.66,1.86,1.67,1.6,1.51,1.52,1.33,1.18,1.19,1.1,0.99,0.25,0.28,0.23,0.26,0.27,0.25,0.31,0.24,0.26,0.28,0.26,0.27,0.24,0.26,0.25,0.24,0.26,0.24,0.25,0.15,0.0,100.0
09/27/2021,4.41,4.38,4.58,4.15,4.34,4.58,4.53,4.75,4.46,4.17,4.66,4.16,4.4,4.1,4.26,2.74,2.85,2.91,2.65,2.15,1.65,1.89,1.7,1.6,1.54,1.51,1.33,1.22,1.19,1.11,0.99,0.25,0.28,0.23,0.26,0.28,0.26,0.29,0.24,0.26,0.28,0.27,0.27,0.24,0.26,0.25,0.25,0.26,0.23,0.24,0.0,0.12,99.98000000000002
09/28/2021,4.42,4.39,4.6,4.13,4.28,4.5,4.53,4.8,4.49,4.16,4.66,4.24,4.41,4.03,4.28,2.7,2.86,2.91,2.68,2.17,1.64,1.88,1.7,1.59,1.55,1.51,1.32,1.22,1.19,1.1,1.0,0.25,0.28,0.22,0.27,0.28,0.26,0.29,0.24,0.27,0.28,0.27,0.27,0.24,0.26,0.25,0.25,0.26,0.23,0.25,0.0,0.12,99.98
