,FENER.IS,FENER.IS.1,FENER.IS.2,FENER.IS.3,2SPY  220331C00003190,2SPY  220331C00396330,Cash&Other,2SPY  220331C00417730,SUM
07/09/2021,98.84,22.38,1.26,-22.49,0.0,0.0,0.0,0.0,99.99
07/12/2021,0.0,0.0,0.0,0.0,99.5,24.29,1.17,-24.96,100.0
07/13/2021,0.0,0.0,0.0,0.0,99.5,24.29,1.17,-24.96,100.0
07/14/2021,0.0,0.0,0.0,0.0,99.5,24.29,1.17,-24.96,100.0
07/15/2021,0.0,0.0,0.0,0.0,99.73,24.9,1.17,-25.8,100.0
07/16/2021,0.0,0.0,0.0,0.0,99.64,24.58,1.17,-25.39,100.0
07/19/2021,0.0,0.0,0.0,0.0,99.51,24.13,1.16,-24.8,100.0
07/20/2021,0.0,0.0,0.0,0.0,99.19,23.2,1.16,-23.56,99.99
07/21/2021,0.0,0.0,0.0,0.0,99.19,23.2,1.16,-23.56,99.99
07/22/2021,0.0,0.0,0.0,0.0,98.69,21.59,1.17,-21.45,100.0
07/23/2021,0.0,0.0,0.0,0.0,99.3,23.51,1.16,-23.97,100.0
07/26/2021,0.0,0.0,0.0,0.0,99.79,24.52,1.14,-25.46,99.99
07/27/2021,0.0,0.0,0.0,0.0,100.15,25.88,1.13,-27.16,100.0
07/28/2021,0.0,0.0,0.0,0.0,100.15,25.88,1.13,-27.16,100.0
07/29/2021,0.0,0.0,0.0,0.0,100.39,26.38,1.13,-27.91,99.99
07/30/2021,0.0,0.0,0.0,0.0,100.07,25.48,1.13,-26.68,100.0
08/02/2021,0.0,0.0,0.0,0.0,100.19,25.89,1.12,-27.21,99.99
08/03/2021,0.0,0.0,0.0,0.0,100.09,25.62,1.12,-26.83,100.0
08/04/2021,0.0,0.0,0.0,0.0,100.09,25.62,1.12,-26.83,100.0
08/05/2021,0.0,0.0,0.0,0.0,99.99,25.33,1.12,-26.44,100.0
08/06/2021,0.0,0.0,0.0,0.0,100.21,26.01,1.11,-27.33,100.0
08/10/2021,0.0,0.0,0.0,0.0,100.31,26.38,1.1,-27.79,100.0
08/11/2021,0.0,0.0,0.0,0.0,100.31,26.38,1.1,-27.79,100.0
08/13/2021,0.0,0.0,0.0,0.0,100.48,26.29,1.1,-27.87,100.0
08/16/2021,0.0,0.0,0.0,0.0,100.61,27.09,1.08,-28.79,99.99
08/17/2021,0.0,0.0,0.0,0.0,100.72,27.35,1.08,-29.16,99.99
08/18/2021,0.0,0.0,0.0,0.0,100.72,27.35,1.08,-29.16,99.99
08/19/2021,0.0,0.0,0.0,0.0,100.93,27.86,1.08,-29.87,100.00000000000004
08/20/2021,0.0,0.0,0.0,0.0,100.57,26.8,1.08,-28.46,99.98999999999998
08/23/2021,0.0,0.0,0.0,0.0,100.37,26.14,1.08,-27.59,100.0
08/24/2021,0.0,0.0,0.0,0.0,100.6,26.85,1.07,-28.52,100.0
08/25/2021,0.0,0.0,0.0,0.0,100.6,26.85,1.07,-28.52,100.0
08/26/2021,0.0,0.0,0.0,0.0,101.02,28.13,1.06,-30.21,100.0
08/27/2021,0.0,0.0,0.0,0.0,101.14,28.33,1.06,-30.53,100.0
08/30/2021,0.0,0.0,0.0,0.0,100.98,27.9,1.05,-29.94,99.99
08/31/2021,0.0,0.0,0.0,0.0,101.39,28.84,1.05,-31.28,100.0
09/01/2021,0.0,0.0,0.0,0.0,101.39,28.84,1.05,-31.28,100.0
09/02/2021,0.0,0.0,0.0,0.0,101.63,29.61,1.04,-32.28,100.0
09/03/2021,0.0,0.0,0.0,0.0,101.67,29.73,1.04,-32.45,99.99
09/06/2021,0.0,0.0,0.0,0.0,101.71,29.74,1.03,-32.49,99.98999999999998
09/07/2021,0.0,0.0,0.0,0.0,101.69,29.84,1.03,-32.56,100.0
09/08/2021,0.0,0.0,0.0,0.0,101.69,29.84,1.03,-32.56,100.0
09/09/2021,0.0,0.0,0.0,0.0,101.69,29.84,1.03,-32.56,100.0
09/10/2021,0.0,0.0,0.0,0.0,101.58,29.36,1.03,-31.97,100.0
09/13/2021,0.0,0.0,0.0,0.0,101.31,28.59,1.02,-30.93,99.99
09/14/2021,0.0,0.0,0.0,0.0,100.95,27.69,1.02,-29.66,100.00000000000003
