,2SPY  220630C00003450,2SPY  220630C00428060,Cash&Other,2SPY  220630C00449160,SUM
09/06/2021,99.49,19.93,0.6,-20.03,99.98999999999998
09/07/2021,99.49,19.96,0.6,-20.06,99.98999999999998
09/08/2021,99.49,19.96,0.6,-20.06,99.98999999999998
09/09/2021,99.49,19.96,0.6,-20.06,99.98999999999998
09/10/2021,99.44,19.7,0.6,-19.73,100.01
09/13/2021,99.34,19.16,0.59,-19.1,99.99
09/14/2021,99.1,18.42,0.59,-18.11,100.0
09/15/2021,99.1,18.42,0.59,-18.11,100.0
09/16/2021,99.09,18.54,0.59,-18.22,100.0
09/17/2021,98.84,17.78,0.59,-17.21,100.0
09/20/2021,99.05,18.36,0.58,-18.0,99.99
09/21/2021,98.79,17.15,0.58,-16.53,99.99
09/22/2021,98.79,17.15,0.58,-16.53,99.99
09/23/2021,98.25,15.68,0.58,-14.52,99.99
09/24/2021,98.32,15.32,0.58,-14.22,100.0
09/27/2021,98.62,17.4,0.56,-16.59,99.99
09/28/2021,98.73,17.38,0.56,-16.68,99.99
09/29/2021,98.73,17.38,0.56,-16.68,99.99
09/30/2021,98.52,17.17,0.56,-16.26,99.99
10/01/2021,98.29,15.37,0.57,-14.23,100.0
10/04/2021,98.3,15.53,0.56,-14.39,100.0
10/08/2021,97.99,14.38,0.54,-12.92,99.99
10/12/2021,98.07,15.44,0.53,-14.05,99.99
10/13/2021,98.07,15.44,0.53,-14.05,99.99
10/14/2021,97.99,14.6,0.54,-13.13,100.0
10/15/2021,97.69,13.94,0.53,-12.16,100.0
10/18/2021,98.2,16.15,0.52,-14.87,100.0
10/19/2021,98.61,17.03,0.51,-16.15,100.0
10/20/2021,98.61,17.03,0.51,-16.15,100.0
10/21/2021,98.69,17.57,0.51,-16.78,99.99
10/22/2021,99.08,18.42,0.51,-18.01,100.0
10/25/2021,99.24,19.01,0.49,-18.74,100.0
10/26/2021,99.26,18.99,0.49,-18.75,99.99
10/27/2021,99.26,18.99,0.49,-18.75,99.99
10/28/2021,99.46,19.52,0.49,-19.47,100.0
10/29/2021,99.43,19.95,0.49,-19.87,100.0
11/01/2021,99.83,20.51,0.48,-20.83,99.99
11/02/2021,99.85,21.18,0.47,-21.5,100.0
11/03/2021,99.85,21.18,0.47,-21.5,100.0
11/04/2021,99.89,21.27,0.47,-21.63,100.0
11/05/2021,100.05,21.72,0.47,-22.24,100.0
11/08/2021,100.62,23.02,0.46,-24.1,100.0
11/09/2021,100.89,23.55,0.45,-24.89,100.0
11/10/2021,100.89,23.55,0.45,-24.89,100.0
11/11/2021,101.06,23.86,0.45,-25.37,100.0
11/12/2021,100.81,23.39,0.45,-24.65,100.0
11/15/2021,100.36,22.25,0.44,-23.06,99.99
11/16/2021,100.72,23.25,0.44,-24.41,100.0
11/17/2021,100.72,23.25,0.44,-24.41,100.0
11/18/2021,100.67,23.18,0.44,-24.28,100.01
11/19/2021,100.94,23.78,0.43,-25.15,100.0
11/22/2021,100.84,23.54,0.43,-24.81,100.0
11/23/2021,100.84,23.54,0.43,-24.81,100.0
11/24/2021,101.06,23.94,0.42,-25.43,99.99000000000001
