,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,BRK.B,JPM,JNJ,UNH,V,PG,HD,PYPL,DIS,ADBE,BAC,MA,CMCSA,PFE,NFLX,CRM,CSCO,XOM,VZ,ABT,TMO,KO,ACN,PEP,INTC,DHR,NKE,LLY,WMT,COST,AVGO,ABBV,T,MRK,CVX,WFC,MDT,MCD,TXN,NEE,QCOM,PM,LIN,ORCL,HON,MS,INTU,C,BMY,LOW,UNP,UPS,GS,AMT,SBUX,BLK,AMD,NOW,AMGN,RTX,ISRG,IBM,AMAT,TGT,BA,MRNA,DE,GE,CAT,CVS,CHTR,MMM,SCHW,SPGI,AXP,PLD,ZTS,MO,ANTM,BKNG,GILD,LMT,SYK,ADP,MDLZ,ADI,TJX,LRCX,CCI,MU,DUK,CB,PNC,MMC,EL,TMUS,FIS,USB,EQIX,TFC,EW,CI,COP,CSX,COF,SHW,BDX,REGN,SO,CME,ICE,CL,ILMN,HCA,FISV,ETN,ITW,BSX,FDX,D,EMR,ATVI,NSC,GM,AON,MCO,ADSK,WM,IDXX,APD,ECL,NXPI,PGR,A,JCI,HUM,MSCI,DG,TWTR,CMG,NOC,FCX,DXCM,ROP,ALGN,F,TROW,EXC,VRTX,AIG,EBAY,TEL,SNPS,KLAC,NEM,TT,LHX,DLR,BIIB,CARR,KMB,IQV,PSA,CDNS,APH,GD,MET,INFO,AEP,GPN,DOW,MCHP,BK,MSI,SPG,SRE,FTNT,RMD,SYY,ROST,CTSH,ORLY,PRU,APTV,SLB,BAX,ALL,TRV,DD,EA,EOG,SBAC,FGXXX,YUM,XLNX,n/a,MAR,CNC,MPC,DFS,SUM
09/06/2021,6.28,5.91,3.87,2.34,2.24,2.14,1.47,1.45,1.4,1.27,1.2,1.04,0.98,0.92,0.91,0.87,0.86,0.83,0.81,0.78,0.74,0.68,0.68,0.66,0.65,0.61,0.6,0.58,0.58,0.57,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93
09/07/2021,6.28,5.91,3.87,2.34,2.24,2.14,1.47,1.45,1.4,1.27,1.2,1.04,0.98,0.92,0.91,0.87,0.86,0.83,0.81,0.78,0.74,0.68,0.68,0.66,0.65,0.61,0.6,0.58,0.58,0.57,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93
09/08/2021,6.28,5.91,3.87,2.34,2.24,2.14,1.47,1.45,1.4,1.27,1.2,1.04,0.98,0.92,0.91,0.87,0.86,0.83,0.81,0.78,0.74,0.68,0.68,0.66,0.65,0.61,0.6,0.58,0.58,0.57,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93
09/09/2021,6.24,5.84,3.84,2.32,2.22,2.12,1.45,1.47,1.37,1.24,1.19,1.03,0.97,0.91,0.91,0.87,0.85,0.82,0.8,0.77,0.73,0.68,0.67,0.66,0.64,0.6,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.54,0.53,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.47,0.47,0.46,0.45,0.43,0.42,0.43,0.42,0.42,0.41,0.4,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.1,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.13000000000001
09/10/2021,6.36,5.85,3.89,2.37,2.24,2.14,1.5,1.46,1.36,1.25,1.17,1.03,0.98,0.91,0.91,0.89,0.87,0.82,0.81,0.78,0.72,0.68,0.7,0.66,0.64,0.6,0.59,0.58,0.58,0.56,0.57,0.55,0.56,0.55,0.54,0.52,0.52,0.53,0.52,0.5,0.5,0.5,0.49,0.47,0.47,0.46,0.45,0.43,0.42,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.31,0.3,0.34,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.1,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.28
09/13/2021,6.37,5.92,3.96,2.37,2.26,2.16,1.52,1.46,1.38,1.26,1.19,1.03,1.0,0.93,0.93,0.88,0.88,0.83,0.81,0.8,0.72,0.68,0.7,0.66,0.64,0.6,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.55,0.54,0.53,0.53,0.54,0.53,0.51,0.51,0.5,0.49,0.47,0.48,0.47,0.46,0.44,0.42,0.42,0.42,0.43,0.41,0.4,0.41,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.3,0.33,0.3,0.29,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,83.97000000000001
09/14/2021,6.36,5.89,3.93,2.38,2.26,2.17,1.53,1.45,1.38,1.27,1.16,1.03,1.0,0.93,0.93,0.89,0.89,0.83,0.81,0.81,0.72,0.68,0.7,0.66,0.64,0.6,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.55,0.55,0.5,0.53,0.54,0.53,0.5,0.51,0.49,0.49,0.48,0.47,0.47,0.46,0.44,0.42,0.42,0.43,0.43,0.41,0.41,0.41,0.38,0.37,0.38,0.37,0.36,0.36,0.35,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.31,0.36,0.29,0.3,0.3,0.3,0.28,0.28,0.29,0.29,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.1,0.0,0.1,0.1,0.0,0.15,0.1,0.1,0.0,0.0,0.0,0.0,0.0,83.91000000000001
09/15/2021,6.19,5.9,3.94,2.4,2.24,2.14,1.5,1.48,1.39,1.26,1.16,1.01,1.0,0.93,0.94,0.88,0.89,0.83,0.8,0.8,0.72,0.68,0.7,0.66,0.64,0.61,0.59,0.59,0.59,0.57,0.58,0.57,0.58,0.56,0.55,0.51,0.53,0.54,0.54,0.5,0.51,0.49,0.49,0.49,0.47,0.47,0.47,0.44,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.38,0.37,0.38,0.37,0.37,0.36,0.35,0.37,0.34,0.34,0.34,0.33,0.34,0.32,0.32,0.34,0.32,0.31,0.36,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.0,0.1,0.1,0.0,0.18,0.1,0.0,0.16,0.0,0.0,0.0,0.0,83.92
09/16/2021,6.19,5.9,3.94,2.4,2.24,2.14,1.5,1.48,1.39,1.26,1.16,1.01,1.0,0.93,0.94,0.88,0.89,0.83,0.8,0.8,0.72,0.68,0.7,0.66,0.64,0.61,0.59,0.59,0.59,0.57,0.58,0.57,0.58,0.56,0.55,0.51,0.53,0.54,0.54,0.5,0.51,0.49,0.49,0.49,0.47,0.47,0.47,0.44,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.38,0.37,0.38,0.37,0.37,0.36,0.35,0.37,0.34,0.34,0.34,0.33,0.34,0.32,0.32,0.34,0.32,0.31,0.36,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.0,0.1,0.1,0.0,0.18,0.1,0.0,0.16,0.0,0.0,0.0,0.0,83.92
09/17/2021,6.22,5.93,3.92,2.39,2.26,2.16,1.52,1.46,1.4,1.28,1.16,1.04,1.0,0.94,0.95,0.87,0.89,0.82,0.82,0.81,0.73,0.66,0.69,0.65,0.64,0.62,0.6,0.58,0.58,0.58,0.58,0.57,0.59,0.55,0.54,0.5,0.53,0.54,0.54,0.5,0.52,0.49,0.5,0.5,0.46,0.48,0.48,0.44,0.43,0.42,0.43,0.43,0.41,0.41,0.4,0.39,0.37,0.39,0.36,0.37,0.37,0.35,0.37,0.34,0.34,0.33,0.33,0.34,0.32,0.33,0.34,0.32,0.31,0.33,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.26,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.25,0.22,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,84.00000000000001
